Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
370	23.07	1600	3104	0.78	42	0	0	0	2	3	33	0	9	0	0	0.00	0.00	0.20	0.50	61.99	0.00	14.79	0.00	0.00	22.47	0.00	50.94	3.52	51	0	52	172.80	100.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.49	3.84	0.00	1.11	0.00	0.00
368	23.04	1600	3093	0.76	50	0	0	0	1	3	38	0	4	0	0	0.00	0.00	0.11	0.81	69.25	0.00	7.05	0.00	0.00	22.81	0.00	52.66	1.48	52	0	52	169.72	99.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	3.61	0.00	0.91	0.00	0.00
324	23.64	1600	2655	0.77	42	0	1	0	0	3	34	0	11	0	1	0.01	0.00	0.00	1.03	50.96	0.00	13.55	0.00	0.19	23.07	0.85	48.67	3.77	52	0	52	143.24	83.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.34	2.69	0.00	0.78	0.00	0.00
324	20.48	1600	3056	0.76	67	0	0	1	3	5	45	0	13	0	3	0.00	0.01	0.16	0.35	55.29	0.00	19.45	0.00	3.56	21.35	0.00	50.04	8.13	51	0	52	151.55	98.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.58	3.38	0.00	1.01	0.00	0.00
327	20.24	1600	3128	0.76	66	0	0	0	2	1	35	0	19	0	1	0.00	0.00	0.29	0.39	51.63	0.00	26.61	0.00	1.95	20.80	0.69	44.43	13.83	51	0	51	154.47	100.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.69	3.54	0.00	1.02	0.00	0.00
371	19.23	1600	3735	0.76	64	0	0	0	2	4	36	0	17	0	0	0.00	0.00	0.20	0.87	63.11	0.00	33.68	0.00	0.00	19.91	0.81	49.60	10.45	51	0	51	179.12	117.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.35	4.70	0.00	1.45	0.00	0.00
373	23.17	1600	3117	0.77	51	0	0	0	0	0	35	0	7	0	0	0.00	0.00	0.00	0.00	64.47	0.00	13.20	0.00	0.00	22.49	0.00	54.34	0.00	51	0	52	170.91	99.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.03	3.73	0.00	0.90	0.00	0.00
373	24.17	1600	2986	0.75	41	0	0	0	1	2	26	0	12	0	0	0.00	0.00	0.19	0.96	52.63	0.00	19.61	0.00	0.00	20.61	0.83	51.40	2.99	51	0	52	169.32	98.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.29	3.52	0.00	1.05	0.00	0.00
345	23.68	1600	2816	0.75	50	0	0	0	2	2	35	0	13	0	0	0.00	0.00	0.36	0.59	50.37	0.00	18.37	0.00	0.00	22.68	1.01	50.49	2.13	51	0	51	150.70	89.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.70	3.15	0.00	0.83	0.00	0.00
303	24.19	1600	2420	0.74	57	0	0	0	2	2	48	0	11	0	2	0.00	0.00	0.11	0.10	47.66	0.00	10.31	0.00	1.30	18.35	0.00	52.80	4.66	51	0	51	128.33	81.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.07	2.20	0.00	0.63	0.00	0.00
381	15.80	1600	4665	0.74	96	0	0	0	1	1	32	0	36	0	0	0.00	0.00	0.15	0.48	56.48	0.00	70.24	0.00	0.00	20.01	0.57	42.55	21.07	51	0	52	175.94	125.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.55	6.16	0.00	1.83	0.00	0.00
392	24.21	1600	3136	0.73	47	0	0	0	1	1	29	0	13	0	0	0.00	0.00	0.10	0.47	56.42	0.00	20.07	0.00	0.00	19.81	0.00	54.37	1.62	52	0	51	168.61	101.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.08	3.85	0.00	1.04	0.00	0.00
328	26.47	1600	2399	0.73	46	0	0	1	0	1	27	0	19	0	2	0.00	0.02	0.00	0.33	32.27	0.00	22.08	0.00	2.51	17.25	0.74	47.88	7.67	52	0	52	138.99	81.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.51	2.36	0.00	0.66	0.00	0.00
370	17.08	1600	4198	0.75	81	0	0	0	2	1	24	0	33	0	2	0.00	0.00	0.19	0.43	43.65	0.00	64.64	0.00	3.94	22.39	0.53	35.50	24.50	52	0	52	170.59	116.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.92	5.22	0.00	1.55	0.00	0.00
322	25.90	1600	2405	0.74	42	0	0	1	0	2	33	0	14	0	0	0.00	0.00	0.00	0.67	41.07	0.00	16.05	0.00	0.00	17.68	0.00	49.94	6.48	51	0	52	138.15	82.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.41	2.31	0.00	0.66	0.00	0.00
392	16.84	1616	4462	0.75	82	0	0	0	1	1	31	0	28	0	2	0.00	0.00	0.20	0.09	59.96	0.00	57.29	0.00	2.74	22.78	0.00	44.25	16.13	52	0	52	172.12	117.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.61	5.56	0.00	1.67	0.00	0.00
464	22.95	1914	3273	0.75	43	0	0	0	1	2	23	0	15	0	0	0.00	0.00	0.21	0.73	47.08	0.00	33.70	0.00	0.00	20.80	0.00	38.14	18.12	52	0	52	174.78	105.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.30	5.39	0.00	1.08	0.00	0.00
486	22.91	2017	3256	0.77	38	0	0	0	2	1	27	0	7	0	0	0.00	0.00	0.16	0.65	63.97	0.00	16.51	0.00	0.00	20.91	0.00	51.01	5.18	52	0	53	169.17	101.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.64	5.51	0.00	1.14	0.00	0.00
517	22.04	2345	3098	0.78	39	0	0	0	2	2	27	0	7	0	0	0.00	0.00	0.50	0.26	59.43	0.00	17.99	0.00	0.00	22.55	0.00	55.41	0.00	53	0	53	164.23	100.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.31	6.90	0.00	0.97	0.00	0.00
540	21.69	2402	3211	0.77	34	0	0	1	0	2	28	0	3	0	0	0.00	0.03	0.00	1.69	70.62	0.00	9.06	0.00	0.00	21.11	0.00	57.21	0.00	53	0	53	164.03	101.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.13	7.00	0.00	1.05	0.00	0.00
591	21.57	2679	3167	0.79	35	0	0	0	2	0	25	0	4	0	0	0.00	0.00	0.71	0.00	71.10	0.00	8.48	0.00	0.00	21.11	0.00	57.33	0.00	54	0	54	164.85	102.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.13	8.94	0.00	1.09	0.00	0.00
593	21.26	2800	3081	0.78	27	0	1	0	1	0	21	0	7	0	0	0.08	0.00	0.22	0.00	60.83	0.00	17.43	0.00	0.00	21.21	0.00	57.52	0.00	55	0	55	159.11	99.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.47	8.49	0.00	1.13	0.00	0.00
655	21.35	2921	3250	0.79	34	0	0	0	1	2	23	0	4	0	0	0.00	0.00	0.42	1.47	70.04	0.00	10.78	0.00	0.00	20.80	1.24	56.61	0.00	54	0	54	161.14	101.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.94	10.83	0.00	0.88	0.00	0.00
665	20.83	3200	3088	0.78	26	0	0	0	2	0	24	0	4	0	0	0.00	0.00	0.67	0.00	69.76	0.00	8.68	0.00	0.00	21.26	0.00	57.91	0.00	56	0	56	157.17	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.05	11.74	0.00	0.92	0.00	0.00
665	20.81	3200	3092	0.79	34	0	0	0	0	2	23	0	3	0	0	0.00	0.00	0.00	1.64	69.26	0.00	8.34	0.00	0.00	20.88	2.72	55.59	0.00	56	0	56	156.32	99.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.09	12.84	0.00	1.20	0.00	0.00
587	25.49	3493	2041	0.76	26	0	0	0	3	2	30	0	4	0	1	0.00	0.00	0.34	0.58	43.93	0.00	4.08	0.00	0.24	15.98	1.36	56.60	0.57	57	0	57	100.58	65.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.47	5.65	0.00	0.40	0.00	0.00
722	12.85	3717	4680	0.76	57	0	0	0	1	1	25	0	23	0	0	0.00	0.00	0.22	0.79	66.36	0.00	64.31	0.00	0.00	19.71	0.00	50.42	17.02	59	0	59	153.99	122.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.80	25.43	0.00	2.00	0.00	0.00
616	24.51	3997	1948	0.76	33	0	1	0	0	1	26	0	8	0	1	0.03	0.00	0.00	0.43	35.51	0.00	10.69	0.00	0.33	26.38	1.17	47.95	0.00	61	0	61	108.96	78.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.44	9.86	0.00	0.51	0.00	0.00
862	10.02	4061	6558	0.70	63	0	0	0	0	1	30	0	19	0	3	0.00	0.00	0.00	1.07	106.64	0.00	61.26	0.00	20.00	13.14	0.88	46.42	29.54	60	0	60	135.51	115.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	52.42	45.37	0.00	2.55	0.00	0.00
750	21.12	4089	2687	0.73	33	0	0	0	1	4	23	0	6	0	0	0.00	0.00	0.00	0.47	52.14	0.00	14.56	0.00	0.00	21.40	0.00	57.47	0.00	62	0	62	126.52	89.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.27	17.95	0.00	0.80	0.00	0.00
686	24.09	4090	2155	0.72	25	0	1	0	1	0	27	0	4	0	0	0.05	0.00	0.36	0.00	48.85	0.00	2.62	0.00	0.00	14.90	0.00	61.02	0.00	63	0	63	119.50	90.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.88	13.02	0.00	0.69	0.00	0.00
691	12.86	4083	4078	0.75	49	0	0	0	1	3	35	0	8	0	0	0.00	0.00	0.15	0.43	95.20	0.00	17.61	0.00	0.00	19.51	0.00	64.06	3.56	64	0	64	120.89	97.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.36	26.45	0.00	1.27	0.00	0.00
692	16.66	4088	3145	0.77	33	0	0	0	2	1	27	0	4	0	0	0.00	0.00	0.47	0.72	72.68	0.00	9.65	0.00	0.00	19.64	0.00	63.71	0.00	65	0	64	123.64	94.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.81	19.76	0.00	1.02	0.00	0.00
666	16.58	4088	3041	0.78	33	0	1	1	0	1	24	0	7	0	0	0.12	0.00	0.00	0.53	63.50	0.00	16.85	0.00	0.00	19.57	0.00	62.24	1.61	65	0	65	123.85	93.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.94	20.42	0.00	1.01	0.00	0.00
666	16.20	4088	3115	0.77	33	0	0	0	2	1	25	0	6	0	0	0.00	0.00	0.50	0.75	66.99	0.00	15.05	0.00	0.00	19.98	0.00	61.99	1.83	65	0	65	123.79	94.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.74	19.80	0.00	1.01	0.00	0.00
667	16.46	4086	3072	0.77	33	0	0	0	2	1	24	0	7	0	0	0.00	0.00	0.32	0.65	64.41	0.00	16.24	0.00	0.00	19.96	0.00	61.86	1.71	65	0	65	123.90	93.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.60	20.26	0.00	1.02	0.00	0.00
663	16.34	4087	3076	0.78	34	0	0	0	2	1	23	0	8	0	0	0.00	0.00	0.49	0.71	61.65	0.00	18.88	0.00	0.00	20.43	0.00	61.36	1.88	65	0	65	122.83	93.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.21	19.48	0.00	0.97	0.00	0.00
