Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.49	0.89	0.00
0	0	0.00	0.00	0.20	0.70	0.00
0	4	0.00	0.00	0.10	0.99	0.00
1	1	0.00	0.00	0.28	1.09	0.00
1	5	0.00	0.00	0.44	0.99	0.00
2	2	0.00	0.00	1.20	1.09	0.00
2	6	0.00	0.01	0.79	0.78	0.00
3	3	0.00	0.04	0.54	0.80	0.00
3	7	0.00	0.00	0.36	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.63	1.07	0.00
0	0	0.00	0.00	0.20	0.89	0.00
0	4	0.00	0.00	0.76	1.29	0.00
1	1	0.00	0.00	0.63	1.29	0.00
1	5	0.00	0.00	0.23	1.38	0.00
2	2	0.00	0.00	0.29	1.28	0.00
2	6	0.00	0.00	0.45	1.09	0.00
3	3	0.00	0.04	1.59	0.94	0.00
3	7	0.00	0.02	0.89	0.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.47	0.84	0.00
0	0	0.00	0.00	0.45	0.69	0.00
0	4	0.00	0.00	0.23	0.50	0.00
1	1	0.00	0.01	0.51	0.50	0.00
1	5	0.00	0.00	0.18	1.00	0.00
2	2	0.00	0.00	0.55	0.80	0.00
2	6	0.00	0.00	0.42	0.99	0.00
3	3	0.00	0.00	1.19	1.27	0.00
3	7	0.00	0.00	0.19	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.40	0.72	0.00
0	0	0.00	0.00	0.21	0.50	0.00
0	4	0.00	0.00	0.10	0.40	0.00
1	1	0.00	0.00	0.47	0.79	0.00
1	5	0.00	0.00	0.52	0.69	0.00
2	2	0.00	0.00	0.51	0.99	0.00
2	6	0.00	0.00	0.37	0.90	0.00
3	3	0.00	0.07	0.91	0.52	0.00
3	7	0.00	0.00	0.15	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.34	0.49	1.33	0.00
0	0	0.00	0.00	0.37	1.48	0.00
0	4	0.01	0.04	1.02	1.18	0.00
1	1	0.00	0.00	0.33	1.08	0.00
1	5	0.00	0.00	0.20	1.28	0.00
2	2	0.00	0.00	0.58	1.67	0.00
2	6	0.00	0.00	0.84	1.87	0.00
3	3	0.01	2.71	0.36	0.06	0.00
3	7	0.00	0.00	0.20	1.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	0.00	0.43	0.74	0.00
0	0	0.00	0.00	0.15	0.59	0.00
0	4	0.00	0.03	0.50	0.00	0.00
1	1	0.00	0.00	0.20	0.90	0.00
1	5	0.00	0.00	0.37	1.09	0.00
2	2	0.47	0.00	0.35	0.79	0.00
2	6	0.00	0.00	0.31	0.99	0.00
3	3	0.00	0.00	1.17	0.89	0.00
3	7	0.00	0.00	0.37	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.40	0.98	0.00
0	0	0.00	0.00	0.10	0.50	0.00
0	4	0.00	0.00	0.38	0.79	0.00
1	1	0.00	0.03	0.96	0.99	0.00
1	5	0.00	0.00	0.14	0.99	0.00
2	2	0.00	0.00	0.25	1.10	0.00
2	6	0.00	0.00	0.19	1.37	0.00
3	3	0.00	0.07	1.07	1.12	0.00
3	7	0.00	0.00	0.14	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.41	0.72	0.00
0	0	0.00	0.00	0.27	0.69	0.00
0	4	0.00	0.00	0.25	0.89	0.00
1	1	0.00	0.02	0.50	0.19	0.00
1	5	0.00	0.00	0.10	0.40	0.00
2	2	0.00	0.00	0.28	0.99	0.00
2	6	0.00	0.00	0.54	0.70	0.00
3	3	0.00	0.05	1.15	0.86	0.00
3	7	0.00	0.00	0.20	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.02	0.81	1.00	0.00
0	0	0.00	0.00	0.23	0.69	0.00
