Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.03	1.38	0.98	0.14
0	0	0.00	0.08	1.72	0.00	0.00
0	4	0.00	0.05	1.54	1.11	0.00
1	1	0.00	0.00	1.30	0.30	0.00
1	5	0.05	0.00	0.38	0.80	0.00
2	2	0.02	0.00	1.25	2.43	1.14
2	6	0.00	0.01	1.86	1.32	0.00
3	3	0.00	0.00	1.55	1.09	0.00
3	7	0.10	0.09	1.42	0.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.66	1.07	0.00
0	0	0.00	0.02	1.19	0.50	0.00
0	4	0.00	0.00	0.20	1.18	0.00
1	1	0.00	0.00	0.45	1.02	0.00
1	5	0.00	0.00	0.91	1.11	0.00
2	2	0.00	0.00	0.61	1.16	0.00
2	6	0.00	0.05	0.48	1.10	0.00
3	3	0.00	0.00	0.47	1.10	0.00
3	7	0.00	0.02	0.94	1.43	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.58	0.86	0.00
0	0	0.00	0.00	0.87	0.79	0.00
0	4	0.00	0.00	0.46	1.09	0.00
1	1	0.00	0.00	0.25	1.08	0.00
1	5	0.00	0.00	0.23	1.19	0.00
2	2	0.00	0.00	0.29	0.90	0.00
2	6	0.00	0.00	1.23	0.79	0.00
3	3	0.00	0.00	0.45	0.78	0.00
3	7	0.00	0.02	0.85	0.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.36	1.04	0.00
0	0	0.00	0.00	0.54	1.08	0.00
0	4	0.00	0.00	0.61	1.10	0.00
1	1	0.00	0.00	0.09	0.41	0.00
1	5	0.00	0.00	0.45	1.50	0.00
2	2	0.00	0.00	0.25	1.03	0.00
2	6	0.00	0.01	0.44	1.10	0.00
3	3	0.00	0.01	0.19	0.99	0.00
3	7	0.00	0.00	0.28	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.43	0.67	0.00
0	0	0.00	0.00	0.12	0.60	0.00
0	4	0.00	0.00	0.10	0.40	0.00
1	1	0.00	0.00	0.28	0.98	0.00
1	5	0.00	0.00	0.46	0.69	0.00
2	2	0.00	0.03	0.78	0.48	0.00
2	6	0.00	0.02	1.08	0.50	0.00
3	3	0.00	0.00	0.29	0.98	0.00
3	7	0.00	0.00	0.35	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	0.63	0.75	0.00
0	0	0.00	0.00	0.45	2.18	0.00
0	4	0.00	0.00	0.36	0.99	0.00
1	1	0.00	0.00	1.02	0.78	0.00
1	5	0.00	0.02	0.89	0.30	0.00
2	2	0.00	0.10	0.27	0.31	0.00
2	6	0.00	0.01	0.68	0.99	0.00
3	3	0.00	0.03	0.70	0.30	0.00
3	7	0.00	0.00	0.66	0.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.64	0.92	0.00
0	0	0.00	0.00	0.84	0.49	0.00
0	4	0.00	0.00	0.20	0.49	0.00
1	1	0.00	0.00	0.20	0.89	0.00
1	5	0.00	0.00	0.58	0.98	0.00
2	2	0.00	0.00	0.35	1.23	0.00
2	6	0.00	0.01	0.82	1.18	0.00
3	3	0.00	0.00	1.08	0.78	0.00
3	7	0.00	0.00	1.04	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.00	0.42	1.06	0.00
0	0	0.00	0.00	0.29	1.19	0.00
0	4	0.00	0.00	0.19	1.47	0.00
1	1	0.00	0.00	0.54	0.99	0.00
1	5	0.00	0.00	0.23	1.09	0.00
2	2	0.00	0.01	0.44	1.19	0.00
2	6	0.00	0.02	0.90	0.59	0.00
3	3	0.64	0.00	0.46	0.89	0.00
3	7	0.00	0.00	0.32	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.39	0.79	0.00
0	0	0.00	0.00	0.37	0.49	0.00
0	4	0.00	0.00	0.45	0.49	0.00
1	1	0.00	0.10	0.13	0.99	0.00
1	5	0.00	0.00	0.10	0.99	0.00
2	2	0.00	0.00	0.28	0.89	0.00
2	6	0.00	0.00	1.35	0.41	0.00
3	3	0.00	0.00	0.23	0.99	0.00
3	7	0.00	0.00	0.20	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.66	1.33	0.00
0	0	0.00	0.00	1.05	0.21	0.00
0	4	0.00	0.01	0.89	0.99	0.00
1	1	0.00	0.00	0.47	1.39	0.00
1	5	0.00	0.00	0.65	1.40	0.00
2	2	0.00	0.00	0.42	1.49	0.00
2	6	0.00	0.04	0.59	1.58	0.00
3	3	0.00	0.00	0.47	1.69	0.00
3	7	0.00	0.00	0.72	1.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.35	0.87	0.00
0	0	0.00	0.00	0.09	0.79	0.00
0	4	0.00	0.00	0.36	1.01	0.00
1	1	0.00	0.00	0.44	0.71	0.00
1	5	0.00	0.00	0.32	1.01	0.00
2	2	0.00	0.01	0.28	0.81	0.00
2	6	0.00	0.02	0.74	1.10	0.00
3	3	0.00	0.00	0.35	0.80	0.00
3	7	0.00	0.00	0.22	0.71	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	0.52	0.87	0.00
0	0	0.00	0.00	0.36	1.07	0.00
0	4	0.00	0.00	0.84	0.69	0.00
1	1	0.00	0.02	0.57	0.11	0.00
1	5	0.00	0.00	0.68	0.69	0.00
2	2	0.00	1.98	0.07	0.02	0.00
2	6	0.00	0.02	1.04	1.50	0.00
3	3	0.00	0.00	0.31	1.38	0.00
3	7	0.00	0.00	0.25	1.48	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.01	0.29	0.76	0.00
0	0	0.00	0.01	0.24	0.89	0.00
0	4	0.00	0.02	0.00	0.49	0.00
1	1	0.00	0.00	0.18	0.89	0.00
1	5	0.00	0.00	0.28	0.89	0.00
2	2	0.00	0.00	0.62	1.34	0.00
2	6	0.00	0.05	0.68	0.89	0.00
3	3	0.79	0.00	0.00	0.00	0.00
3	7	0.00	0.00	0.36	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	0.49	0.82	0.00
0	0	0.00	0.00	0.78	0.61	0.00
0	4	0.00	0.00	0.37	0.90	0.00
1	1	0.00	0.00	0.33	0.80	0.00
1	5	0.00	0.00	0.32	0.90	0.00
2	2	0.07	0.00	0.71	1.20	0.00
2	6	0.00	0.04	0.66	0.99	0.00
3	3	0.00	0.00	0.35	0.69	0.00
3	7	0.00	0.00	0.39	0.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.39	0.72	0.00
0	0	0.00	0.00	0.36	1.08	0.00
0	4	0.00	0.00	0.34	0.69	0.00
1	1	0.00	0.02	0.20	0.30	0.00
1	5	0.00	0.00	0.10	0.80	0.00
2	2	0.00	0.00	0.67	0.49	0.00
2	6	0.00	0.01	0.54	0.78	0.00
3	3	0.00	0.00	0.71	1.00	0.00
3	7	0.00	0.00	0.19	0.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.60	0.99	0.00
0	0	0.00	0.00	0.23	0.89	0.00
0	4	0.00	0.00	0.49	0.69	0.00
1	1	0.00	0.00	0.47	1.58	0.00
