Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.06	6.09	16.10	0.00
0	0	0.32	0.47	37.95	34.52	0.00
0	4	0.00	0.00	0.86	0.00	0.00
1	1	0.00	0.00	0.15	0.89	0.00
1	5	0.00	0.00	7.40	90.84	0.00
2	2	0.00	0.01	0.29	0.60	0.00
2	6	0.00	0.00	0.48	0.99	0.00
3	3	0.00	0.03	1.14	0.39	0.00
3	7	0.00	0.00	0.46	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.51	7.58	13.67	0.70
0	0	0.20	4.01	46.68	21.11	0.00
0	4	0.00	0.00	11.34	73.40	1.99
1	1	0.00	0.00	0.19	0.89	0.00
1	5	0.00	0.00	0.67	11.02	0.00
2	2	0.00	0.00	0.35	0.69	0.00
2	6	0.02	0.00	0.14	1.09	0.00
3	3	0.00	0.07	0.91	0.49	0.00
3	7	0.00	0.00	0.38	0.69	3.62
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.06	6.11	16.36	0.00
0	0	0.42	0.36	36.91	35.21	0.00
0	4	0.00	0.00	8.43	89.64	0.00
1	1	0.00	0.00	0.29	0.99	0.00
1	5	0.00	0.00	0.29	0.89	0.00
2	2	0.00	0.00	0.27	0.79	0.00
2	6	0.00	0.00	0.44	1.18	0.00
3	3	0.00	0.12	1.54	1.78	0.00
3	7	0.00	0.00	0.69	0.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.15	6.17	16.16	0.00
0	0	0.31	1.07	37.79	33.84	0.00
0	4	0.00	0.02	8.25	89.82	0.00
1	1	0.00	0.00	0.19	0.90	0.00
1	5	0.00	0.00	0.19	0.89	0.00
2	2	0.00	0.00	0.36	0.80	0.00
2	6	0.00	0.00	0.64	0.60	0.00
3	3	0.00	0.12	1.45	0.83	0.00
3	7	0.00	0.02	0.47	1.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.19	0.78	7.03	14.12	0.00
0	0	0.12	1.62	30.35	13.66	0.01
0	4	0.00	0.00	5.32	35.81	0.00
1	1	17.36	4.54	15.37	1.18	0.00
1	5	0.00	0.01	2.54	55.88	0.00
2	2	0.00	0.00	0.29	1.87	0.00
2	6	0.00	0.00	0.55	1.67	0.00
3	3	0.00	0.09	1.54	1.58	0.00
3	7	0.00	0.00	0.24	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.27	0.79	6.87	17.47	1.69
0	0	0.27	1.20	24.44	13.30	0.12
0	4	0.10	0.51	4.83	1.50	13.43
1	1	17.74	4.26	17.87	0.79	0.00
1	5	0.00	0.02	5.50	93.00	0.00
2	2	0.00	0.00	0.14	0.39	0.00
2	6	0.00	0.02	0.17	0.99	0.00
3	3	0.01	0.27	1.73	28.89	0.00
3	7	0.00	0.00	0.28	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.12	5.93	15.70	0.00
0	0	0.27	0.91	37.34	32.68	0.00
0	4	0.00	0.02	0.29	0.40	0.00
1	1	0.00	0.00	0.19	1.00	0.00
1	5	0.00	0.00	6.83	88.66	0.00
2	2	0.00	0.00	0.36	0.72	0.00
2	6	0.00	0.00	0.84	0.69	0.00
3	3	0.00	0.03	1.38	0.50	0.00
3	7	0.00	0.00	0.20	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.30	7.36	15.07	3.01
0	0	0.23	2.26	46.54	24.30	0.00
0	4	0.00	0.02	2.36	0.00	24.09
1	1	0.00	0.00	0.19	0.89	0.00
1	5	0.00	0.00	7.03	91.32	0.00
2	2	0.00	0.00	0.69	0.69	0.00
2	6	0.00	0.00	0.14	0.79	0.00
3	3	0.00	0.08	1.35	0.00	0.00
3	7	0.00	0.00	0.60	2.55	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.83	0.69	7.37	14.31	2.89
0	0	0.10	3.82	43.17	16.55	0.00
0	4	0.00	0.00	0.63	0.00	23.12
1	1	6.53	1.56	7.50	1.29	0.00
