Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.71	70.48	17.05	0.00
0	0	0.16	0.69	74.97	13.57	0.00
0	4	0.18	0.76	71.27	18.14	0.00
1	1	0.01	0.36	71.62	17.87	0.00
1	5	0.17	0.40	72.41	17.93	0.00
2	2	0.02	0.45	66.15	23.45	0.00
2	6	0.08	0.56	67.51	22.43	0.00
3	3	0.06	0.73	76.88	12.71	0.00
3	7	0.02	1.78	63.40	10.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.77	70.32	17.34	0.00
0	0	0.00	0.62	76.67	12.20	0.00
0	4	0.00	1.09	74.86	14.49	0.00
1	1	0.01	0.43	67.23	21.98	0.00
1	5	0.01	0.29	67.45	23.27	0.00
2	2	0.01	0.40	68.42	21.52	0.00
2	6	0.00	0.57	69.05	21.56	0.00
3	3	0.00	0.46	76.35	13.59	0.00
3	7	0.01	2.30	62.72	10.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	70.21	17.77	0.00
0	0	0.00	0.60	79.02	9.62	0.00
0	4	0.00	0.65	71.68	18.72	0.00
1	1	0.02	0.51	71.94	17.82	0.00
1	5	0.00	0.23	67.79	22.97	0.00
2	2	0.00	0.49	67.91	21.99	0.00
2	6	0.01	0.61	66.10	24.47	0.00
3	3	0.01	0.52	74.66	15.28	0.00
3	7	0.01	1.73	62.50	11.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.68	70.22	17.77	0.00
0	0	0.00	0.65	78.06	10.67	0.00
0	4	0.00	0.69	73.74	16.65	0.00
1	1	0.01	0.41	69.98	19.82	0.00
1	5	0.00	0.16	68.05	23.00	0.00
2	2	0.00	0.48	66.04	23.87	0.00
2	6	0.00	0.59	67.23	23.32	0.00
3	3	0.00	0.48	75.66	14.29	0.00
3	7	0.01	1.97	63.04	10.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	69.18	16.75	0.00
0	0	0.00	0.56	74.36	12.07	0.00
0	4	0.01	1.14	72.19	14.67	0.00
1	1	0.01	0.40	69.30	19.03	0.00
1	5	0.01	0.30	67.55	21.38	0.00
2	2	0.01	0.38	68.49	19.54	0.00
2	6	0.01	0.43	66.95	21.36	0.00
3	3	0.00	0.56	73.38	14.76	0.00
3	7	0.05	1.83	60.56	11.03	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.65	70.47	17.17	0.00
0	0	0.00	0.67	76.33	12.53	0.00
0	4	0.00	0.71	75.14	15.13	0.00
1	1	0.01	0.37	69.69	20.00	0.00
1	5	0.01	0.21	71.28	19.60	0.00
2	2	0.03	0.45	65.87	22.67	0.00
2	6	0.01	0.47	68.16	22.53	0.00
3	3	0.00	0.61	75.61	13.67	0.00
3	7	0.01	1.73	62.35	11.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.80	69.91	17.79	0.00
0	0	0.01	0.54	75.19	13.85	0.00
0	4	0.00	0.60	75.62	14.22	0.00
1	1	0.01	0.53	67.76	21.39	0.00
1	5	0.00	0.22	68.93	22.16	0.00
2	2	0.01	0.41	66.33	23.03	0.00
2	6	0.00	1.32	67.46	22.25	0.00
3	3	0.00	0.56	75.20	14.71	0.00
3	7	0.01	2.23	62.34	10.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	70.97	16.97	0.00
0	0	0.00	0.56	75.92	13.06	0.00
0	4	0.00	0.67	76.16	14.03	0.00
1	1	0.01	0.51	69.79	19.71	0.00
1	5	0.01	0.27	68.63	22.35	0.00
2	2	0.01	0.50	69.55	20.39	0.00
2	6	0.01	0.56	70.03	20.61	0.00
3	3	0.01	0.48	75.17	14.78	0.00
3	7	0.01	1.88	62.80	10.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.65	70.70	17.32	0.00
0	0	0.00	0.58	75.81	12.95	0.00
0	4	0.00	0.71	73.22	17.21	0.00
1	1	0.01	0.54	71.42	18.31	0.00
1	5	0.00	0.24	69.48	21.55	0.00
2	2	0.01	0.49	66.45	23.49	0.00
2	6	0.00	0.51	66.94	23.71	0.00
3	3	0.00	0.52	77.98	11.95	0.00
3	7	0.01	1.64	64.41	9.46	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.78	69.46	16.46	0.00
0	0	0.00	0.56	73.26	13.44	0.00
0	4	0.02	1.51	68.53	18.62	0.00
1	1	0.01	0.46	70.76	17.10	0.00
1	5	0.01	0.22	67.82	20.69	0.00
2	2	0.01	0.38	69.91	17.96	0.00
2	6	0.00	0.51	67.03	21.70	0.00
3	3	0.00	0.53	76.02	11.97	0.00
3	7	0.11	2.08	61.73	10.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.66	70.74	17.16	0.00
0	0	0.00	0.61	78.24	10.53	0.00
0	4	0.00	0.63	72.32	18.08	0.00
1	1	0.01	0.45	71.30	18.56	0.00
1	5	0.01	0.23	70.61	20.33	0.00
2	2	0.00	0.50	68.80	21.11	0.00
2	6	0.00	0.51	68.37	22.27	0.00
3	3	0.00	0.48	75.32	14.64	0.00
3	7	0.01	1.90	61.61	11.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.83	70.30	17.48	0.00
0	0	0.00	0.66	78.16	10.52	0.00
0	4	0.00	0.58	70.57	20.08	0.00
1	1	0.01	0.42	71.36	18.61	0.00
1	5	0.00	0.36	70.18	20.49	0.00
2	2	0.01	0.39	68.00	21.69	0.00
2	6	0.00	1.32	67.94	21.72	0.00
3	3	0.00	0.60	74.19	15.45	0.00
3	7	0.03	2.29	62.01	11.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.66	70.97	17.04	0.00
0	0	0.00	0.59	78.71	10.04	0.00
0	4	0.00	0.64	72.45	18.03	0.00
1	1	0.00	0.52	72.94	16.80	0.00
1	5	0.00	0.23	69.80	21.20	0.00
2	2	0.00	0.40	67.09	22.96	0.00
2	6	0.01	0.53	68.08	22.58	0.00
3	3	0.00	0.47	75.69	14.30	0.00
3	7	0.01	1.89	63.01	10.44	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	70.85	17.19	0.00
0	0	0.01	0.54	80.08	8.67	0.00
0	4	0.00	0.56	71.79	18.76	0.00
1	1	0.01	0.58	70.65	19.09	0.00
1	5	0.01	0.28	69.55	21.36	0.00
2	2	0.01	0.34	67.19	22.84	0.00
