Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	3.68	21.94	21.84	0.00
0	0	0.01	11.75	23.37	6.67	0.00
0	4	0.39	15.67	15.84	7.00	0.00
1	1	0.00	0.20	21.43	24.60	0.00
1	5	0.00	0.19	23.64	30.43	0.00
2	2	0.01	0.17	24.22	18.99	0.00
2	6	0.01	0.22	20.91	28.65	0.00
3	3	0.00	0.96	21.26	31.37	0.00
3	7	0.00	0.30	24.83	27.02	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	2.20	26.96	23.83	0.02
0	0	0.02	4.24	29.25	9.07	0.01
0	4	0.01	6.05	25.47	31.11	0.00
1	1	0.23	2.30	24.94	18.62	0.00
1	5	0.43	3.00	25.61	21.55	0.00
2	2	0.00	0.29	26.70	22.77	0.00
2	6	0.11	0.24	28.33	27.90	0.12
3	3	0.14	1.11	26.84	31.00	0.00
3	7	0.13	0.36	28.57	28.62	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	3.08	19.41	18.42	0.09
0	0	0.01	10.02	19.78	5.01	0.00
0	4	0.02	13.95	15.19	8.15	0.00
1	1	0.01	0.11	19.94	19.38	0.00
1	5	0.01	0.10	17.61	17.20	0.00
2	2	0.00	0.12	19.76	20.88	0.00
2	6	0.01	0.10	19.30	34.82	0.00
3	3	0.00	0.11	19.40	14.59	0.75
3	7	0.01	0.15	24.33	27.36	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	3.59	22.28	23.61	0.09
0	0	0.04	26.35	7.06	0.07	0.00
0	4	0.01	0.76	26.39	26.85	0.00
1	1	0.00	0.28	23.68	41.04	0.00
1	5	0.00	0.62	24.77	21.49	0.68
2	2	0.00	0.18	23.53	21.49	0.00
2	6	0.00	0.13	21.85	27.53	0.05
3	3	0.00	0.20	24.18	27.71	0.00
3	7	0.01	0.22	26.75	22.72	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.18	3.99	21.77	22.79	0.02
0	0	0.01	0.39	33.66	8.58	0.00
0	4	0.70	25.22	9.73	4.10	0.00
1	1	0.58	3.92	19.29	26.96	0.00
1	5	0.14	1.36	22.86	37.37	0.00
2	2	0.01	0.22	22.20	20.31	0.00
2	6	0.01	0.27	23.28	37.07	0.14
3	3	0.01	0.28	19.42	25.14	0.00
3	7	0.01	0.29	23.68	22.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.75	21.70	21.69	0.02
0	0	0.01	0.45	30.18	13.36	0.03
0	4	0.00	0.17	20.69	42.83	0.00
1	1	0.77	16.85	15.28	8.42	0.00
1	5	0.26	8.11	18.88	14.77	0.00
2	2	0.00	0.22	21.16	27.52	0.00
2	6	0.00	0.21	19.32	19.81	0.00
3	3	0.11	3.48	21.12	23.22	0.10
3	7	0.10	0.47	26.98	23.58	0.00
