Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.69	72.65	15.38	0.00
0	0	0.21	0.55	75.30	13.37	0.00
0	4	0.00	0.47	72.53	18.10	0.00
1	1	0.01	0.32	73.80	16.38	0.00
1	5	0.00	0.54	72.03	18.58	0.00
2	2	0.00	0.54	70.12	19.80	0.00
2	6	0.00	0.35	70.35	20.50	0.00
3	3	0.01	0.43	80.94	9.03	0.00
3	7	0.20	2.32	65.85	7.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.79	69.75	16.04	0.00
0	0	0.01	0.39	71.25	15.39	0.00
0	4	0.00	0.57	72.67	16.12	0.00
1	1	0.01	0.37	70.51	16.60	0.00
1	5	0.01	1.19	67.80	19.62	0.00
2	2	0.00	0.51	67.86	20.09	0.00
2	6	0.01	0.42	68.08	20.82	0.00
3	3	0.00	0.34	76.71	11.38	0.00
3	7	0.01	2.58	63.13	8.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.65	73.27	14.73	0.00
0	0	0.01	0.49	78.55	10.37	0.00
0	4	0.00	0.58	75.12	15.29	0.00
1	1	0.01	0.30	73.09	16.73	0.00
1	5	0.00	0.27	71.42	19.60	0.00
2	2	0.00	0.53	71.02	18.92	0.00
2	6	0.00	0.41	71.06	19.83	0.00
3	3	0.00	0.44	80.12	9.04	0.00
3	7	0.01	2.21	65.43	8.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.75	70.67	17.02	0.00
0	0	0.01	0.38	71.43	17.48	0.00
0	4	0.00	0.74	70.30	19.17	0.00
1	1	0.01	0.37	73.97	16.00	0.00
1	5	0.00	0.41	71.19	19.45	0.00
2	2	0.00	0.57	68.44	20.80	0.00
2	6	0.00	0.48	68.22	22.49	0.00
3	3	0.01	0.46	78.83	10.76	0.00
3	7	0.01	2.62	63.00	10.05	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	73.71	14.34	0.00
0	0	0.00	0.83	75.57	13.04	0.00
0	4	0.01	0.31	72.37	18.35	0.00
1	1	0.01	0.09	73.61	16.62	0.00
1	5	0.00	0.58	71.85	18.85	0.00
2	2	0.01	0.54	72.55	17.30	0.00
2	6	0.00	0.18	71.45	19.50	0.00
3	3	0.00	0.36	83.05	7.00	0.00
3	7	0.02	2.49	69.25	4.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	72.11	15.81	0.00
0	0	0.01	0.52	75.99	12.77	0.00
0	4	0.01	0.47	71.53	19.16	0.00
1	1	0.01	0.32	73.30	16.74	0.00
1	5	0.00	0.34	71.49	19.28	0.00
2	2	0.00	0.43	70.26	19.67	0.00
2	6	0.00	0.58	70.30	20.34	0.00
3	3	0.01	0.56	80.11	9.79	0.00
3	7	0.01	2.31	64.50	8.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.26	67.37	17.86	0.00
0	0	0.01	0.46	72.74	14.80	0.00
0	4	0.01	0.54	67.89	20.52	0.00
1	1	0.01	0.47	69.44	18.17	0.00
1	5	0.00	2.95	66.26	21.22	0.00
2	2	0.01	0.38	64.31	23.88	0.00
2	6	0.01	0.60	65.24	23.84	0.00
3	3	0.01	0.47	74.41	12.56	0.00
3	7	0.22	4.19	58.68	7.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.70	71.66	16.39	0.00
0	0	0.01	0.46	71.75	17.35	0.00
0	4	0.00	0.58	71.82	18.61	0.00
1	1	0.01	0.42	72.25	17.42	0.00
1	5	0.00	0.39	72.11	18.64	0.00
2	2	0.00	0.52	69.06	20.87	0.00
2	6	0.00	0.45	70.48	20.32	0.00
3	3	0.00	0.51	79.90	10.02	0.00
3	7	0.21	2.24	65.29	7.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.82	71.43	16.41	0.00
0	0	0.01	0.41	74.54	14.35	0.00
0	4	0.00	1.29	72.25	17.27	0.00
1	1	0.01	0.45	72.23	17.56	0.00
1	5	0.01	0.42	71.65	19.15	0.00
2	2	0.01	0.52	67.84	22.09	0.00
2	6	0.00	0.53	69.73	21.04	0.00
3	3	0.01	0.56	78.88	11.03	0.00
3	7	0.01	2.41	64.47	8.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	72.96	15.12	0.00
0	0	0.00	0.61	71.15	17.79	0.00
0	4	0.00	0.49	72.05	18.46	0.00
1	1	0.02	0.20	75.02	15.04	0.00
1	5	0.00	0.46	71.05	19.78	0.00
2	2	0.01	0.66	70.97	18.90	0.00
2	6	0.01	0.26	71.66	19.28	0.00
3	3	0.00	0.36	83.12	6.90	0.00
3	7	0.02	2.54	68.49	4.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.81	16.10	0.00
0	0	0.01	0.50	73.50	15.46	0.00
0	4	0.00	0.65	72.82	17.56	0.00
1	1	0.01	0.31	71.78	18.33	0.00
1	5	0.00	0.45	72.54	18.08	0.00
2	2	0.01	0.53	70.24	19.52	0.00
2	6	0.00	0.41	69.93	20.84	0.00
3	3	0.01	0.48	79.04	10.93	0.00
3	7	0.01	2.25	65.32	8.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	1.04	69.03	17.12	0.01
0	0	0.00	0.45	71.09	16.49	0.00
0	4	0.01	0.42	70.71	17.69	0.00
1	1	0.01	0.42	69.92	18.08	0.00
1	5	0.00	1.59	67.79	19.42	0.09
2	2	0.01	0.51	67.67	20.87	0.00
2	6	0.00	0.40	67.17	21.38	0.00
3	3	0.00	0.54	75.75	13.38	0.00
3	7	0.01	4.00	61.90	9.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.67	71.61	16.45	0.00
0	0	0.00	0.60	74.39	14.41	0.00
0	4	0.00	0.42	73.45	17.16	0.00
1	1	0.00	0.35	71.09	18.85	0.00
1	5	0.00	0.42	71.27	19.59	0.00
2	2	0.01	0.46	69.50	20.41	0.00
2	6	0.00	0.50	70.57	20.12	0.00
3	3	0.00	0.66	78.51	11.40	0.00
3	7	0.30	1.93	63.61	9.55	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.79	71.40	16.35	0.00
0	0	0.01	0.39	74.25	14.35	0.00
0	4	0.00	1.29	71.22	18.53	0.00
1	1	0.01	0.45	75.39	14.47	0.00
1	5	0.00	0.32	70.00	20.75	0.00
2	2	0.00	0.48	69.79	20.06	0.00
2	6	0.01	0.55	70.02	20.70	0.00
3	3	0.00	0.48	78.22	11.54	0.00
3	7	0.02	2.40	62.89	10.52	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.96	16.19	0.00
0	0	0.00	0.56	75.45	13.38	0.00
0	4	0.00	0.44	71.59	19.08	0.00
1	1	0.01	0.26	73.70	16.41	0.00
1	5	0.00	0.53	70.37	20.39	0.00
2	2	0.01	0.64	69.66	20.19	0.00
2	6	0.00	0.31	70.11	20.79	0.00
3	3	0.00	0.41	78.91	11.14	0.00
3	7	0.02	2.27	65.37	8.05	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	72.53	15.40	0.00
0	0	0.01	0.62	73.97	14.82	0.00
0	4	0.00	0.54	71.44	19.07	0.00
1	1	0.01	0.27	74.94	15.02	0.00
1	5	0.00	0.48	70.39	20.39	0.00
2	2	0.01	0.63	70.58	19.25	0.00
2	6	0.00	0.41	70.36	20.41	0.00
3	3	0.00	0.46	81.57	8.42	0.00
3	7	0.01	2.32	67.44	5.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.99	69.74	16.08	0.00
0	0	0.00	0.54	74.99	11.87	0.00
0	4	0.00	0.47	68.91	19.86	0.00
1	1	0.01	0.30	70.83	16.74	0.00
1	5	0.00	1.34	68.39	18.98	0.00
2	2	0.01	0.54	67.20	20.05	0.00
2	6	0.00	0.44	67.48	21.81	0.00
