Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.26	8.38	4.14	0.00
0	0	0.00	2.04	63.93	27.51	0.00
0	4	0.00	0.02	0.50	0.00	0.00
1	1	0.00	0.00	0.10	0.99	0.00
1	5	0.00	0.00	0.88	0.79	0.00
2	2	0.00	0.00	0.55	0.89	0.00
2	6	0.00	0.00	0.33	0.89	0.00
3	3	0.00	0.00	0.42	0.81	0.00
3	7	0.00	0.00	0.31	1.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.37	4.31	0.00
0	0	0.00	2.08	64.46	26.93	0.00
0	4	0.00	0.00	0.56	0.00	0.00
1	1	0.00	0.00	0.33	2.16	0.00
1	5	0.00	0.12	0.10	0.99	0.00
2	2	0.00	0.00	0.69	0.70	0.00
2	6	0.00	0.04	0.19	1.40	0.00
3	3	0.00	0.01	0.19	1.08	0.00
3	7	0.00	0.00	0.44	1.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	8.66	3.88	1.01
0	0	0.00	2.38	65.65	25.48	0.00
0	4	0.00	0.00	0.76	0.11	8.08
1	1	0.00	0.00	0.72	0.60	0.00
1	5	0.00	0.00	0.75	0.90	0.00
2	2	0.00	0.02	0.29	0.80	0.00
2	6	0.00	0.02	0.15	1.10	0.00
3	3	0.00	0.00	0.38	1.15	0.00
3	7	0.00	0.00	0.57	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.49	4.09	0.00
0	0	0.00	2.24	64.40	26.84	0.00
0	4	0.00	0.00	0.50	0.00	0.00
1	1	0.00	0.00	0.18	1.09	0.00
1	5	0.00	0.00	0.46	0.89	0.00
2	2	0.00	0.00	0.54	1.19	0.00
2	6	0.00	0.00	0.73	1.19	0.00
3	3	0.00	0.02	0.38	0.74	0.00
3	7	0.00	0.00	0.69	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.54	4.04	0.62
0	0	0.00	2.16	64.45	26.76	0.00
0	4	0.00	0.00	0.62	0.10	4.17
1	1	0.00	0.01	0.30	0.62	0.00
1	5	0.00	0.00	0.79	0.89	0.00
2	2	0.00	0.00	0.47	0.98	0.00
2	6	0.00	0.00	0.45	0.98	0.00
3	3	0.00	0.00	0.31	0.89	0.79
3	7	0.00	0.03	0.90	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.26	8.46	4.25	0.00
0	0	0.00	2.08	64.17	27.21	0.00
0	4	0.00	0.00	0.47	0.48	0.00
1	1	0.00	0.00	0.24	0.89	0.00
1	5	0.00	0.00	0.73	0.99	0.00
2	2	0.00	0.00	0.10	1.09	0.00
2	6	0.00	0.00	0.59	1.38	0.00
3	3	0.00	0.00	0.96	0.76	0.00
3	7	0.00	0.00	0.46	1.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.43	4.27	0.00
0	0	0.00	2.18	63.81	27.43	0.00
0	4	0.00	0.00	0.38	0.51	0.00
1	1	0.00	0.00	0.30	1.09	0.00
1	5	0.01	0.01	0.86	1.20	0.00
2	2	0.00	0.00	0.62	1.09	0.00
2	6	0.00	0.02	0.28	0.90	0.00
3	3	0.00	0.00	0.58	0.95	0.00
3	7	0.00	0.00	0.59	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.29	8.68	3.89	0.67
0	0	0.00	2.23	65.65	25.65	0.00
0	4	0.00	0.00	0.70	0.00	4.38
1	1	0.00	0.00	0.59	0.70	0.00
1	5	0.00	0.00	1.06	0.69	0.00
2	2	0.00	0.06	0.30	0.79	0.00
2	6	0.00	0.01	0.24	1.48	1.01
3	3	0.00	0.02	0.39	0.83	0.00
3	7	0.00	0.00	0.51	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.53	3.92	0.00
0	0	0.00	2.15	64.83	26.51	0.00
0	4	0.00	0.00	0.63	0.10	0.00
1	1	0.00	0.01	0.38	0.50	0.00
1	5	0.00	0.00	0.19	0.90	0.00
2	2	0.00	0.00	0.57	0.80	0.00
2	6	0.00	0.00	0.94	0.50	0.00
3	3	0.00	0.05	0.29	1.10	0.00
3	7	0.00	0.03	0.41	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.29	8.37	4.24	0.46
0	0	0.00	2.28	64.52	26.74	0.00
0	4	0.00	0.00	0.56	0.10	2.79
1	1	0.00	0.00	0.45	1.49	0.89
1	5	0.00	0.00	0.22	0.89	0.00
2	2	0.00	0.00	0.10	0.79	0.00
2	6	0.00	0.00	0.33	1.88	0.00
3	3	0.00	0.00	0.47	0.87	0.00
3	7	0.00	0.00	0.36	1.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	8.87	4.31	0.52
0	0	0.00	2.28	64.63	26.55	0.00
0	4	0.00	0.09	1.21	0.00	4.19
1	1	0.00	0.01	1.18	1.18	0.00
1	5	0.00	0.00	0.25	1.48	0.00
2	2	0.00	0.00	1.02	1.17	0.00
2	6	0.00	0.03	1.27	1.19	0.00
3	3	0.00	0.00	0.79	1.63	0.00
3	7	0.00	0.00	0.60	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.59	0.25	7.82	4.08	0.00
0	0	2.13	1.68	45.60	18.12	0.00
0	4	0.00	0.02	0.60	0.00	0.00
1	1	2.56	0.30	12.95	9.18	0.00
1	5	0.00	0.04	0.88	1.08	0.00
2	2	0.00	0.00	0.36	0.89	0.00
2	6	0.00	0.00	0.94	1.38	0.00
3	3	0.00	0.00	0.52	0.73	0.00
3	7	0.00	0.00	0.72	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.71	0.38	6.27	4.25	0.01
0	0	11.16	0.43	6.83	7.41	0.11
0	4	0.00	0.01	0.68	0.45	0.00
1	1	10.52	2.55	40.54	20.09	0.00
1	5	0.00	0.00	0.00	0.69	0.00
2	2	0.00	0.00	0.28	0.99	0.00
2	6	0.00	0.02	0.38	1.08	0.00
3	3	0.00	0.00	0.74	1.36	0.00
3	7	0.00	0.03	0.72	1.94	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.75	0.31	6.64	4.90	0.00
0	0	11.14	0.89	9.51	10.92	0.00
0	4	0.00	0.02	0.80	1.28	0.00
1	1	10.82	1.52	40.87	21.51	0.00
1	5	0.00	0.00	0.30	0.99	0.00
2	2	0.00	0.00	0.22	0.99	0.00
2	6	0.00	0.03	0.12	1.61	0.00
3	3	0.00	0.00	0.38	1.48	0.00
3	7	0.00	0.00	0.90	0.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.59	0.66	7.29	4.90	0.00
0	0	16.02	2.06	13.41	14.96	0.02
0	4	0.00	0.00	0.29	0.42	0.00
1	1	12.75	3.22	42.20	18.80	0.00
1	5	0.00	0.00	0.39	0.20	0.00
2	2	0.00	0.00	0.36	1.10	0.00
2	6	0.00	0.00	0.49	0.79	0.00
3	3	0.00	0.00	0.28	1.72	0.00
3	7	0.00	0.00	0.92	1.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.57	0.34	6.62	4.52	0.00
0	0	10.92	0.96	8.75	12.20	0.00
0	4	0.00	0.01	0.59	0.00	0.00
1	1	9.67	1.72	41.77	19.51	0.00
1	5	0.00	0.00	0.58	0.59	0.00
2	2	0.00	0.00	0.56	1.08	0.00
2	6	0.00	0.00	0.25	0.99	0.00
3	3	0.00	0.00	0.32	0.82	0.00
3	7	0.00	0.00	0.10	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.99	0.32	6.79	5.76	0.00
0	0	7.52	0.84	8.98	8.60	0.00
0	4	0.00	0.00	0.44	0.59	0.00
1	1	8.37	1.59	43.38	20.34	0.00
1	5	0.01	0.10	0.32	11.50	0.00
2	2	0.00	0.00	0.30	1.08	0.00
2	6	0.00	0.00	0.40	1.48	0.00
3	3	0.00	0.00	0.26	1.26	0.00
3	7	0.00	0.00	0.24	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.27	0.34	6.70	6.85	0.05
0	0	9.31	0.58	10.15	10.87	0.00
0	4	0.00	0.00	0.27	0.90	0.00
1	1	8.87	2.08	39.49	23.08	0.00
1	5	0.00	0.03	1.05	16.86	0.00
2	2	0.00	0.00	1.05	0.69	0.00
2	6	0.01	0.02	0.88	0.77	0.39
3	3	0.00	0.00	0.29	0.85	0.00
3	7	0.00	0.00	0.37	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	8.53	3.99	0.00
0	0	0.00	2.42	65.03	26.02	0.00
0	4	0.00	0.00	0.30	0.20	0.00
1	1	0.00	0.00	0.45	1.29	0.00
1	5	0.00	0.00	0.77	0.59	0.00
2	2	0.00	0.00	0.74	0.89	0.00
2	6	0.00	0.00	0.34	0.89	0.00
3	3	0.00	0.01	0.39	1.12	0.00
3	7	0.00	0.00	0.20	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.44	4.12	0.58
0	0	0.00	2.20	64.94	26.37	0.00
0	4	0.00	0.00	0.53	0.50	4.68
1	1	0.00	0.02	0.55	1.59	0.00
1	5	0.00	0.00	0.20	0.70	0.00
2	2	0.00	0.00	0.57	1.00	0.00
2	6	0.00	0.00	0.27	1.00	0.00
3	3	0.00	0.00	0.24	0.90	0.00
3	7	0.00	0.02	0.20	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	8.34	4.22	0.00
