Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.80	13.53	43.18	2.91	0.00
0	0	2.14	15.63	35.19	0.86	0.03
0	4	1.27	11.31	49.97	5.18	0.00
1	1	1.93	14.14	44.53	1.82	0.00
1	5	1.74	12.51	46.69	2.57	0.00
2	2	2.00	15.13	42.62	0.63	0.00
2	6	1.69	12.25	45.28	3.88	0.00
3	3	1.40	12.47	38.49	5.97	0.00
3	7	2.22	14.84	42.67	2.35	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.15	9.64	48.74	8.12	0.00
0	0	1.64	11.48	42.00	3.02	0.00
0	4	0.55	8.16	53.48	13.00	0.00
1	1	0.87	9.37	47.35	4.86	0.00
1	5	1.36	9.50	50.04	9.75	0.00
2	2	1.16	9.91	47.91	8.33	0.00
2	6	1.38	9.29	50.64	9.79	0.01
3	3	1.31	8.99	48.67	8.28	0.00
3	7	0.92	10.42	49.89	7.96	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.15	10.92	49.56	4.19	0.10
0	0	1.80	11.80	46.34	2.67	0.00
0	4	0.87	10.65	54.08	2.07	0.00
1	1	0.95	11.90	52.14	3.45	0.00
1	5	1.41	9.99	51.74	4.60	0.00
2	2	1.23	12.18	44.39	5.06	0.76
2	6	0.40	9.09	50.71	5.23	0.04
3	3	1.46	10.96	47.27	5.63	0.00
3	7	1.11	10.87	50.28	4.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.73	7.45	52.13	7.89	0.01
0	0	0.67	8.74	50.11	7.10	0.00
0	4	0.35	7.74	53.70	5.70	0.00
1	1	0.97	7.52	52.84	11.05	0.00
1	5	0.57	7.01	49.74	9.01	0.00
2	2	0.82	6.09	51.94	9.77	0.00
2	6	0.97	7.82	52.69	6.17	0.00
3	3	0.68	7.20	52.68	7.60	0.08
3	7	0.81	7.40	52.86	6.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.82	6.85	53.91	7.97	0.00
0	0	1.33	7.61	50.89	7.29	0.00
0	4	0.51	5.77	50.82	8.30	0.02
1	1	0.73	6.83	56.15	6.20	0.00
1	5	0.85	7.16	54.17	7.96	0.00
2	2	0.75	7.41	55.73	5.31	0.00
2	6	0.83	7.12	54.24	9.67	0.00
3	3	0.50	7.01	56.17	6.43	0.00
3	7	1.02	5.92	53.10	12.64	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.76	8.05	51.96	7.87	0.13
0	0	0.52	9.94	50.22	6.43	0.00
0	4	0.81	7.38	51.35	7.24	0.04
1	1	1.11	6.91	55.58	7.95	0.00
1	5	0.51	7.18	51.62	8.82	0.01
2	2	0.93	7.81	54.91	7.69	0.00
2	6	1.05	9.66	46.26	7.74	0.85
3	3	0.60	7.68	52.94	9.25	0.00
3	7	0.51	7.89	52.74	7.84	0.14
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.49	7.18	52.21	10.67	0.00
0	0	0.51	8.02	52.29	9.81	0.00
0	4	0.27	5.98	52.66	11.83	0.00
1	1	0.35	6.23	55.12	8.25	0.00
1	5	0.73	7.15	54.73	10.18	0.00
2	2	0.72	5.59	49.83	12.67	0.00
