Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.75	8.52	0.00
0	0	0.00	0.02	0.76	0.17	0.00
0	4	0.00	0.00	0.43	0.20	0.00
1	1	0.00	0.00	35.31	62.45	0.00
1	5	0.00	0.00	0.38	1.20	0.00
2	2	0.00	0.00	0.28	0.89	0.00
2	6	0.00	0.00	0.36	0.79	0.00
3	3	0.00	0.00	0.42	1.50	0.00
3	7	0.00	0.02	0.10	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.88	8.42	0.00
0	0	0.00	0.01	0.88	0.96	0.00
0	4	0.00	0.00	0.55	0.00	0.00
1	1	0.00	0.00	35.97	61.80	0.00
1	5	0.00	0.02	0.25	0.40	0.00
2	2	0.00	0.00	0.10	0.60	0.00
2	6	0.00	0.00	0.28	0.89	0.00
3	3	0.00	0.00	0.67	1.69	0.00
3	7	0.00	0.01	0.32	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	5.06	8.73	0.00
0	0	0.00	0.00	1.25	1.57	0.00
0	4	0.00	0.00	0.36	0.59	0.00
1	1	0.08	0.04	36.62	60.98	0.00
1	5	0.00	0.00	0.21	0.50	0.00
2	2	0.00	0.00	0.08	0.60	0.00
2	6	0.00	0.00	0.19	1.09	0.00
3	3	0.00	0.04	0.62	3.48	0.00
3	7	0.00	0.00	1.13	1.06	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	4.81	9.03	0.00
0	0	0.00	0.01	0.71	0.96	0.00
0	4	0.00	0.00	0.28	1.68	0.00
1	1	0.00	0.01	34.58	63.27	0.00
1	5	0.00	0.00	0.34	1.58	0.00
2	2	0.00	0.00	0.32	1.58	0.00
2	6	0.00	0.00	0.89	1.58	0.00
3	3	0.00	1.95	0.12	0.28	0.00
3	7	0.00	0.00	1.21	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	5.03	8.63	0.00
0	0	0.00	0.01	0.90	0.47	0.00
0	4	0.00	0.00	0.88	0.98	0.00
1	1	0.01	0.03	35.44	61.93	0.00
1	5	0.00	0.00	0.95	1.59	0.00
2	2	0.00	0.02	0.48	0.99	0.00
2	6	0.00	0.00	0.20	1.09	0.00
3	3	0.04	0.03	1.05	0.53	0.00
3	7	0.00	0.00	0.35	1.48	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	5.10	8.28	0.11
0	0	0.00	0.04	0.71	0.28	0.00
0	4	0.00	0.08	0.74	0.40	0.00
1	1	0.00	0.00	36.33	61.42	0.00
1	5	0.00	0.00	0.36	0.89	0.90
2	2	0.00	0.00	0.83	0.89	0.00
2	6	0.00	0.00	0.23	1.08	0.00
3	3	0.00	0.00	1.18	0.46	0.00
3	7	0.00	0.00	0.42	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	4.84	8.53	0.00
0	0	0.00	0.01	1.09	1.08	0.00
0	4	0.00	0.00	0.49	0.00	0.00
1	1	0.00	0.02	35.47	62.21	0.00
1	5	0.00	0.00	0.25	1.20	0.00
2	2	0.00	0.00	0.24	1.00	0.00
2	6	0.00	0.00	0.22	1.10	0.00
3	3	0.00	0.00	0.68	0.76	0.00
3	7	0.00	0.00	0.28	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.95	8.36	0.00
0	0	0.00	0.01	1.02	0.28	0.00
0	4	0.00	0.01	0.50	0.00	0.00
1	1	0.00	0.05	35.44	62.26	0.00
1	5	0.00	0.00	0.77	1.09	0.00
2	2	0.00	0.00	0.35	0.89	0.00
2	6	0.00	0.00	0.83	0.79	0.00
3	3	0.00	0.04	0.39	0.75	0.00
3	7	0.00	0.00	0.28	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.13	8.22	0.00
0	0	0.00	0.01	0.94	0.37	0.00
0	4	0.00	0.01	0.68	0.50	0.00
1	1	0.00	0.04	37.33	60.39	0.00
1	5	0.00	0.00	0.88	0.99	0.00
2	2	0.00	0.00	0.36	0.79	0.00
2	6	0.00	0.00	0.25	0.99	0.00
3	3	0.00	0.01	0.31	0.92	0.00
3	7	0.00	0.00	0.30	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.31	4.97	8.69	0.00
0	0	0.00	0.01	0.57	1.26	0.00
0	4	0.00	0.00	0.44	0.79	0.00
1	1	0.00	0.02	36.24	61.52	0.00
1	5	0.00	0.00	0.59	0.59	0.00
2	2	0.00	0.01	0.29	1.68	0.00
2	6	0.00	0.00	0.37	1.68	0.00
3	3	0.01	2.40	0.17	0.61	0.00
3	7	0.00	0.02	1.09	1.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.91	8.44	0.00
0	0	0.00	0.00	1.31	0.78	0.00
0	4	0.00	0.00	0.36	0.89	0.00
1	1	0.00	0.03	35.80	61.97	0.00
1	5	0.00	0.05	0.19	0.50	0.00
2	2	0.00	0.00	0.20	0.51	0.00
2	6	0.00	0.00	0.19	0.99	0.00
3	3	0.00	0.00	0.58	1.18	0.00
3	7	0.00	0.00	0.64	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.77	8.49	0.11
0	0	0.00	0.01	0.25	0.67	0.00
0	4	0.00	0.00	0.32	0.90	0.90
1	1	0.00	0.02	35.86	61.87	0.00
1	5	0.00	0.00	0.23	0.90	0.00
2	2	0.01	0.02	0.34	0.80	0.00
2	6	0.00	0.00	0.53	0.99	0.00
3	3	0.00	0.00	0.28	0.89	0.00
3	7	0.00	0.00	0.39	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	4.89	8.61	0.00
0	0	0.00	0.01	0.90	0.86	0.00
0	4	0.00	0.00	0.38	1.28	0.00
1	1	0.00	0.00	36.09	61.61	0.00
1	5	0.00	0.00	0.75	1.49	0.00
2	2	0.00	0.02	0.20	0.89	0.00
2	6	0.00	0.00	0.10	1.09	0.00
3	3	0.00	0.00	0.28	0.87	0.00
3	7	0.00	0.00	0.39	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.24	8.56	0.00
0	0	0.00	0.01	0.93	0.27	0.00
0	4	0.00	0.00	0.38	1.19	0.00
1	1	0.00	0.02	37.09	60.63	0.00
1	5	0.00	0.00	0.51	1.41	0.00
2	2	0.00	0.00	1.11	0.89	0.00
2	6	0.00	0.01	1.17	1.09	0.00
3	3	0.00	0.00	0.39	1.25	0.00
3	7	0.00	0.00	0.32	1.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.79	8.54	0.00
0	0	0.00	0.03	1.01	0.56	0.00
0	4	0.00	0.00	0.10	1.19	0.00
1	1	0.00	0.01	35.92	61.79	0.00
1	5	0.00	0.00	0.36	0.70	0.00
2	2	0.00	0.00	0.14	1.19	0.00
2	6	0.00	0.00	0.13	1.18	0.00
3	3	0.00	0.00	0.29	0.76	0.00
3	7	0.00	0.00	0.34	0.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	4.88	8.43	0.00
0	0	0.00	0.01	0.73	0.18	0.00
0	4	0.00	0.02	0.50	0.00	0.00
1	1	0.00	0.03	35.60	62.25	0.00
1	5	0.00	0.00	0.87	1.18	0.00
2	2	0.00	0.00	0.35	1.19	0.00
2	6	0.00	0.00	0.14	1.48	0.00
3	3	0.00	1.97	0.00	0.07	0.00
3	7	0.00	0.00	0.83	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.27	8.06	0.00
0	0	0.00	0.01	0.84	0.18	0.00
0	4	0.00	0.01	0.69	0.58	0.00
1	1	0.01	0.03	38.13	59.58	0.00
1	5	0.00	0.00	0.55	0.80	0.00
2	2	0.00	0.00	0.43	0.99	0.00
2	6	0.00	0.00	0.61	0.99	0.00
3	3	0.00	0.00	0.59	0.56	0.00
3	7	0.00	0.00	0.28	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.10	8.32	0.11
0	0	0.00	0.04	1.17	0.27	0.00
0	4	0.00	0.03	0.21	0.40	0.90
1	1	0.00	0.03	36.98	60.80	0.00
1	5	0.00	0.00	0.37	0.79	0.00
2	2	0.00	0.00	0.69	0.99	0.00
2	6	0.00	0.00	0.72	0.89	0.00
3	3	0.00	0.00	0.19	1.33	0.00
3	7	0.00	0.00	0.44	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.97	8.37	0.00
0	0	0.00	0.04	0.75	0.27	0.00
0	4	0.00	0.02	0.50	0.10	0.00
1	1	0.00	0.00	35.86	61.80	0.00
1	5	0.00	0.00	0.36	1.10	0.00
2	2	0.00	0.00	0.64	0.70	0.00
2	6	0.00	0.00	0.34	1.59	0.00
3	3	0.00	0.00	0.72	0.52	0.00
3	7	0.00	0.00	0.59	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.06	8.39	0.00
0	0	0.00	0.01	1.07	0.47	0.00
