Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	3.52	20.52	21.97	0.00
0	0	0.02	19.20	14.39	4.20	0.00
0	4	0.01	2.35	21.84	29.75	0.00
1	1	0.04	3.09	19.93	21.06	0.00
1	5	0.00	0.10	20.56	31.51	0.00
2	2	0.00	2.11	20.31	20.74	0.00
2	6	0.00	0.11	21.51	21.75	0.00
3	3	0.00	0.13	22.82	25.48	0.00
3	7	0.00	1.16	23.01	21.48	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	2.20	13.63	12.03	0.00
0	0	0.00	0.18	17.47	13.94	0.00
0	4	0.00	0.10	15.07	10.24	0.00
1	1	0.00	0.22	15.55	9.10	0.00
1	5	0.00	0.12	12.73	14.22	0.00
2	2	0.36	15.11	5.10	0.30	0.00
2	6	0.00	0.11	13.89	13.50	0.00
3	3	0.00	0.08	14.10	17.01	0.00
3	7	0.00	1.72	15.06	17.83	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	4.04	22.05	22.01	0.00
0	0	0.01	0.44	30.91	18.79	0.00
0	4	0.42	30.05	4.28	0.00	0.00
1	1	0.00	0.44	24.40	29.07	0.00
1	5	0.00	0.31	23.72	34.50	0.00
2	2	0.00	0.25	24.16	20.81	0.00
2	6	0.00	0.28	22.29	31.48	0.00
3	3	0.00	0.24	24.83	21.77	0.00
3	7	0.00	0.23	21.65	19.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.29	3.49	21.82	22.95	0.00
0	0	0.00	2.40	28.15	13.74	0.00
0	4	0.00	0.13	22.51	18.81	0.00
1	1	0.00	0.23	22.13	29.01	0.00
1	5	0.01	0.16	23.26	30.47	0.00
2	2	0.01	3.03	22.15	28.94	0.00
2	6	2.25	21.54	8.40	7.08	0.00
3	3	0.00	0.21	24.47	31.94	0.00
3	7	0.00	0.26	23.60	23.73	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.24	3.52	21.36	22.47	0.18
0	0	0.00	0.30	26.67	23.22	1.41
0	4	0.13	0.13	23.42	26.79	0.00
1	1	0.06	0.28	22.52	21.86	0.00
1	5	0.00	0.14	21.97	24.54	0.00
2	2	0.19	7.62	19.51	21.71	0.00
2	6	1.54	19.26	9.58	7.79	0.00
3	3	0.00	0.13	23.67	32.72	0.00
3	7	0.00	0.25	23.49	21.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.48	22.17	22.07	0.02
0	0	0.09	6.57	21.89	16.05	0.00
0	4	0.01	5.83	19.02	17.32	0.15
1	1	0.13	0.36	24.51	41.19	0.00
1	5	0.00	0.25	22.38	20.72	0.00
2	2	0.56	10.89	19.19	13.05	0.00
2	6	0.12	0.28	24.28	21.48	0.00
3	3	0.24	3.38	22.36	21.80	0.00
3	7	0.13	0.26	23.73	24.96	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	3.14	17.14	16.59	0.01
0	0	0.01	5.50	18.22	11.27	0.00
0	4	0.02	18.36	7.82	2.73	0.00
1	1	0.00	0.27	18.50	25.63	0.00
1	5	0.00	0.15	18.48	21.05	0.00
2	2	0.00	0.22	17.76	16.20	0.00
2	6	0.00	0.19	18.67	15.17	0.06
3	3	0.00	0.24	19.17	22.52	0.00
3	7	0.00	0.23	18.48	18.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	3.51	21.13	22.00	0.00
0	0	0.01	10.02	19.50	14.61	0.00
0	4	0.00	0.23	24.64	19.50	0.00
1	1	0.00	0.22	22.55	23.91	0.00
1	5	0.01	0.18	23.19	42.02	0.00
2	2	0.00	0.13	20.49	21.35	0.00
2	6	0.00	0.19	21.94	26.91	0.00
3	3	0.45	16.83	12.01	7.44	0.00
3	7	0.19	0.28	25.05	20.62	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.27	23.44	21.89	0.00
0	0	0.01	3.45	23.39	17.88	0.00
0	4	0.00	0.35	25.23	18.65	0.00
1	1	0.25	3.47	24.46	23.14	0.00
1	5	0.00	0.29	24.96	20.82	0.00
2	2	0.00	0.35	25.97	39.99	0.00
2	6	0.00	0.31	23.57	22.87	0.00
3	3	0.71	17.59	13.62	7.48	0.00
3	7	0.01	0.34	26.02	24.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	3.91	23.81	23.01	0.00
0	0	0.01	2.81	29.44	18.63	0.02
0	4	0.19	20.68	11.91	7.37	0.00
1	1	0.13	3.44	23.44	33.30	0.00
1	5	0.00	0.46	21.71	22.53	0.00
2	2	0.03	1.91	26.21	22.08	0.00
2	6	0.00	0.31	23.82	22.25	0.00
3	3	0.01	1.40	26.06	33.50	0.00
3	7	0.00	0.25	27.87	24.44	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.26	22.02	22.41	0.07
0	0	0.00	0.41	28.10	17.94	0.00
0	4	0.01	1.95	20.99	33.05	0.00
1	1	0.01	0.24	24.48	28.63	0.00
1	5	0.51	10.03	18.38	15.37	0.47
2	2	0.42	12.86	13.21	9.93	0.00
2	6	0.00	0.13	23.24	23.79	0.05
3	3	0.00	0.24	24.22	22.12	0.00
3	7	0.00	0.28	23.78	28.74	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	1.88	26.70	24.59	0.00
0	0	0.01	5.94	29.66	16.52	0.00
0	4	0.00	1.30	28.07	30.79	0.00
1	1	0.34	2.44	23.07	21.98	0.00
1	5	0.28	1.87	23.54	23.07	0.00
2	2	0.09	1.04	27.81	22.15	0.00
2	6	0.28	0.75	24.52	21.60	0.00
3	3	0.01	0.29	29.53	31.32	0.00
3	7	0.01	1.39	27.61	29.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	3.77	21.87	22.28	0.02
0	0	0.01	6.62	24.02	22.30	0.02
0	4	0.03	11.63	17.87	27.38	0.00
1	1	0.00	0.29	22.52	24.88	0.00
1	5	0.00	0.36	23.42	19.47	0.00
2	2	0.36	8.99	16.91	16.51	0.11
2	6	0.00	0.28	21.44	21.83	0.00
3	3	0.00	0.39	23.65	22.46	0.00
3	7	0.01	1.49	24.73	22.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	3.32	22.66	24.26	0.17
0	0	0.01	3.68	28.08	27.78	0.12
0	4	0.08	9.57	18.09	18.31	0.00
1	1	0.28	6.74	19.62	20.69	0.48
1	5	0.30	5.46	20.14	21.53	0.00
2	2	0.05	0.26	22.85	22.21	0.00
2	6	0.03	0.24	25.23	24.67	0.17
3	3	0.00	0.25	22.57	23.83	0.63
3	7	0.02	0.33	24.68	35.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.64	22.21	22.51	0.06
0	0	0.01	0.29	27.84	33.99	0.00
0	4	0.00	0.16	25.16	22.84	0.00
1	1	0.40	9.52	19.34	15.84	0.00
1	5	0.84	17.51	12.70	8.15	0.47
2	2	0.00	0.16	22.90	23.59	0.00
2	6	0.00	0.15	21.45	26.30	0.00
3	3	0.00	0.28	23.85	21.94	0.00
3	7	0.01	1.06	24.49	27.45	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	3.49	20.61	22.97	0.00
0	0	0.01	9.67	18.24	13.76	0.00
0	4	0.01	0.24	21.95	21.65	0.00
1	1	0.18	9.06	19.25	16.89	0.00
1	5	0.30	6.32	19.34	31.67	0.00
2	2	0.00	0.98	20.69	24.83	0.00
2	6	0.00	0.18	20.42	29.27	0.00
3	3	0.00	0.18	22.62	22.65	0.00
3	7	0.00	1.33	22.47	23.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	2.61	16.48	15.71	0.02
0	0	0.01	0.23	20.62	11.66	0.00
0	4	0.00	0.23	17.03	25.64	0.00
1	1	0.17	6.12	14.83	11.48	0.00
1	5	0.81	13.66	9.52	4.67	0.00
2	2	0.01	0.15	18.16	18.65	0.13
2	6	0.00	0.16	16.48	15.81	0.00
3	3	0.00	0.16	19.55	21.12	0.00
3	7	0.00	0.15	15.50	16.46	0.00
