Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	1.82	8.60	12.13	0.02
0	0	0.01	0.12	5.27	0.37	0.12
0	4	0.00	0.03	1.10	0.39	0.00
1	1	0.00	0.00	0.10	0.80	0.00
1	5	0.00	0.00	0.22	1.09	0.00
2	2	0.00	0.00	5.45	93.22	0.00
2	6	0.00	0.00	0.36	0.79	0.00
3	3	0.29	14.42	56.10	0.00	0.00
3	7	0.00	0.02	0.19	0.41	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.52	7.67	14.11	0.41
0	0	0.03	4.14	52.58	14.98	0.00
0	4	0.00	0.04	1.15	0.69	3.22
1	1	0.00	0.00	0.35	3.38	0.00
1	5	0.00	0.00	0.42	1.19	0.00
2	2	0.00	0.02	5.12	90.85	0.00
2	6	0.00	0.00	0.12	0.50	0.00
3	3	0.00	0.00	1.03	0.31	0.00
3	7	0.00	0.00	0.56	0.99	0.03
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	1.83	9.29	12.43	0.01
0	0	0.00	0.09	11.28	0.82	0.07
0	4	0.00	0.02	1.10	0.29	0.00
1	1	0.00	0.00	0.19	0.88	0.00
1	5	0.00	0.02	0.37	1.28	0.00
2	2	0.00	0.01	4.54	94.16	0.00
2	6	0.00	0.00	0.34	1.78	0.00
3	3	0.29	14.52	55.85	0.00	0.00
3	7	0.00	0.00	0.68	0.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	1.83	9.45	12.30	0.13
0	0	0.00	0.13	11.35	1.35	0.10
0	4	0.00	0.02	0.64	0.61	0.00
1	1	0.00	0.00	1.11	10.65	0.00
1	5	0.00	0.00	0.96	0.72	0.00
2	2	0.00	0.00	4.90	83.43	0.00
2	6	0.00	0.00	0.42	1.28	0.00
3	3	0.28	14.45	55.67	0.00	0.00
3	7	0.00	0.00	0.55	0.41	0.90
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	1.81	8.73	12.16	0.03
0	0	0.01	0.07	5.93	0.32	0.25
0	4	0.00	0.03	0.94	0.79	0.00
1	1	0.00	0.00	0.25	0.80	0.00
1	5	0.00	0.00	0.33	1.10	0.00
2	2	0.00	0.00	5.13	93.56	0.00
2	6	0.00	0.00	0.67	0.29	0.00
3	3	0.35	14.36	56.22	0.00	0.00
3	7	0.00	0.00	0.35	0.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.52	9.03	13.40	3.63
0	0	0.01	4.11	63.25	5.41	0.00
0	4	0.00	0.04	1.30	0.60	29.08
1	1	0.00	0.00	0.19	6.07	0.00
1	5	0.00	0.00	0.38	0.79	0.00
2	2	0.00	0.00	5.21	93.34	0.00
2	6	0.00	0.00	0.40	0.69	0.00
3	3	0.00	0.03	0.90	0.30	0.00
3	7	0.00	0.00	0.60	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.44	8.91	16.02	0.03
0	0	0.01	2.41	25.55	4.02	0.23
0	4	0.00	0.06	0.79	0.43	0.00
1	1	0.09	8.98	37.27	1.80	0.00
1	5	0.00	0.02	0.09	1.00	0.00
2	2	0.00	0.01	6.08	89.82	0.00
2	6	0.00	0.00	0.23	1.29	0.00
3	3	0.00	0.00	0.46	0.70	0.00
3	7	0.01	0.08	0.79	29.07	0.03
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.24	7.82	14.17	0.00
0	0	0.01	1.92	54.20	16.16	0.00
0	4	0.00	0.00	1.20	0.00	0.00
1	1	0.00	0.00	0.28	1.29	0.00
1	5	0.00	0.00	0.44	0.70	0.00
2	2	0.00	0.00	5.45	92.87	0.00
2	6	0.00	0.00	0.24	1.19	0.00
3	3	0.00	0.00	0.10	0.88	0.00
3	7	0.00	0.00	0.68	0.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.40	7.89	13.81	0.16
0	0	0.02	3.09	54.25	15.20	0.00
0	4	0.00	0.07	0.76	0.21	1.29
1	1	0.00	0.00	0.29	0.60	0.00
1	5	0.00	0.00	0.24	0.89	0.00
2	2	0.00	0.00	5.93	92.39	0.00
2	6	0.00	0.00	0.15	0.59	0.00
3	3	0.00	0.00	0.73	0.20	0.00
3	7	0.00	0.00	0.77	0.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.29	7.91	14.12	0.00
0	0	0.01	2.33	54.81	15.21	0.00
0	4	0.00	0.01	1.25	0.00	0.00
1	1	0.00	0.00	0.24	0.89	0.00
1	5	0.00	0.00	0.22	1.09	0.00
2	2	0.00	0.00	5.89	92.43	0.00
2	6	0.00	0.00	0.33	1.09	0.00
3	3	0.00	0.00	0.27	1.09	0.00
3	7	0.00	0.00	0.25	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	7.53	14.52	0.64
0	0	0.01	1.52	51.58	19.08	0.00
0	4	0.00	0.08	0.82	0.62	5.09
1	1	0.00	0.00	0.37	0.40	0.00
1	5	0.00	0.00	0.36	0.79	0.00
2	2	0.00	0.00	6.15	92.11	0.00
2	6	0.00	0.00	0.38	1.59	0.00
3	3	0.00	0.00	0.20	0.99	0.00
3	7	0.00	0.00	0.39	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
