Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.23	0.37	1.09	0.00
0	0	0.00	0.00	0.10	0.99	0.00
0	4	0.00	0.00	0.33	1.48	0.00
1	1	0.00	0.00	0.44	1.22	0.00
1	5	0.00	0.00	0.24	1.28	0.00
2	2	0.00	0.01	0.39	1.19	0.00
2	6	0.00	0.01	0.51	1.37	0.00
3	3	0.00	0.00	0.86	1.20	0.00
3	7	0.00	1.78	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.56	0.68	0.00
0	0	0.00	0.00	0.77	1.97	0.00
0	4	0.00	0.00	0.54	0.79	0.00
1	1	0.00	0.03	0.59	0.29	0.00
1	5	0.00	0.00	0.58	0.00	0.00
2	2	0.00	0.00	0.47	0.99	0.00
2	6	0.00	0.00	1.18	0.50	0.00
3	3	0.00	0.01	0.23	0.90	0.00
3	7	0.00	1.48	0.10	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.37	1.07	0.13
0	0	0.00	0.00	0.47	1.30	0.00
0	4	0.00	0.02	0.19	1.08	0.00
1	1	0.00	0.00	0.39	1.78	0.00
1	5	0.00	0.00	0.30	1.18	0.00
2	2	0.00	0.00	0.25	1.28	0.00
2	6	0.00	0.01	0.44	1.17	0.00
3	3	0.00	0.00	0.80	0.79	0.00
3	7	0.00	1.48	0.10	0.00	1.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.16	0.49	0.74	0.15
0	0	0.00	0.01	0.20	0.30	0.00
0	4	0.00	0.00	0.19	0.99	0.00
1	1	0.00	0.00	0.26	0.89	0.00
1	5	0.00	0.00	0.52	1.69	0.00
2	2	0.00	0.02	0.67	0.80	0.00
2	6	0.00	0.02	1.08	0.50	0.00
3	3	0.00	0.00	0.87	0.78	0.00
3	7	0.00	1.27	0.11	0.00	1.16
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.32	0.72	0.30
0	0	0.00	0.00	0.57	0.99	0.00
0	4	0.00	0.00	0.44	1.08	0.00
1	1	0.00	0.00	0.22	0.69	0.00
1	5	0.00	0.00	0.00	0.40	0.00
2	2	0.00	0.00	0.28	0.88	0.00
2	6	0.00	0.01	0.76	0.79	0.00
3	3	0.00	0.00	0.23	0.90	0.00
3	7	0.01	1.48	0.11	0.00	2.37
