Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	70.87	16.33	0.00
0	0	0.00	0.43	72.39	16.03	0.00
0	4	0.01	0.71	69.19	21.19	0.00
1	1	0.02	0.41	74.14	14.68	0.00
1	5	0.00	0.43	67.86	22.17	0.00
2	2	0.01	0.60	70.12	19.04	0.00
2	6	0.01	0.38	69.21	21.47	0.00
3	3	0.00	0.47	79.54	9.90	0.00
3	7	0.01	2.30	63.92	6.04	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.12	70.00	15.89	0.00
0	0	0.00	0.38	73.52	13.77	0.00
0	4	0.00	2.60	68.87	18.23	0.00
1	1	0.01	0.44	73.70	14.23	0.00
1	5	0.00	0.37	68.81	20.05	0.00
2	2	0.00	0.45	67.15	20.95	0.00
2	6	0.00	0.46	68.02	20.94	0.00
3	3	0.01	0.45	77.44	10.55	0.00
3	7	0.02	3.81	62.74	8.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.71	72.60	15.43	0.00
0	0	0.01	0.23	77.44	11.43	0.00
0	4	0.00	0.63	73.22	17.33	0.00
1	1	0.00	0.64	76.05	13.64	0.00
1	5	0.00	0.25	72.15	18.80	0.00
2	2	0.00	0.40	68.06	21.97	0.00
2	6	0.00	0.56	68.75	22.03	0.00
3	3	0.01	0.63	80.91	8.99	0.00
3	7	0.01	2.31	63.99	9.22	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.81	71.71	16.05	0.00
0	0	0.01	0.46	75.12	13.76	0.00
0	4	0.00	0.58	73.34	17.19	0.00
1	1	0.01	0.43	75.23	14.59	0.00
1	5	0.00	0.83	70.84	18.86	0.00
2	2	0.01	0.51	69.42	20.54	0.00
2	6	0.01	0.53	69.20	21.54	0.00
3	3	0.00	0.58	78.04	11.97	0.00
3	7	0.01	2.57	63.08	10.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.69	71.73	16.30	0.00
0	0	0.01	0.52	71.68	17.35	0.00
0	4	0.00	0.48	70.47	20.11	0.00
1	1	0.00	0.49	75.84	13.82	0.00
1	5	0.00	0.49	70.45	20.22	0.00
2	2	0.01	0.52	71.05	18.92	0.00
2	6	0.00	0.39	70.76	20.08	0.00
3	3	0.00	0.50	78.91	11.10	0.00
3	7	0.02	2.13	64.71	8.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.37	16.68	0.00
0	0	0.01	0.43	72.46	16.66	0.00
0	4	0.00	0.66	71.52	19.06	0.00
1	1	0.01	0.57	75.46	14.04	0.00
1	5	0.00	0.31	71.01	19.90	0.00
2	2	0.01	0.45	69.77	20.17	0.00
2	6	0.00	0.49	70.23	20.56	0.00
3	3	0.01	0.60	77.96	11.99	0.00
3	7	0.02	2.00	62.47	11.06	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.99	69.81	16.10	0.00
0	0	0.00	0.40	70.32	17.06	0.00
0	4	0.01	1.44	66.73	20.55	0.00
1	1	0.01	0.57	74.79	12.87	0.00
1	5	0.00	0.37	69.78	18.72	0.00
2	2	0.01	0.48	66.62	21.48	0.00
2	6	0.00	0.41	66.52	22.25	0.00
3	3	0.01	0.46	79.99	8.45	0.00
3	7	0.01	3.80	63.59	7.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	72.03	16.03	0.00
0	0	0.00	0.66	73.21	15.53	0.00
0	4	0.00	0.57	72.53	17.93	0.00
1	1	0.01	0.28	73.33	16.58	0.00
1	5	0.00	0.54	70.43	20.27	0.00
2	2	0.01	0.64	70.06	19.82	0.00
2	6	0.00	0.34	69.24	21.59	0.00
3	3	0.00	0.58	79.86	10.10	0.00
3	7	0.02	2.17	67.19	6.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.82	71.58	16.12	0.00
0	0	0.00	1.03	78.09	9.81	0.00
0	4	0.00	0.58	71.72	18.86	0.00
1	1	0.01	0.34	72.26	17.51	0.00
1	5	0.00	0.33	70.90	20.03	0.00
2	2	0.01	0.54	70.52	19.12	0.00
2	6	0.00	0.54	69.56	20.96	0.00
3	3	0.01	0.55	77.76	12.27	0.00
3	7	0.01	2.65	62.51	10.55	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.69	71.58	16.29	0.00
0	0	0.01	0.50	76.57	12.20	0.00
0	4	0.00	0.49	72.89	17.76	0.00
1	1	0.01	0.44	73.82	16.18	0.00
1	5	0.00	0.47	70.66	20.09	0.00
2	2	0.00	0.56	69.26	20.34	0.00
2	6	0.00	0.49	70.05	19.89	0.00
3	3	0.00	0.46	76.42	13.31	0.00
3	7	0.01	2.10	63.02	10.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.49	16.54	0.00
0	0	0.01	0.60	73.24	15.65	0.00
0	4	0.01	0.47	69.83	20.82	0.00
1	1	0.01	0.40	74.87	14.94	0.00
1	5	0.00	0.50	70.25	20.50	0.00
2	2	0.00	0.51	69.99	19.92	0.00
2	6	0.00	0.33	68.99	21.83	0.00
3	3	0.00	0.51	79.07	10.92	0.00
3	7	0.01	2.29	65.62	7.72	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	1.13	70.47	15.86	0.00
0	0	0.00	0.57	73.30	14.53	0.00
0	4	0.02	2.83	69.81	17.28	0.00
1	1	0.01	0.36	70.86	17.83	0.00
1	5	0.00	0.48	69.20	19.76	0.00
2	2	0.01	0.61	69.73	19.02	0.00
2	6	0.00	0.38	70.05	19.79	0.00
3	3	0.00	0.46	76.47	11.66	0.00
3	7	0.61	3.38	63.79	6.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.72	71.45	16.36	0.00
0	0	0.01	0.62	70.94	18.02	0.00
0	4	0.01	0.62	68.67	21.86	0.00
1	1	0.02	0.35	75.37	14.51	0.00
1	5	0.00	0.38	70.73	20.17	0.00
2	2	0.06	0.53	71.10	18.60	0.00
2	6	0.00	0.34	71.31	19.49	0.00
3	3	0.01	0.45	79.19	10.82	0.00
3	7	0.69	2.44	64.91	7.52	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.76	70.98	16.61	0.00
0	0	0.00	0.45	73.02	15.09	0.00
0	4	0.01	0.66	72.79	17.44	0.00
1	1	0.01	0.41	71.84	17.67	0.00
1	5	0.00	0.35	70.31	20.40	0.00
2	2	0.00	0.47	68.87	21.11	0.00
2	6	0.00	0.47	70.67	19.40	0.00
3	3	0.01	0.56	76.74	12.60	0.00
3	7	0.02	2.66	63.58	9.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.75	72.06	15.78	0.00
0	0	0.01	0.65	73.29	15.50	0.00
0	4	0.01	0.62	71.37	19.04	0.00
1	1	0.01	0.31	71.81	18.06	0.00
1	5	0.00	0.43	70.57	20.29	0.00
2	2	0.01	0.67	71.26	18.49	0.00
2	6	0.00	0.38	71.20	19.55	0.00
3	3	0.00	0.47	80.38	9.63	0.00
3	7	0.59	2.48	66.61	5.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.70	72.01	15.87	0.00
0	0	0.00	0.44	74.81	14.12	0.00
0	4	0.00	0.53	72.83	17.61	0.00
1	1	0.00	0.45	72.10	17.54	0.00
1	5	0.00	0.40	70.84	19.95	0.00
2	2	0.00	0.47	69.95	19.99	0.00
2	6	0.01	0.55	71.06	19.60	0.00
3	3	0.00	0.53	78.85	11.11	0.00
3	7	0.40	2.25	65.71	7.04	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	1.14	69.21	16.69	0.00
0	0	0.00	0.48	71.57	15.49	0.00
0	4	0.00	2.59	71.32	15.80	0.00
1	1	0.00	0.37	69.02	19.13	0.00
1	5	0.00	0.44	68.85	19.86	0.00
2	2	0.01	0.51	68.49	19.52	0.00
2	6	0.00	0.50	68.02	20.31	0.00
3	3	0.01	0.53	75.16	12.82	0.00
3	7	0.01	3.71	60.75	10.47	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.47	16.44	0.00
0	0	0.01	0.36	74.08	15.12	0.00
0	4	0.00	0.63	75.24	14.93	0.00
1	1	0.02	0.45	71.06	18.60	0.00
1	5	0.00	0.31	70.26	20.62	0.00
2	2	0.00	0.47	68.43	21.51	0.00
2	6	0.01	0.46	69.35	21.42	0.00
3	3	0.01	0.57	79.14	10.80	0.00
3	7	0.01	2.19	64.66	8.64	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.76	71.30	16.31	0.00
0	0	0.01	0.70	71.29	17.38	0.00
0	4	0.00	0.46	71.85	18.68	0.00
1	1	0.00	0.38	73.73	15.86	0.00
1	5	0.00	0.46	68.67	21.53	0.00
2	2	0.01	0.59	71.12	18.29	0.00
2	6	0.00	0.36	69.93	20.51	0.00
3	3	0.00	0.53	77.60	11.20	0.00
3	7	0.02	2.56	66.07	7.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	72.55	15.56	0.00
0	0	0.00	0.50	73.80	15.17	0.00
0	4	0.00	0.56	71.58	19.06	0.00
1	1	0.01	0.47	75.20	14.60	0.00
1	5	0.00	0.33	72.57	18.34	0.00
2	2	0.00	0.46	70.45	19.47	0.00
2	6	0.00	0.46	71.17	19.60	0.00
3	3	0.01	0.56	79.81	10.17	0.00
3	7	0.02	2.21	65.31	7.96	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.72	71.59	16.27	0.00
0	0	0.01	0.39	73.86	15.18	0.00
0	4	0.00	0.60	70.73	19.73	0.00
1	1	0.01	0.47	74.24	15.43	0.00
1	5	0.00	0.37	71.76	18.99	0.00
2	2	0.00	0.52	68.95	20.88	0.00
2	6	0.00	0.49	70.05	20.67	0.00
3	3	0.00	0.55	79.63	10.30	0.00
3	7	0.01	2.40	63.99	9.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	1.37	70.44	16.33	0.00
0	0	0.00	0.55	71.85	16.60	0.00
0	4	0.00	3.36	69.12	18.23	0.00
1	1	0.01	0.37	73.15	16.30	0.00
1	5	0.00	0.38	68.45	21.20	0.00
2	2	0.00	0.54	68.50	20.86	0.00
2	6	0.00	0.44	68.42	21.03	0.00
3	3	0.00	0.54	78.95	9.78	0.00
3	7	0.53	4.74	64.62	6.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	70.52	16.85	0.00
0	0	0.01	0.54	73.31	15.17	0.00
0	4	0.00	0.67	70.73	19.93	0.00
1	1	0.01	0.44	74.82	15.19	0.00
1	5	0.00	0.41	68.32	22.64	0.00
2	2	0.01	0.47	68.95	21.30	0.00
2	6	0.00	0.34	69.10	21.90	0.00
3	3	0.01	0.53	77.40	11.95	0.00
3	7	0.01	2.40	61.89	6.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.91	71.97	15.91	0.00
0	0	0.01	1.12	75.59	12.59	0.00
0	4	0.00	0.74	74.29	15.97	0.00
1	1	0.01	0.46	72.42	17.33	0.00
1	5	0.00	0.33	70.10	20.81	0.00
2	2	0.00	0.50	68.41	21.57	0.00
2	6	0.00	0.51	70.01	20.80	0.00
3	3	0.01	0.50	80.60	9.45	0.00
3	7	0.01	3.10	64.03	8.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.72	16.25	0.00
0	0	0.00	0.47	73.37	15.60	0.00
0	4	0.00	0.71	72.01	18.38	0.00
1	1	0.01	0.34	74.66	15.27	0.00
1	5	0.00	0.29	70.77	20.14	0.00
2	2	0.01	0.50	69.69	20.23	0.00
2	6	0.01	0.45	68.85	21.91	0.00
3	3	0.01	0.54	80.23	9.73	0.00
3	7	0.02	2.18	64.53	8.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	72.42	15.58	0.00
0	0	0.01	0.57	72.62	16.37	0.00
0	4	0.01	0.49	73.40	17.02	0.00
1	1	0.01	0.32	74.28	15.71	0.00
1	5	0.00	0.43	72.40	18.43	0.00
2	2	0.00	0.53	73.21	16.64	0.00
2	6	0.00	0.36	71.22	19.62	0.00
3	3	0.01	0.45	78.49	11.50	0.00
3	7	0.02	2.26	63.96	9.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.98	69.56	16.42	0.00
0	0	0.01	0.64	68.30	18.12	0.00
0	4	0.01	2.32	68.40	18.77	0.00
1	1	0.01	0.31	71.10	17.64	0.00
1	5	0.00	0.46	68.94	19.92	0.00
2	2	0.00	0.46	69.43	19.10	0.00
2	6	0.00	0.37	68.82	19.88	0.00
3	3	0.00	0.49	76.53	11.06	0.00
3	7	0.03	2.81	64.49	6.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	72.53	15.50	0.00
0	0	0.01	0.45	74.21	14.85	0.00
0	4	0.00	0.72	71.60	18.73	0.00
1	1	0.01	0.36	74.52	15.49	0.00
1	5	0.00	0.28	71.39	19.55	0.00
2	2	0.01	0.57	71.34	18.43	0.00
2	6	0.00	0.51	71.25	19.51	0.00
3	3	0.01	0.55	80.38	9.57	0.00
3	7	0.02	2.29	65.41	7.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.79	71.76	16.17	0.00
0	0	0.02	1.40	74.48	13.40	0.00
0	4	0.01	0.48	70.42	20.09	0.00
1	1	0.00	0.41	73.71	16.23	0.00
1	5	0.00	0.42	70.72	20.14	0.00
2	2	0.00	0.45	71.83	18.19	0.00
2	6	0.01	0.35	70.74	20.13	0.00
3	3	0.01	0.53	77.04	12.97	0.00
3	7	0.11	2.26	65.16	8.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.90	16.03	0.00
0	0	0.00	0.60	72.57	16.40	0.00
0	4	0.01	0.56	71.68	18.87	0.00
1	1	0.01	0.34	73.50	16.40	0.00
1	5	0.00	0.36	71.94	18.88	0.00
2	2	0.01	0.44	72.78	17.14	0.00
2	6	0.00	0.55	72.16	18.50	0.00
3	3	0.00	0.61	77.56	12.35	0.00
3	7	0.02	2.11	63.61	9.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.57	16.53	0.00
0	0	0.00	0.59	72.61	16.23	0.00
0	4	0.00	0.51	71.03	19.52	0.00
1	1	0.01	0.37	72.41	17.48	0.00
1	5	0.00	0.50	70.08	20.75	0.00
2	2	0.01	0.48	73.08	16.72	0.00
2	6	0.00	0.52	69.99	20.70	0.00
3	3	0.00	0.63	78.23	11.70	0.00
3	7	0.02	1.97	64.54	9.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.11	69.24	16.37	0.00
0	0	0.01	0.55	68.31	18.35	0.00
0	4	0.00	2.49	68.51	18.83	0.00
1	1	0.01	0.34	74.22	13.46	0.00
1	5	0.00	0.31	68.28	20.03	0.00
2	2	0.01	0.55	67.22	20.19	0.00
2	6	0.00	0.42	67.64	20.56	0.00
3	3	0.00	0.49	76.43	11.55	0.00
3	7	0.01	3.71	63.34	7.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.73	71.70	16.19	0.00
0	0	0.00	0.52	72.11	16.92	0.00
0	4	0.00	0.64	69.99	20.51	0.00
1	1	0.00	0.44	76.35	13.50	0.00
1	5	0.00	0.44	72.30	18.33	0.00
2	2	0.00	0.48	69.77	20.06	0.00
2	6	0.00	0.46	69.50	21.24	0.00
3	3	0.01	0.49	79.25	10.71	0.00
3	7	0.02	2.42	64.85	8.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.89	72.17	15.73	0.00
0	0	0.01	1.36	73.49	14.59	0.00
0	4	0.01	0.65	70.84	19.63	0.00
1	1	0.01	0.31	74.93	14.96	0.00
1	5	0.00	0.40	71.04	19.82	0.00
2	2	0.00	0.47	71.45	18.54	0.00
2	6	0.00	0.34	70.40	20.52	0.00
3	3	0.00	0.45	79.57	10.56	0.00
3	7	0.02	3.11	65.48	7.15	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	72.06	16.01	0.00
0	0	0.00	0.52	75.91	12.99	0.00
0	4	0.00	0.56	71.94	18.69	0.00
1	1	0.01	0.47	75.18	14.53	0.00
1	5	0.00	0.26	71.58	19.40	0.00
2	2	0.01	0.49	69.72	20.22	0.00
2	6	0.00	0.54	69.62	21.13	0.00
3	3	0.01	0.60	78.66	11.21	0.00
3	7	0.02	2.11	63.46	9.84	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.96	16.01	0.00
0	0	0.00	0.48	74.43	14.51	0.00
0	4	0.01	0.50	71.42	19.28	0.00
1	1	0.01	0.47	75.22	14.54	0.00
1	5	0.00	0.39	72.10	18.74	0.00
2	2	0.00	0.43	70.44	19.48	0.00
2	6	0.00	0.46	70.72	20.06	0.00
3	3	0.01	0.58	78.31	11.60	0.00
3	7	0.01	2.20	63.44	9.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.16	69.95	15.93	0.00
0	0	0.01	0.40	69.36	17.88	0.00
0	4	0.00	2.50	67.04	20.25	0.00
1	1	0.02	0.33	76.18	11.74	0.00
1	5	0.00	0.33	70.27	18.48	0.00
2	2	0.01	0.50	68.00	20.28	0.00
2	6	0.00	0.40	67.43	21.26	0.00
3	3	0.00	0.46	77.48	9.93	0.00
3	7	0.01	4.33	63.53	7.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	71.75	16.14	0.00
0	0	0.00	0.62	72.34	16.63	0.00
0	4	0.01	0.63	71.89	18.47	0.00
1	1	0.01	0.36	73.70	16.04	0.00
1	5	0.00	0.48	69.71	21.01	0.00
