Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.70	70.56	16.40	0.00
0	0	0.50	0.54	70.48	17.38	0.00
0	4	0.00	0.66	70.04	20.51	0.00
1	1	0.01	0.50	74.43	15.38	0.00
1	5	0.01	0.58	69.46	20.86	0.00
2	2	0.01	0.50	72.50	17.09	0.00
2	6	0.00	0.41	68.71	21.82	0.00
3	3	0.01	0.51	78.08	10.79	0.00
3	7	0.10	1.93	61.38	7.54	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	72.00	16.12	0.00
0	0	0.01	0.50	72.72	16.32	0.00
0	4	0.01	0.57	69.37	21.24	0.00
1	1	0.00	0.50	74.54	15.26	0.00
1	5	0.01	0.51	70.38	20.42	0.00
2	2	0.00	0.36	72.24	17.75	0.00
2	6	0.01	0.49	70.73	20.03	0.00
3	3	0.00	0.56	79.92	9.98	0.00
3	7	0.02	1.95	65.79	7.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.66	70.95	17.06	0.00
0	0	0.00	0.53	73.67	15.17	0.00
0	4	0.00	0.61	70.31	20.22	0.00
1	1	0.00	0.52	71.72	18.14	0.00
1	5	0.00	0.41	70.45	20.35	0.00
2	2	0.01	0.50	69.88	19.98	0.00
2	6	0.00	0.48	69.17	21.56	0.00
3	3	0.00	0.56	79.05	10.85	0.00
3	7	0.01	1.71	63.62	10.31	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.81	16.27	0.00
0	0	0.01	0.54	69.81	19.32	0.00
0	4	0.00	0.63	67.42	23.13	0.00
1	1	0.01	0.50	72.60	17.33	0.00
1	5	0.02	0.49	71.08	19.68	0.00
2	2	0.00	0.32	74.68	15.16	0.00
2	6	0.01	0.46	71.52	19.23	0.00
3	3	0.00	0.66	80.97	8.73	0.00
3	7	0.02	1.99	66.12	7.45	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.80	68.57	17.50	0.00
0	0	0.00	0.49	70.32	16.92	0.00
0	4	0.00	0.59	67.40	21.34	0.00
1	1	0.01	0.46	71.06	17.14	0.00
1	5	0.01	0.39	68.45	20.77	0.00
2	2	0.01	0.56	69.26	18.56	0.00
2	6	0.01	0.36	67.95	21.16	0.00
3	3	0.00	1.41	73.19	13.05	0.00
3	7	0.01	2.15	60.64	10.94	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	71.22	16.77	0.00
0	0	0.00	0.69	75.47	13.28	0.00
0	4	0.00	0.62	71.94	18.62	0.00
1	1	0.01	0.36	73.20	16.67	0.00
1	5	0.01	0.32	70.91	19.97	0.00
2	2	0.00	0.59	68.85	20.99	0.00
2	6	0.01	0.42	68.02	22.80	0.00
3	3	0.00	0.62	77.65	12.16	0.00
3	7	0.01	1.78	63.96	9.74	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.85	71.37	16.24	0.00
0	0	0.00	0.55	68.79	20.20	0.00
0	4	0.01	0.73	68.69	21.68	0.00
1	1	0.00	0.46	75.01	14.62	0.00
1	5	0.01	0.49	71.53	19.25	0.00
2	2	0.04	0.43	69.85	19.28	0.00
2	6	0.00	0.47	70.93	19.84	0.00
3	3	0.01	1.29	80.70	8.10	0.00
3	7	0.19	2.34	65.81	7.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	71.89	16.24	0.00
0	0	0.00	0.49	74.56	14.33	0.00
0	4	0.00	0.69	69.62	20.87	0.00
1	1	0.01	0.46	72.84	17.01	0.00
1	5	0.01	0.50	70.19	20.59	0.00
2	2	0.01	0.49	71.02	18.95	0.00
2	6	0.01	0.47	70.39	20.42	0.00
3	3	0.01	0.59	80.17	9.66	0.00
3	7	0.01	2.04	65.71	7.94	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
