Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	1.85	10.73	11.69	0.22
0	0	0.00	0.40	4.92	1.48	1.77
0	4	0.00	0.02	14.50	84.07	0.00
1	1	0.11	0.06	2.24	1.92	0.00
1	5	0.09	0.00	1.56	1.48	0.00
2	2	0.17	0.01	2.98	2.10	0.00
2	6	0.00	0.04	2.48	1.50	0.00
3	3	0.14	0.00	1.44	0.99	0.00
3	7	0.35	14.30	55.69	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	1.81	11.13	11.58	0.38
0	0	0.00	0.27	13.08	3.06	3.01
0	4	0.00	0.00	14.68	83.88	0.00
1	1	0.02	2.55	11.07	0.30	0.00
1	5	0.00	0.00	0.32	1.10	0.00
2	2	0.05	3.24	14.47	1.80	0.00
2	6	0.11	8.41	33.72	0.70	0.00
3	3	0.00	0.00	0.55	1.29	0.00
3	7	0.00	0.00	1.11	0.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	1.89	11.11	11.50	0.39
0	0	0.00	0.71	11.95	5.87	3.14
0	4	0.00	0.02	17.83	80.65	0.00
1	1	0.00	0.00	0.29	0.90	0.00
1	5	0.00	0.00	0.47	1.10	0.00
2	2	0.00	0.01	0.57	0.89	0.00
2	6	0.07	11.68	45.92	0.30	0.00
3	3	0.00	0.00	0.97	1.40	0.00
3	7	0.06	2.69	10.92	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.58	10.89	12.00	0.00
0	0	0.01	4.59	65.33	2.55	0.00
0	4	0.00	0.00	17.68	80.75	0.00
1	1	0.00	0.00	0.47	5.83	0.00
1	5	0.00	0.00	0.42	1.68	0.00
2	2	0.00	0.04	0.87	1.49	0.00
2	6	0.00	0.00	0.50	1.18	0.00
3	3	0.00	0.00	0.59	1.68	0.00
3	7	0.00	0.00	1.24	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.63	10.68	10.84	0.00
0	0	0.01	4.98	62.07	3.53	0.00
0	4	0.00	0.00	20.90	74.83	0.00
1	1	0.00	0.00	0.42	4.07	0.00
1	5	0.00	0.00	0.46	1.09	0.00
2	2	0.00	0.03	0.62	1.29	0.00
2	6	0.00	0.00	0.13	0.30	0.00
3	3	0.00	0.01	0.44	0.40	0.00
3	7	0.00	0.00	0.38	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.61	10.53	15.18	0.00
0	0	0.01	4.63	64.32	4.25	0.00
0	4	0.00	0.04	17.24	81.17	0.00
1	1	0.00	0.01	0.48	2.49	0.00
1	5	0.00	0.00	0.20	1.19	0.00
2	2	0.00	0.00	0.61	0.99	0.00
2	6	0.00	0.00	0.37	0.99	0.00
3	3	0.00	0.00	0.15	0.98	0.00
3	7	0.01	0.22	0.87	29.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	0.64	11.31	11.30	0.11
0	0	0.00	5.09	65.45	1.93	0.00
0	4	0.00	0.00	21.47	76.95	0.00
1	1	0.00	0.01	0.59	7.69	0.00
1	5	0.00	0.00	0.23	0.49	0.00
2	2	0.50	0.03	0.50	0.89	0.91
2	6	0.00	0.00	0.00	0.40	0.00
3	3	0.00	0.01	1.13	1.29	0.00
3	7	0.00	0.00	1.14	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.56	0.60	12.07	13.10	0.00
0	0	0.01	4.79	63.99	3.63	0.00
0	4	0.00	0.00	19.88	78.52	0.00
1	1	4.50	0.00	9.62	15.40	0.00
1	5	0.00	0.00	0.36	1.39	0.00
2	2	0.00	0.00	0.68	1.79	0.00
2	6	0.00	0.00	0.93	1.24	0.00
3	3	0.00	0.01	0.29	1.59	0.00
3	7	0.00	0.00	0.78	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.60	10.77	11.76	0.00
0	0	0.00	4.80	64.35	3.31	0.00
0	4	0.00	0.00	19.44	78.97	0.00
1	1	0.00	0.02	0.37	5.59	0.00
1	5	0.00	0.00	0.28	1.00	0.00
2	2	0.00	0.00	0.50	1.57	0.00
2	6	0.00	0.00	0.49	0.90	0.00
3	3	0.00	0.00	0.35	1.19	0.00
3	7	0.00	0.03	0.40	1.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.76	10.26	11.07	0.51
0	0	0.00	0.21	10.66	1.47	4.04
0	4	0.00	0.00	14.23	81.67	0.00
1	1	0.00	0.00	0.29	0.49	0.00
1	5	0.00	0.00	0.31	1.00	0.00
2	2	0.00	0.01	0.50	1.08	0.00
2	6	0.24	13.82	55.32	0.00	0.00
3	3	0.00	0.00	0.42	1.87	0.00
3	7	0.00	0.00	0.34	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.81	10.66	11.20	0.39
0	0	0.00	0.11	11.51	0.43	3.16
0	4	0.00	0.00	13.63	84.95	0.00
1	1	0.00	0.00	0.27	0.89	0.00
1	5	0.00	0.00	1.33	0.89	0.00
2	2	0.00	0.01	0.82	0.40	0.00
2	6	0.25	14.37	56.22	0.00	0.00
3	3	0.00	0.00	1.18	0.62	0.00
3	7	0.00	0.00	0.28	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.89	10.60	11.16	0.90
0	0	0.00	0.32	10.50	2.77	6.32
0	4	0.00	0.00	17.24	81.22	0.00
1	1	0.00	0.00	0.09	0.60	0.00
1	5	0.00	0.00	0.30	0.89	0.00
2	2	0.00	0.00	0.72	2.00	0.90
2	6	0.21	14.78	55.30	0.00	0.00
3	3	0.00	0.00	0.33	1.00	0.00
3	7	0.00	0.00	0.31	0.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.84	10.27	10.71	0.37
0	0	0.00	0.30	5.46	0.59	2.94
0	4	0.00	0.00	17.64	80.99	0.00
1	1	0.00	0.00	0.35	1.00	0.00
1	5	0.00	0.00	1.01	1.10	0.00
2	2	0.00	0.03	0.85	0.31	0.00
2	6	0.21	14.37	56.11	0.00	0.00
3	3	0.00	0.00	0.28	0.69	0.00
3	7	0.00	0.00	0.47	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.58	10.38	11.52	0.00
0	0	0.00	4.60	64.79	3.11	0.00
0	4	0.00	0.00	15.13	83.23	0.00
1	1	0.00	0.00	0.29	1.00	0.00
1	5	0.00	0.00	0.28	1.08	0.00
2	2	0.00	0.00	0.81	1.29	0.00
2	6	0.00	0.00	1.03	0.59	0.00
3	3	0.00	0.02	0.40	0.89	0.00
3	7	0.00	0.00	0.30	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.75	9.86	11.34	0.00
0	0	0.00	5.99	62.57	3.11	0.00
0	4	0.00	0.00	14.04	81.68	0.00
1	1	0.00	0.00	0.26	0.80	0.00
1	5	0.00	0.00	0.28	0.99	0.00
2	2	0.00	0.03	0.56	0.88	0.00
2	6	0.00	0.00	0.28	0.79	0.00
3	3	0.00	0.00	0.64	1.57	0.00
3	7	0.00	0.00	0.24	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.71	10.62	10.74	1.22
0	0	0.00	0.80	16.20	0.72	9.32
0	4	0.00	0.00	17.67	80.84	0.00
1	1	0.00	0.00	0.25	0.59	0.00
1	5	0.00	0.00	0.14	0.80	0.00
2	2	0.00	0.02	0.35	0.60	0.00
2	6	0.00	0.00	0.10	0.50	0.00
3	3	0.25	12.80	49.38	1.09	0.00
3	7	0.00	0.04	0.84	0.79	0.41
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.65	10.51	11.24	0.00
0	0	0.00	5.19	63.26	4.05	0.00
0	4	0.00	0.02	17.39	80.81	0.00
1	1	0.00	0.00	0.37	1.09	0.00
1	5	0.00	0.00	0.47	1.19	0.00
2	2	0.00	0.00	0.46	0.99	0.00
2	6	0.00	0.00	0.35	1.09	0.00
3	3	0.00	0.03	0.89	0.30	0.00
3	7	0.00	0.00	0.91	0.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.59	10.91	10.76	0.00
0	0	0.01	4.70	64.77	2.99	0.00
0	4	0.00	0.00	19.56	78.84	0.00
1	1	0.00	0.00	0.75	0.39	0.00
1	5	0.00	0.00	0.60	0.29	0.00
2	2	0.00	0.00	0.41	0.80	0.00
2	6	0.00	0.00	0.28	0.99	0.00
3	3	0.00	0.00	0.46	0.49	0.00
3	7	0.00	0.03	0.45	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.62	10.77	11.97	0.00
0	0	0.01	4.89	64.09	3.42	0.00
0	4	0.00	0.00	17.44	80.94	0.00
1	1	0.00	0.03	0.50	5.94	0.00
1	5	0.00	0.00	0.33	0.99	0.00
2	2	0.00	0.00	1.05	0.31	0.00
2	6	0.00	0.01	0.90	0.49	0.00
3	3	0.00	0.00	0.54	2.36	0.00
3	7	0.00	0.06	1.32	1.27	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.79	10.55	10.87	0.43
0	0	0.00	6.31	63.65	1.82	0.00
0	4	0.00	0.00	18.03	67.49	3.42
1	1	0.00	0.00	0.38	1.98	0.00
1	5	0.00	0.00	0.41	0.99	0.00
2	2	0.00	0.00	0.37	2.36	0.00
2	6	0.00	0.02	0.29	0.89	0.00
3	3	0.00	0.00	0.19	0.50	0.00
3	7	0.00	0.00	1.06	10.93	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.64	11.39	10.90	0.00
0	0	0.01	5.08	66.19	1.94	0.00
0	4	0.00	0.02	20.28	78.16	0.00
1	1	0.00	0.00	1.06	1.40	0.00
1	5	0.07	0.00	0.38	0.99	0.00
2	2	0.00	0.03	0.75	2.31	0.00
2	6	0.11	0.00	0.36	0.88	0.00
3	3	0.00	0.00	1.12	0.80	0.00
3	7	0.00	0.03	0.95	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.67	10.59	11.05	0.09
0	0	0.00	5.31	62.97	4.26	0.00
0	4	0.00	0.00	19.29	78.99	0.00
1	1	0.00	0.00	0.34	0.68	0.00
1	5	0.00	0.02	0.20	0.89	0.00
2	2	0.00	0.00	0.16	1.09	0.00
2	6	0.00	0.00	0.18	0.99	0.00
3	3	0.00	0.00	0.48	1.28	0.00
3	7	0.00	0.03	1.08	0.20	0.69
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	0.66	11.14	11.82	0.00
0	0	0.01	5.23	64.20	3.00	0.00
0	4	0.00	0.00	21.35	77.06	0.00
1	1	1.29	0.00	0.49	7.65	0.00
1	5	0.00	0.00	0.54	1.39	0.00
2	2	0.00	0.00	0.52	1.09	0.00
2	6	0.00	0.02	0.29	1.19	0.00
3	3	0.00	0.00	1.10	0.80	0.00
3	7	0.00	0.00	0.67	2.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.64	10.71	11.85	0.00
0	0	0.01	5.12	62.39	4.81	0.00
0	4	0.00	0.02	20.56	77.81	0.00
1	1	0.00	0.00	0.76	7.46	0.00
1	5	0.00	0.00	0.18	0.99	0.00
2	2	0.00	0.00	0.69	0.60	0.00
2	6	0.00	0.00	0.25	0.89	0.00
3	3	0.00	0.00	0.32	0.90	0.00
3	7	0.00	0.02	0.56	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.84	10.79	11.20	0.00
0	0	0.01	6.66	61.58	3.52	0.00
0	4	0.00	0.00	21.39	74.46	0.00
1	1	0.02	0.05	0.86	6.06	0.00
1	5	0.00	0.00	0.28	1.10	0.00
2	2	0.00	0.00	0.56	1.09	0.00
2	6	0.00	0.00	0.37	1.28	0.00
3	3	0.00	0.00	0.35	0.79	0.00
3	7	0.00	0.03	0.89	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.67	10.85	11.01	0.00
0	0	0.00	5.33	65.32	1.82	0.00
0	4	0.00	0.00	19.10	79.29	0.00
1	1	0.00	0.02	0.49	1.49	0.00
1	5	0.00	0.00	0.40	1.68	0.00
2	2	0.00	0.00	0.33	0.92	0.00
2	6	0.00	0.00	0.37	0.60	0.00
3	3	0.00	0.00	0.35	0.99	0.00
3	7	0.00	0.01	0.45	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.66	11.12	10.65	0.12
0	0	0.02	5.24	65.17	2.87	0.04
0	4	0.00	0.00	20.86	77.50	0.00
1	1	0.00	0.00	0.43	0.70	0.00
1	5	0.00	0.00	0.33	0.89	0.00
2	2	0.00	0.02	0.80	0.50	0.90
2	6	0.00	0.00	0.14	0.70	0.00
3	3	0.00	0.00	0.70	0.89	0.00
3	7	0.00	0.03	0.57	1.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.59	10.91	13.73	0.00
0	0	0.02	4.61	62.58	5.79	0.00
0	4	0.00	0.00	20.05	78.38	0.00
1	1	0.00	0.00	0.93	1.78	0.00
1	5	0.00	0.00	0.37	1.28	0.00
2	2	0.00	0.00	1.22	1.38	0.00
2	6	0.00	0.00	0.24	1.18	0.00
3	3	0.00	0.00	0.49	0.99	0.00
3	7	0.00	0.12	1.44	19.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.60	10.85	12.69	0.00
0	0	0.01	4.81	64.74	2.98	0.00
0	4	0.00	0.00	17.52	80.88	0.00
1	1	0.00	0.00	0.83	2.46	0.00
1	5	0.00	0.00	0.75	1.39	0.00
2	2	0.00	0.00	0.43	1.47	0.00
2	6	0.00	0.00	0.33	1.49	0.00
3	3	0.00	0.02	0.93	1.20	0.00
3	7	0.00	0.00	1.24	9.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.87	10.48	10.45	0.31
0	0	0.01	6.89	63.39	1.61	0.00
0	4	0.00	0.00	18.56	77.40	0.00
1	1	0.00	0.09	0.40	0.71	2.50
1	5	0.00	0.00	0.10	0.40	0.00
2	2	0.00	0.00	0.09	0.39	0.00
2	6	0.00	0.00	0.27	0.70	0.00
3	3	0.00	0.00	0.44	1.19	0.00
3	7	0.00	0.00	0.62	1.19	0.00
