Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.35	5.36	53.68	12.50	0.17
0	0	0.28	5.31	57.84	13.49	0.00
0	4	0.06	5.46	53.47	11.25	0.00
1	1	0.25	5.59	57.17	12.30	0.17
1	5	0.60	7.49	49.75	10.11	0.56
2	2	0.48	4.38	50.78	14.69	0.09
2	6	0.67	5.07	49.66	12.57	0.01
3	3	0.22	4.71	54.03	13.19	0.52
3	7	0.22	4.87	56.60	12.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.43	7.45	52.97	9.40	0.02
0	0	0.40	6.63	55.01	11.50	0.00
0	4	0.81	7.32	51.19	11.01	0.00
1	1	0.21	7.24	52.00	10.29	0.00
1	5	1.03	12.53	43.80	6.82	0.15
2	2	0.18	6.31	56.99	8.44	0.00
2	6	0.29	6.50	52.17	8.03	0.01
3	3	0.33	7.00	57.56	7.96	0.00
3	7	0.21	6.11	55.03	11.12	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.42	7.95	56.03	6.82	0.04
0	0	0.52	6.43	54.76	9.66	0.00
0	4	0.31	8.14	57.49	4.58	0.00
1	1	0.53	6.71	58.23	6.99	0.00
1	5	0.45	10.74	48.08	6.79	0.20
2	2	0.50	7.62	58.43	7.42	0.00
2	6	0.39	8.04	58.27	4.39	0.00
3	3	0.41	8.48	55.89	6.50	0.00
3	7	0.28	7.42	57.12	8.25	0.09
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.61	11.24	53.42	3.25	0.03
0	0	0.56	10.50	56.44	3.72	0.00
0	4	0.66	11.01	56.56	2.59	0.00
1	1	0.65	9.62	55.03	6.03	0.00
1	5	1.14	15.52	39.86	1.96	0.07
2	2	0.56	11.30	55.61	3.34	0.00
2	6	0.71	10.68	53.93	3.02	0.00
3	3	0.31	10.85	54.36	2.75	0.20
3	7	0.27	10.47	55.74	2.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.37	9.99	51.18	7.92	0.02
0	0	0.32	9.21	48.06	3.30	0.00
0	4	0.23	8.84	53.39	8.45	0.01
1	1	0.21	8.48	53.72	11.07	0.00
1	5	1.11	14.95	39.60	6.00	0.15
2	2	0.22	10.09	53.46	7.14	0.00
2	6	0.11	9.20	56.52	7.52	0.00
3	3	0.43	9.49	48.31	12.52	0.00
3	7	0.34	9.62	56.20	7.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.60	11.54	52.10	3.26	0.00
0	0	0.58	10.42	53.09	4.32	0.00
0	4	0.62	10.67	50.21	4.30	0.00
1	1	0.34	10.55	56.27	3.11	0.00
1	5	1.11	15.46	43.00	1.16	0.00
2	2	0.54	10.43	51.58	5.86	0.00
2	6	0.46	11.29	55.31	2.30	0.00
3	3	0.55	10.71	57.19	1.89	0.00
3	7	0.58	12.84	50.25	3.16	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.81	11.81	52.93	2.27	0.00
0	0	0.77	11.19	54.19	1.25	0.00
0	4	1.46	11.29	54.69	1.40	0.00
1	1	0.86	11.10	55.10	1.41	0.00
1	5	0.95	14.86	46.12	1.53	0.00
2	2	0.39	12.51	52.31	2.77	0.00
2	6	0.58	10.71	56.02	2.45	0.00
3	3	0.64	10.67	52.42	4.22	0.00
3	7	0.81	12.13	52.54	3.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.92	11.31	53.24	2.24	0.00
0	0	0.79	10.63	53.83	3.55	0.00
0	4	0.57	10.73	53.57	3.66	0.00
1	1	1.24	10.43	54.40	2.59	0.00
1	5	0.83	13.30	48.29	0.53	0.01
2	2	0.95	11.25	54.65	2.88	0.00
2	6	1.07	12.57	51.49	2.17	0.00
3	3	0.89	10.88	54.62	1.67	0.00
3	7	1.06	10.73	55.11	0.84	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.95	11.87	52.27	2.32	0.00
0	0	1.08	11.57	49.73	1.91	0.00
0	4	0.72	11.31	52.93	3.71	0.00
1	1	0.73	12.06	54.44	2.08	0.00
1	5	1.14	13.26	50.74	1.24	0.00
2	2	0.97	12.15	51.46	2.86	0.00
2	6	0.93	10.94	54.90	2.20	0.00
3	3	1.26	12.01	53.49	1.36	0.00
3	7	0.76	11.66	50.34	3.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.91	12.29	51.62	2.15	0.00
0	0	1.38	11.56	52.30	2.47	0.00
0	4	1.23	11.60	49.42	4.10	0.00
1	1	0.75	12.57	52.26	1.43	0.00
1	5	0.91	13.48	51.37	1.00	0.00
2	2	0.53	11.61	52.10	2.37	0.00
2	6	0.81	12.44	53.44	1.53	0.00
3	3	0.73	12.56	49.93	3.03	0.00
3	7	0.92	12.53	52.14	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.63	8.44	55.51	5.05	0.00
0	0	1.29	7.74	56.96	6.36	0.00
0	4	0.61	9.49	53.35	3.79	0.00
1	1	0.82	8.51	57.82	4.63	0.00
1	5	0.53	8.45	55.14	5.10	0.00
2	2	0.42	8.69	56.66	4.87	0.01
2	6	0.30	8.36	53.54	7.20	0.00
3	3	0.41	7.70	58.18	3.63	0.03
3	7	0.64	8.62	52.46	4.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.63	8.30	56.95	7.27	0.01
0	0	0.84	9.33	53.56	7.54	0.00
0	4	0.46	7.84	58.30	7.73	0.00
1	1	0.83	7.64	55.76	7.73	0.00
1	5	0.79	8.96	58.58	5.51	0.00
2	2	0.54	7.67	57.25	8.49	0.01
2	6	0.54	8.04	58.87	7.13	0.00
3	3	0.66	8.04	56.43	6.57	0.11
3	7	0.41	8.88	56.84	7.44	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.53	6.78	57.49	6.60	0.17
0	0	0.35	5.99	60.89	7.62	0.00
0	4	0.39	7.46	56.55	5.29	0.00
1	1	0.42	5.78	51.10	8.92	0.08
1	5	0.84	7.41	59.62	7.34	0.00
2	2	0.80	7.93	59.63	3.34	0.00
2	6	0.23	6.09	59.06	8.48	0.00
3	3	0.45	7.15	56.82	3.61	0.61
3	7	0.78	6.40	56.21	8.17	0.65
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.42	4.78	55.02	10.65	0.09
0	0	0.75	4.19	58.17	8.21	0.00
0	4	0.36	4.85	57.55	10.97	0.20
1	1	0.24	4.53	53.41	12.18	0.11
1	5	0.26	5.55	56.31	8.00	0.00
2	2	0.20	4.74	53.29	10.88	0.00
2	6	0.29	5.65	58.65	9.04	0.00
3	3	0.71	4.90	55.61	14.00	0.00
3	7	0.57	3.95	48.29	12.10	0.40
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.56	5.27	55.38	12.78	0.04
0	0	0.74	6.11	58.51	11.73	0.00
0	4	0.91	5.37	55.07	12.94	0.00
1	1	0.34	4.57	55.72	17.51	0.30
1	5	0.47	5.46	55.15	14.63	0.00
2	2	0.38	4.62	56.47	13.35	0.00
2	6	0.92	6.00	56.82	11.21	0.00
3	3	0.35	5.05	55.57	14.40	0.00
3	7	0.40	4.95	49.02	6.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.40	5.60	55.56	8.63	0.03
0	0	0.33	5.22	57.04	7.47	0.22
0	4	0.20	5.23	54.53	9.21	0.00
1	1	0.63	5.47	49.70	10.82	0.00
1	5	0.42	5.97	59.98	5.98	0.00
2	2	0.31	5.16	56.98	8.46	0.04
2	6	0.37	5.83	54.90	9.44	0.00
3	3	0.43	6.58	54.22	6.74	0.00
3	7	0.51	5.31	56.84	10.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.39	5.19	55.14	11.02	0.07
0	0	0.32	4.70	54.77	11.22	0.00
0	4	0.21	4.19	57.41	12.06	0.01
1	1	0.24	4.86	52.60	12.90	0.00
1	5	0.67	7.60	52.29	9.13	0.26
2	2	0.32	5.90	59.03	11.55	0.00
2	6	0.48	4.24	54.25	10.37	0.31
3	3	0.35	6.26	59.57	6.24	0.00
3	7	0.52	3.77	51.27	14.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.33	5.41	55.72	9.03	0.00
0	0	0.14	5.33	56.75	9.93	0.00
0	4	0.22	4.77	49.37	12.42	0.03
1	1	0.45	4.22	54.72	10.89	0.00
1	5	0.71	6.62	56.49	8.58	0.00
2	2	0.18	5.76	58.89	10.84	0.00
2	6	0.23	5.19	56.60	8.13	0.01
3	3	0.42	5.54	55.82	7.14	0.00
3	7	0.30	5.85	57.07	4.34	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.32	4.94	58.92	8.63	0.03
0	0	0.44	5.75	59.55	4.29	0.24
0	4	0.46	3.99	58.67	13.80	0.01
1	1	0.39	4.59	60.35	9.82	0.00
1	5	0.50	5.29	63.16	7.41	0.00
2	2	0.10	4.64	57.19	9.27	0.00
2	6	0.14	5.15	56.65	6.73	0.00
3	3	0.34	5.16	59.08	9.63	0.00
3	7	0.23	4.91	56.60	8.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.33	6.08	54.04	10.17	0.11
0	0	0.94	6.69	57.06	9.92	0.00
0	4	0.22	5.61	54.90	11.13	0.00
1	1	0.29	6.12	56.75	10.17	0.00
1	5	0.44	9.12	45.03	6.01	0.72
2	2	0.15	5.43	59.72	10.08	0.01
2	6	0.18	5.70	56.27	10.39	0.00
3	3	0.21	4.64	49.37	11.32	0.11
3	7	0.24	5.36	53.45	12.35	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.55	5.83	51.92	14.39	0.01
0	0	0.62	6.31	54.39	14.08	0.00
0	4	0.53	5.80	56.39	13.13	0.00
1	1	0.53	4.19	51.41	19.35	0.00
1	5	0.71	8.99	52.61	8.29	0.00
2	2	0.48	4.58	53.18	18.28	0.09
2	6	0.55	5.95	49.15	16.51	0.00
3	3	0.84	5.77	44.46	10.17	0.00
3	7	0.14	5.07	53.86	15.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.43	7.85	55.60	6.77	0.07
0	0	0.59	7.65	56.50	6.34	0.00
0	4	0.47	7.40	59.27	8.92	0.00
1	1	0.40	6.25	58.25	6.88	0.00
1	5	0.91	12.03	46.71	4.13	0.41
2	2	0.49	7.29	59.48	8.50	0.00
2	6	0.20	7.24	57.66	6.29	0.00
3	3	0.21	8.58	51.86	4.73	0.17
3	7	0.14	6.32	54.78	8.31	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.18	6.06	55.75	10.75	0.03
0	0	0.13	4.98	54.82	12.83	0.11
0	4	0.09	5.27	54.89	14.33	0.00
1	1	0.10	4.95	52.26	12.29	0.00
1	5	0.46	8.88	52.58	7.60	0.12
2	2	0.24	6.34	60.09	8.53	0.00
2	6	0.04	5.37	53.61	13.81	0.01
3	3	0.22	6.37	58.85	11.05	0.00
3	7	0.18	6.40	59.31	5.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.47	7.06	52.75	11.81	0.08
0	0	0.23	6.64	55.67	12.55	0.00
0	4	0.10	6.16	56.84	12.85	0.00
1	1	0.62	5.58	52.93	15.03	0.01
1	5	0.70	11.86	44.24	7.81	0.63
2	2	0.59	6.55	50.89	11.37	0.00
2	6	0.16	7.59	53.19	10.91	0.00
3	3	0.68	5.42	51.49	15.53	0.00
3	7	0.64	6.63	56.40	8.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.50	5.51	55.22	13.26	0.06
0	0	0.33	6.10	58.27	10.81	0.00
0	4	0.40	4.34	57.45	17.51	0.00
1	1	0.62	5.44	59.72	11.22	0.00
1	5	0.79	8.84	53.60	9.44	0.45
2	2	0.52	4.62	55.33	17.82	0.00
2	6	0.35	4.29	47.18	8.59	0.00
3	3	0.50	5.38	56.87	12.51	0.00
3	7	0.44	5.07	53.30	18.22	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.27	5.64	54.52	11.49	0.11
0	0	0.15	5.38	57.94	11.63	0.00
0	4	0.18	5.88	52.37	11.73	0.31
1	1	0.23	4.87	54.03	13.81	0.00
1	5	0.47	8.70	48.92	9.90	0.56
2	2	0.16	5.95	56.63	9.48	0.01
2	6	0.53	4.47	55.14	13.05	0.00
3	3	0.24	3.99	52.27	13.74	0.00
3	7	0.19	5.88	58.80	8.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.22	5.95	56.18	9.33	0.27
0	0	0.40	6.35	60.76	6.58	0.00
0	4	0.24	5.55	55.13	8.82	0.00
1	1	0.21	5.27	55.93	11.04	0.03
1	5	0.14	8.01	51.13	10.12	1.98
2	2	0.15	6.05	60.44	7.22	0.01
2	6	0.22	5.70	56.19	10.03	0.00
3	3	0.26	4.68	51.21	12.50	0.14
3	7	0.12	5.96	58.61	8.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.33	8.13	54.51	7.00	0.02
0	0	0.16	8.06	57.43	5.63	0.00
0	4	0.20	7.08	53.56	5.74	0.00
1	1	0.37	7.53	54.67	7.87	0.01
1	5	0.58	12.36	48.89	5.15	0.15
2	2	0.29	6.07	53.34	12.59	0.00
2	6	0.48	8.48	55.16	5.12	0.00
3	3	0.29	8.28	58.30	5.28	0.00
3	7	0.30	7.28	55.42	8.74	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.28	6.14	54.41	11.84	0.06
0	0	0.33	5.30	59.90	8.94	0.00
0	4	0.20	5.62	52.83	13.77	0.00
1	1	0.07	5.61	53.81	12.52	0.11
1	5	0.51	10.21	48.61	6.96	0.38
2	2	0.29	6.01	50.91	13.58	0.00
2	6	0.06	4.45	55.75	16.84	0.00
3	3	0.70	6.67	56.85	9.11	0.00
3	7	0.07	5.28	56.58	13.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
