Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1762375160117,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.7685546875,192333.1655883789,106311.41638183594,0.29296875,33572028416,0,819412992,0
0,1762375160117,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.7685546875,192333.1655883789,106311.41821289063,0.29296875,33572028416,0,819412992,0
0,1762375160118,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.76971435547,192333.1719970703,106311.42138671875,0.29296875,33572028416,0,819412992,0
0,1762375160119,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77087402344,192333.17803955078,106311.42413330078,0.29296875,33572028416,0,819929088,0
0,1762375160120,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77294921875,192333.18353271484,106311.42614746094,0.29296875,33572028416,0,819929088,0
0,1762375160121,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.7739868164,192333.19311523438,106311.42810058594,0.29296875,33572028416,0,819929088,0
0,1762375160122,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.7739868164,192333.19311523438,106311.42999267578,0.29296875,33572028416,0,819929088,0
0,1762375160123,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77600097656,192333.203125,106311.43200683594,0.29296875,33572028416,0,819929088,0
0,1762375160124,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.7769165039,192333.20782470703,106311.4345703125,0.29296875,33572028416,0,819929088,0
0,1762375160126,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77795410156,192333.2134399414,106311.4369506836,0.29296875,33572028416,0,819929088,0
0,1762375160127,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77893066406,192333.21868896484,106311.43914794922,0.29296875,33572028416,0,819929088,0
0,1762375160128,1600,1600,1599,1600,1600,1599,1599,1600,0,0,0,0,0,3.846153974533081,4,0,175971.77996826172,192333.22393798828,106311.44152832031,0.29296875,33572028416,0,819929088,0
