Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
224	15.14	1600	2860	0.80	84	0	0	2	3	2	41	0	4	0	0	0.00	2.10	1.86	2.44	67.58	0.00	4.71	0.00	0.00	17.14	3.65	64.07	0.00	51	0	51	91.11	76.40	0.00	0.00	3.06	12.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.79	2.59	0.00	1.00	0.00	0.00
370	23.49	1600	3044	0.84	62	0	0	0	2	4	51	0	1	0	0	0.00	0.00	0.36	1.30	72.73	0.00	1.16	0.00	0.00	27.70	2.04	46.76	0.00	52	0	51	156.39	101.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.14	3.51	0.00	1.16	0.00	0.00
401	26.40	1600	2943	0.85	49	0	0	0	4	4	53	0	3	0	0	0.00	0.00	0.70	1.64	64.75	0.00	3.21	0.00	0.00	23.55	1.03	49.02	0.00	51	0	51	199.97	93.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.44	4.18	0.00	1.15	0.00	0.00
333	17.46	1600	3695	0.92	60	0	0	1	2	0	44	0	8	0	0	0.00	0.04	0.61	0.00	83.54	0.00	14.73	0.00	0.00	22.40	0.00	60.14	0.00	52	0	52	173.61	108.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.94	4.86	0.00	1.47	0.00	0.00
338	27.39	1600	2390	0.81	52	0	0	0	2	2	45	0	3	0	0	0.00	0.00	0.30	0.45	51.98	0.00	3.59	0.00	0.00	22.11	0.85	49.65	0.00	52	0	52	166.21	95.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.66	2.92	0.00	0.89	0.00	0.00
266	12.44	1600	4134	0.70	60	0	0	0	0	0	59	0	3	0	1	0.00	0.00	0.00	0.00	111.52	0.00	4.97	0.00	0.92	16.29	0.00	71.27	0.00	51	0	52	119.69	89.79	0.00	0.00	2.23	10.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.16	4.03	0.00	1.38	0.00	0.00
185	11.58	1601	3088	0.84	49	0	0	0	1	2	33	0	12	0	0	0.00	0.00	0.11	1.17	66.32	0.00	20.92	0.00	0.00	15.40	1.94	62.72	8.36	51	0	52	93.53	80.57	0.00	0.00	2.66	14.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.09	2.27	0.00	0.94	0.00	0.00
182	11.40	1599	3095	0.84	41	0	0	0	2	1	33	0	11	0	0	0.00	0.00	0.41	0.34	69.04	0.00	19.16	0.00	0.00	15.46	0.00	66.56	6.57	51	0	51	89.63	79.57	0.00	0.00	1.53	14.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.63	2.34	0.00	1.14	0.00	0.00
186	11.62	1601	3094	0.83	49	0	0	0	1	3	41	0	8	0	0	0.00	0.00	0.06	0.31	74.87	0.00	13.50	0.00	0.00	16.40	0.00	71.08	0.90	51	0	51	90.67	79.70	0.00	0.00	2.66	14.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.46	2.56	0.00	0.93	0.00	0.00
185	11.54	1600	3096	0.83	40	0	0	0	2	2	33	0	10	0	0	0.00	0.00	0.48	1.17	70.17	0.00	17.00	0.00	0.00	14.90	1.03	69.79	2.74	51	0	51	92.38	80.91	0.00	0.00	1.36	14.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.33	2.19	0.00	1.12	0.00	0.00
183	11.47	1600	3097	0.83	44	0	0	0	0	1	36	0	11	0	0	0.00	0.00	0.00	0.29	70.79	0.00	17.85	0.00	0.00	15.47	0.00	68.71	4.35	51	0	51	90.36	79.72	0.00	0.00	3.66	12.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.32	2.42	0.00	0.92	0.00	0.00
185	11.58	1600	3089	0.82	47	0	0	1	1	5	41	0	6	0	0	0.00	0.02	0.02	1.69	76.94	0.00	9.93	0.00	0.00	15.79	1.23	71.40	0.00	51	0	51	90.78	80.64	0.00	0.00	3.13	13.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.29	2.18	0.00	0.94	0.00	0.00
188	11.71	1600	3102	0.83	41	0	0	1	2	3	40	0	6	0	0	0.00	0.04	0.19	0.67	77.61	0.00	10.36	0.00	0.00	15.31	0.00	69.25	3.73	51	0	51	92.62	80.26	0.00	0.00	1.20	13.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.50	2.55	0.00	1.11	0.00	0.00
185	11.52	1600	3100	0.83	49	0	0	0	1	1	40	0	6	0	0	0.00	0.00	0.26	0.63	77.67	0.00	10.41	0.00	0.00	16.12	1.11	71.25	0.00	51	0	51	90.27	79.32	0.00	0.00	3.54	13.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	2.27	0.00	0.94	0.00	0.00
183	11.42	1600	3093	0.84	40	0	0	0	3	1	35	0	11	0	0	0.00	0.00	0.56	0.09	69.92	0.00	18.28	0.00	0.00	15.38	0.00	67.45	5.74	51	0	51	92.02	80.60	0.00	0.00	1.17	15.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	2.48	0.00	1.10	0.00	0.00
186	11.58	1600	3103	0.82	49	0	0	0	1	1	36	0	9	0	0	0.00	0.00	0.07	0.58	75.82	0.00	12.52	0.00	0.00	15.67	1.00	70.54	1.22	51	0	51	89.90	79.44	0.00	0.00	3.87	12.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	2.20	0.00	0.93	0.00	0.00
183	11.46	1600	3083	0.83	41	0	0	0	2	4	27	0	19	0	0	0.00	0.00	0.42	1.50	49.63	0.00	37.00	0.00	0.00	15.87	1.30	51.82	19.54	51	0	51	92.44	81.20	0.00	0.00	1.48	13.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.99	2.34	0.00	1.10	0.00	0.00
184	11.53	1600	3094	0.82	41	0	0	0	1	2	34	0	10	0	0	0.00	0.00	0.13	0.98	72.69	0.00	14.99	0.00	0.00	15.24	0.90	67.91	4.42	51	0	51	89.30	79.19	0.00	0.00	3.39	13.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.09	2.45	0.00	0.94	0.00	0.00
183	11.46	1600	3097	0.84	49	0	1	0	1	0	35	0	12	0	0	0.05	0.00	0.27	0.00	65.98	0.00	22.66	0.00	0.00	16.32	0.00	59.73	12.50	51	0	51	90.86	80.68	0.00	0.00	3.65	12.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.65	2.14	0.00	0.90	0.00	0.00
184	11.42	1600	3114	0.83	41	0	0	0	3	1	32	0	11	0	0	0.00	0.00	0.43	0.43	67.53	0.00	21.07	0.00	0.00	15.59	0.00	66.56	6.44	51	0	51	91.88	79.81	0.00	0.00	2.47	13.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.08	2.25	0.00	1.15	0.00	0.00
184	11.52	1600	3086	0.83	49	0	0	0	0	1	30	0	16	0	0	0.00	0.00	0.00	0.46	56.63	0.00	31.48	0.00	0.00	15.91	0.78	63.14	8.65	51	0	51	89.86	79.75	0.00	0.00	3.56	12.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	2.16	0.00	0.92	0.00	0.00
186	11.63	1599	3090	0.82	41	0	0	1	1	1	36	0	9	0	0	0.00	0.04	0.26	0.30	69.12	0.00	18.82	0.00	0.00	15.46	0.00	72.91	0.00	50	0	51	91.91	80.54	0.00	0.00	2.45	13.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.01	2.33	0.00	1.11	0.00	0.00
