Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
187	11.69	1600	3100	0.83	41	0	0	1	0	5	40	0	6	0	1	0.00	0.02	0.00	0.74	75.91	0.00	10.36	0.00	1.76	15.57	0.00	68.99	3.75	49	0	50	90.94	80.61	0.00	0.00	1.54	12.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.93	2.23	0.00	1.12	0.00	0.00
185	11.51	1600	3115	0.82	49	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.20	0.56	68.97	0.00	19.68	0.00	0.00	16.09	0.93	68.76	2.70	49	0	50	90.23	79.84	0.00	0.00	2.17	14.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	2.24	0.00	0.93	0.00	0.00
183	11.52	1601	3076	0.83	41	0	0	1	2	3	37	0	9	0	0	0.00	0.02	0.27	0.66	72.89	0.00	14.45	0.00	0.00	15.42	0.00	69.84	3.22	50	0	50	92.53	81.03	0.00	0.00	1.12	15.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.80	2.22	0.00	1.10	0.00	0.00
184	11.48	1600	3096	0.82	49	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.07	0.61	68.43	0.00	19.78	0.00	0.00	15.73	1.06	67.44	4.30	49	0	50	89.83	79.54	0.00	0.00	2.19	14.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.13	2.54	0.00	0.93	0.00	0.00
182	11.37	1600	3097	0.84	41	0	0	0	2	3	35	0	10	0	0	0.00	0.00	0.49	1.35	68.73	0.00	18.48	0.00	0.00	15.69	1.25	64.87	6.81	50	0	50	91.79	81.09	0.00	0.00	1.04	13.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.87	2.29	0.00	0.93	0.00	0.00
184	11.51	1601	3099	0.82	41	0	0	0	1	2	34	0	10	0	0	0.00	0.00	0.09	0.97	70.54	0.00	17.33	0.00	0.00	15.10	0.88	68.82	3.69	49	0	50	89.82	79.37	0.00	0.00	2.59	14.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.28	2.58	0.00	1.11	0.00	0.00
184	11.53	1600	3086	0.83	49	0	0	1	1	1	40	0	8	0	0	0.00	0.02	0.20	0.09	74.77	0.00	13.51	0.00	0.00	16.35	0.00	72.12	0.00	50	0	50	90.10	80.76	0.00	0.00	2.14	13.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.62	2.07	0.00	0.91	0.00	0.00
185	11.55	1599	3104	0.82	41	0	0	0	3	1	32	0	11	0	0	0.00	0.00	0.49	0.49	68.93	0.00	19.17	0.00	0.00	15.48	0.00	66.63	6.35	50	0	50	92.67	80.20	0.00	0.00	1.05	15.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.16	2.48	0.00	1.13	0.00	0.00
186	11.59	1601	3103	0.83	50	0	0	0	0	1	34	0	12	0	0	0.00	0.00	0.00	0.49	67.03	0.00	21.49	0.00	0.00	15.83	0.81	71.34	0.44	49	0	50	89.77	79.60	0.00	0.00	2.19	14.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.87	2.29	0.00	0.93	0.00	0.00
185	11.59	1600	3093	0.83	40	0	0	0	2	2	27	0	16	0	0	0.00	0.00	0.45	1.19	57.27	0.00	29.75	0.00	0.00	15.02	1.09	64.90	7.40	49	0	50	91.71	80.75	0.00	0.00	1.08	14.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.09	2.46	0.00	1.11	0.00	0.00
