Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
187	11.68	1599	3107	0.83	41	0	0	0	1	5	39	0	8	0	0	0.00	0.00	0.09	0.78	72.03	0.00	16.11	0.00	0.00	15.52	0.00	65.73	7.08	48	0	50	93.93	81.25	0.00	0.00	1.07	12.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.99	2.26	0.00	1.12	0.00	0.00
185	11.49	1600	3113	0.82	49	0	0	0	1	1	32	0	13	0	0	0.00	0.00	0.20	0.56	61.68	0.00	26.89	0.00	0.00	16.13	0.93	65.68	5.77	48	0	49	89.97	80.04	0.00	0.00	2.11	14.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.78	2.19	0.00	0.93	0.00	0.00
185	11.62	1600	3075	0.83	40	0	0	0	2	3	36	0	10	0	0	0.00	0.00	0.27	0.64	69.66	0.00	17.61	0.00	0.00	15.52	0.00	67.13	5.72	48	0	50	93.47	81.30	0.00	0.00	2.09	14.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.02	2.41	0.00	1.11	0.00	0.00
185	11.51	1600	3103	0.82	49	0	0	0	1	1	37	0	8	0	0	0.00	0.00	0.06	0.63	75.32	0.00	13.06	0.00	0.00	15.77	1.09	70.42	1.21	49	0	49	90.07	79.62	0.00	0.00	2.17	14.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.82	2.30	0.00	0.93	0.00	0.00
182	11.43	1600	3082	0.83	41	0	0	0	2	3	31	0	14	0	0	0.00	0.00	0.45	1.33	60.84	0.00	25.92	0.00	0.00	15.59	1.24	60.45	11.30	48	0	49	91.68	80.76	0.00	0.00	1.15	13.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	2.20	0.00	1.10	0.00	0.00
186	11.59	1601	3104	0.82	41	0	0	1	0	2	33	0	11	0	0	0.00	0.04	0.00	0.99	67.91	0.00	20.03	0.00	0.00	15.31	1.03	68.21	3.86	48	0	49	90.27	79.95	0.00	0.00	2.19	14.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	2.28	0.00	0.93	0.00	0.00
184	11.55	1600	3086	0.83	49	0	0	0	1	2	32	0	13	0	0	0.00	0.00	0.27	1.37	61.28	0.00	25.61	0.00	0.00	15.83	2.27	64.24	6.11	48	0	49	90.51	80.40	0.00	0.00	2.22	14.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	2.27	0.00	0.91	0.00	0.00
187	11.65	1600	3111	0.82	41	0	0	1	2	1	32	0	12	0	0	0.00	0.06	0.36	0.39	67.22	0.00	21.11	0.00	0.00	15.54	0.00	66.17	6.65	49	0	50	92.32	80.19	0.00	0.00	1.13	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.07	2.36	0.00	1.13	0.00	0.00
187	11.64	1600	3104	0.82	49	0	0	0	1	2	41	0	8	0	0	0.00	0.00	0.11	0.20	76.04	0.00	12.62	0.00	0.00	16.31	0.00	67.81	4.24	48	0	49	90.27	79.98	0.00	0.00	2.91	13.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.75	2.13	0.00	0.93	0.00	0.00
184	11.57	1600	3082	0.82	40	0	0	0	2	2	37	0	7	0	0	0.00	0.00	0.29	0.94	75.91	0.00	11.23	0.00	0.00	15.01	0.80	70.12	2.51	48	0	50	92.58	79.99	0.00	0.00	1.13	15.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.79	2.25	0.00	1.10	0.00	0.00
187	11.67	1600	3100	0.82	49	0	0	0	1	1	36	0	11	0	0	0.00	0.00	0.09	0.62	71.30	0.00	16.81	0.00	0.00	15.86	1.09	69.55	1.82	48	0	49	90.19	80.16	0.00	0.00	2.98	12.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.91	2.29	0.00	0.91	0.00	0.00
191	11.95	1600	3096	0.80	42	0	0	1	2	2	34	0	11	0	0	0.00	0.04	0.33	0.88	67.64	0.00	19.51	0.00	0.00	14.78	0.88	69.47	2.93	49	0	49	92.66	81.14	0.00	0.00	1.03	13.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.96	2.37	0.00	1.12	0.00	0.00
186	11.61	1600	3098	0.82	49	0	0	0	1	0	35	0	11	0	0	0.00	0.00	0.20	0.00	69.71	0.00	18.90	0.00	0.00	15.84	0.00	72.08	0.48	48	0	49	90.79	79.94	0.00	0.00	3.18	13.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.69	2.13	0.00	0.91	0.00	0.00
183	11.47	1600	3088	0.83	42	0	0	0	1	2	29	0	16	0	0	0.00	0.00	0.20	1.07	59.04	0.00	28.33	0.00	0.00	15.76	0.87	67.61	4.29	49	0	49	92.57	80.30	0.00	0.00	2.19	14.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	2.24	0.00	0.93	0.00	0.00
186	11.58	1599	3114	0.83	41	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.22	0.52	69.32	0.00	19.23	0.00	0.00	15.49	0.00	65.83	7.11	49	0	50	91.08	80.69	0.00	0.00	2.21	14.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.03	2.36	0.00	1.11	0.00	0.00
184	11.53	1601	3091	0.82	50	0	0	0	1	1	32	0	13	0	0	0.00	0.00	0.28	0.63	61.30	0.00	26.48	0.00	0.00	16.08	1.11	65.47	5.81	48	0	49	89.62	79.55	0.00	0.00	2.58	13.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.10	2.44	0.00	0.94	0.00	0.00
