Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.09	6.18	16.25	0.00
0	0	0.09	0.50	39.00	33.29	0.00
0	4	0.00	0.01	1.00	0.00	0.00
1	1	0.00	0.00	0.49	0.69	0.00
1	5	0.00	0.00	0.27	1.09	0.00
2	2	0.00	0.00	0.35	1.38	0.00
2	6	0.00	0.13	0.70	1.58	0.00
3	3	0.00	0.05	7.33	90.78	0.00
3	7	0.00	0.00	0.30	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.33	6.51	15.07	0.12
0	0	0.08	2.59	41.26	27.85	0.00
0	4	0.00	0.00	0.74	0.00	0.00
1	1	0.00	0.00	1.02	0.69	0.00
1	5	0.01	0.01	0.80	0.89	1.00
2	2	0.00	0.00	0.20	1.48	0.00
2	6	0.00	0.00	1.17	0.49	0.00
3	3	0.00	0.00	6.78	88.57	0.00
3	7	0.00	0.00	0.13	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	6.08	16.06	0.00
0	0	0.09	0.39	38.35	34.04	0.00
0	4	0.00	0.00	0.66	0.00	0.00
1	1	0.00	0.00	0.29	0.99	0.00
1	5	0.00	0.00	0.23	0.89	0.00
2	2	0.00	0.00	0.23	0.69	0.00
2	6	0.00	0.03	1.06	0.49	0.00
3	3	0.00	0.00	7.56	90.61	0.00
3	7	0.00	0.00	0.26	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.30	6.94	15.04	1.64
0	0	0.08	2.33	44.18	26.34	0.00
0	4	0.00	0.00	0.90	0.00	12.18
1	1	0.10	0.02	0.79	1.09	0.00
1	5	0.00	0.00	0.37	0.69	0.00
2	2	0.00	0.00	0.25	0.98	0.00
2	6	0.00	0.07	4.58	41.20	0.00
3	3	0.00	0.00	4.06	49.46	0.90
3	7	0.00	0.00	0.38	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.46	0.42	6.72	14.84	0.70
0	0	0.07	1.51	38.23	23.51	0.00
0	4	0.00	0.02	0.69	0.00	5.59
1	1	3.62	1.68	4.83	2.28	0.00
1	5	0.00	0.00	0.19	0.89	0.00
2	2	0.00	0.01	0.39	0.89	0.00
2	6	0.00	0.12	8.62	88.84	0.00
3	3	0.00	0.00	0.71	1.28	0.00
3	7	0.00	0.00	0.10	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.70	1.11	7.06	13.98	0.14
0	0	0.60	1.45	22.16	14.99	0.01
0	4	0.00	0.00	0.45	0.60	1.10
1	1	17.65	4.27	15.02	0.39	0.00
1	5	0.00	0.00	0.38	0.99	0.00
2	2	11.37	2.99	12.55	0.29	0.00
2	6	0.00	0.16	3.84	45.69	0.00
3	3	0.00	0.00	2.03	48.22	0.00
3	7	0.00	0.00	0.05	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.33	6.15	15.48	1.04
0	0	0.09	2.39	37.84	31.65	0.00
0	4	0.00	0.00	0.19	0.90	8.28
1	1	0.64	0.22	2.09	0.89	0.00
1	5	0.00	0.00	0.36	0.69	0.06
2	2	0.00	0.00	0.32	0.50	0.00
2	6	0.00	0.07	0.94	0.10	0.00
3	3	0.00	0.00	7.12	88.52	0.00
3	7	0.00	0.00	0.38	0.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.17	6.77	15.74	0.00
0	0	0.06	1.22	44.07	27.23	0.00
0	4	0.00	0.00	0.81	0.21	0.00
1	1	0.00	0.02	0.72	2.09	0.00
1	5	0.00	0.00	0.39	1.30	0.00
2	2	0.00	0.00	0.29	1.27	0.00
2	6	0.00	0.10	1.44	0.89	0.00
3	3	0.00	0.01	6.24	91.96	0.00
3	7	0.00	0.03	0.20	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.20	0.35	7.10	14.75	0.15
0	0	0.05	1.45	43.10	22.40	0.42
0	4	0.00	0.00	0.53	0.21	0.00
1	1	0.00	0.04	1.78	2.74	0.81
1	5	0.00	0.00	0.19	0.90	0.00
2	2	0.00	0.00	0.62	1.99	0.00
2	6	0.00	0.07	2.33	7.73	0.00
3	3	1.56	1.26	8.07	81.45	0.00
3	7	0.00	0.00	0.13	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.54	0.78	7.17	13.92	0.51
0	0	0.14	1.34	28.63	12.38	0.00
0	4	0.00	0.00	0.38	0.20	4.08
1	1	0.00	0.04	0.76	4.15	0.00
1	5	0.00	0.00	0.59	1.99	0.00
2	2	0.00	0.00	0.63	0.10	0.00
2	6	16.62	3.90	19.69	29.02	0.00
3	3	3.53	0.95	6.33	62.73	0.00
3	7	0.00	0.00	0.37	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	6.81	15.41	0.00
0	0	0.02	0.62	45.32	25.61	0.00
0	4	0.00	0.00	0.59	0.50	0.00
1	1	0.00	0.00	0.19	0.89	0.00
1	5	0.00	0.00	0.49	1.20	0.00
2	2	0.00	0.00	0.64	0.99	0.00
2	6	0.00	0.00	0.78	1.19	0.00
3	3	0.00	0.02	6.15	91.81	0.00
3	7	0.00	0.00	0.30	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.24	7.21	14.88	0.03
0	0	0.04	1.81	46.17	22.69	0.00
0	4	0.00	0.00	0.82	0.51	0.18
1	1	0.00	0.05	1.38	2.86	0.00
1	5	0.00	0.00	0.59	2.15	0.07
2	2	0.00	0.00	0.39	1.28	0.00
