Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.42	0.85	0.00
0	0	0.00	0.00	0.52	0.91	0.00
0	4	0.00	0.00	0.90	0.42	0.00
1	1	0.00	0.00	0.27	0.89	0.00
1	5	0.00	0.00	0.35	0.79	0.00
2	2	0.00	0.00	0.22	0.89	0.00
2	6	0.00	0.00	0.29	0.90	0.00
3	3	0.00	0.00	0.40	0.89	0.00
3	7	0.00	0.00	0.43	1.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.43	0.98	0.00
0	0	0.00	0.00	0.36	1.10	0.00
0	4	0.00	0.04	0.72	0.99	0.00
1	1	0.00	0.00	0.50	1.59	0.00
1	5	0.00	0.00	0.19	1.09	0.00
2	2	0.00	0.00	0.35	0.89	0.00
2	6	0.00	0.00	0.44	0.60	0.00
3	3	0.00	0.00	0.40	1.00	0.00
3	7	0.00	0.00	0.47	0.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.00	0.52	0.98	0.00
0	0	0.00	0.00	1.18	0.41	0.00
0	4	0.00	0.02	0.77	1.31	0.00
1	1	0.00	0.00	0.27	0.89	0.00
1	5	0.08	0.01	0.45	0.99	0.00
2	2	0.09	0.00	0.31	0.90	0.00
2	6	0.00	0.00	0.19	1.10	0.00
3	3	0.00	0.00	0.38	0.89	0.00
3	7	0.00	0.00	0.62	1.34	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.47	0.93	0.00
0	0	0.00	0.00	0.28	1.09	0.00
0	4	0.00	0.00	0.58	1.09	0.00
1	1	0.00	0.00	0.71	0.79	0.00
1	5	0.00	0.00	0.20	1.38	0.00
2	2	0.00	0.00	0.36	1.08	0.00
2	6	0.00	0.00	0.45	1.19	0.00
3	3	0.00	0.00	0.77	0.10	0.00
3	7	0.00	0.00	0.38	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.32	0.71	1.53	0.00
0	0	0.00	0.00	0.60	2.67	0.00
0	4	0.00	0.05	0.63	1.07	0.00
1	1	0.00	0.00	0.56	1.97	0.00
1	5	0.00	0.00	0.55	1.77	0.00
2	2	0.00	0.00	1.40	1.28	0.00
2	6	0.00	0.00	0.70	1.48	0.00
3	3	0.00	2.47	0.13	0.00	0.00
3	7	0.00	0.00	1.14	2.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.46	0.79	0.00
0	0	0.00	0.00	0.19	0.99	0.00
0	4	0.00	0.05	0.90	0.60	0.00
1	1	0.00	0.00	0.44	0.70	0.00
1	5	0.00	0.01	0.42	1.09	0.00
2	2	0.00	0.00	0.37	0.90	0.00
2	6	0.00	0.00	0.37	0.90	0.00
3	3	0.00	0.00	0.64	0.60	0.00
3	7	0.00	0.03	0.37	0.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.38	0.88	0.00
0	0	0.00	0.00	0.27	0.60	0.00
0	4	0.00	0.04	1.08	0.69	0.00
1	1	0.00	0.02	0.28	0.89	0.00
1	5	0.00	0.00	0.28	1.30	0.00
2	2	0.00	0.00	0.36	0.89	0.00
2	6	0.00	0.00	0.25	0.89	0.00
3	3	0.00	0.00	0.21	0.90	0.00
3	7	0.00	0.00	0.29	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.65	0.73	0.00
0	0	0.00	0.00	0.63	0.10	0.00
0	4	0.00	0.07	1.22	0.39	0.00
1	1	0.00	0.00	0.28	1.18	0.00
1	5	0.00	0.00	0.36	0.98	0.00
2	2	0.00	0.00	1.69	0.79	0.00
2	6	0.00	0.02	0.29	0.89	0.00
3	3	0.00	0.00	0.20	0.88	0.00
