Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.55	1.06	0.00
0	0	0.00	0.00	0.49	0.60	0.00
0	4	0.00	0.00	0.42	0.98	0.00
1	1	0.00	0.01	0.57	0.90	0.00
1	5	0.00	0.00	0.38	1.19	0.00
2	2	0.00	0.00	0.42	0.79	0.00
2	6	0.00	0.04	0.63	1.66	0.00
3	3	0.00	0.02	0.29	0.79	0.00
3	7	0.00	0.00	1.19	1.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.38	0.72	0.00
0	0	0.00	0.00	0.22	0.40	0.00
0	4	0.00	0.00	0.10	0.40	0.00
1	1	0.00	0.00	0.28	0.99	0.00
1	5	0.00	0.00	0.36	0.80	0.00
2	2	0.00	0.00	0.23	1.09	0.00
2	6	0.00	0.00	1.21	0.74	0.00
3	3	0.00	0.00	0.29	0.79	0.00
3	7	0.00	0.00	0.34	0.54	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.47	0.95	0.00
0	0	0.00	0.00	0.28	1.09	0.00
0	4	0.00	0.00	0.36	1.08	0.00
1	1	0.00	0.00	0.82	0.78	0.00
1	5	0.00	0.01	0.89	0.78	0.00
2	2	0.00	0.00	0.37	1.09	0.00
2	6	0.00	0.03	0.57	1.37	0.00
3	3	0.00	0.00	0.29	0.60	0.00
3	7	0.00	0.00	0.19	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.46	0.95	0.00
0	0	0.00	0.00	0.25	0.88	0.00
0	4	0.00	0.00	0.50	0.98	0.00
1	1	0.00	0.00	0.39	1.19	0.00
1	5	0.00	0.00	0.27	0.89	0.00
2	2	0.00	0.00	0.22	0.99	0.00
2	6	0.00	0.02	1.25	0.80	0.00
3	3	0.00	0.00	0.38	1.09	0.00
3	7	0.00	0.00	0.43	0.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	0.51	1.12	0.00
0	0	0.00	0.00	0.56	1.98	0.00
0	4	0.00	0.00	0.74	0.99	0.00
1	1	0.00	0.01	0.14	1.08	0.00
1	5	0.00	0.02	0.20	0.98	0.00
2	2	0.00	0.00	0.20	0.88	0.00
2	6	0.01	0.05	0.73	0.57	0.00
3	3	0.03	0.01	0.61	0.80	0.00
3	7	0.00	0.03	0.87	1.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.56	0.77	0.00
0	0	0.00	0.00	0.46	0.59	0.00
0	4	0.00	0.00	0.14	0.59	0.00
1	1	0.00	0.02	0.89	0.79	0.00
1	5	0.00	0.00	0.20	0.90	0.00
2	2	0.00	0.00	0.44	1.09	0.00
2	6	0.00	0.01	1.13	0.70	0.00
3	3	0.00	0.03	0.89	0.40	0.00
3	7	0.00	0.00	0.29	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.47	0.94	0.00
0	0	0.00	0.00	0.22	0.70	0.00
0	4	0.00	0.00	0.19	0.79	0.00
1	1	0.00	0.00	0.38	0.88	0.00
1	5	0.00	0.00	0.36	1.08	0.00
2	2	0.00	0.00	0.30	1.19	0.00
2	6	0.00	0.02	1.38	0.81	0.00
3	3	0.00	0.00	0.38	1.09	0.00
3	7	0.00	0.00	0.58	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.36	1.11	0.00
0	0	0.00	0.00	0.20	0.30	0.00
0	4	0.00	0.00	0.36	0.98	0.00
1	1	0.00	0.00	0.24	1.08	0.00
1	5	0.00	0.02	0.28	1.19	0.00
2	2	0.00	0.00	0.47	1.49	0.00
2	6	0.00	0.02	0.56	1.00	0.00
3	3	0.00	0.00	0.22	1.19	0.00
3	7	0.00	0.00	0.58	1.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	2.05	3.32	0.00
0	0	0.00	0.00	0.22	0.30	0.00
0	4	0.00	0.00	1.10	11.92	0.00
1	1	0.00	0.00	0.45	1.89	0.00
1	5	0.00	0.00	11.85	7.35	0.00
2	2	0.00	0.00	0.34	1.31	0.00
2	6	0.00	0.02	0.57	1.10	0.00
3	3	0.00	0.00	0.45	0.81	0.00
3	7	0.00	0.01	1.39	1.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.61	0.89	0.00
0	0	0.00	0.00	0.28	0.99	0.00
0	4	0.00	0.00	0.26	0.89	0.00
1	1	0.00	0.00	1.02	0.40	0.00
1	5	0.00	0.02	0.89	0.79	0.00
2	2	0.00	0.00	0.75	1.09	0.00
2	6	0.00	0.03	1.12	0.59	0.00
3	3	0.00	0.00	0.33	1.19	0.00
3	7	0.00	0.00	0.19	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	0.29	0.75	0.09
0	0	0.00	0.00	0.25	0.78	0.00
0	4	0.00	0.00	0.23	0.69	0.00
1	1	0.00	0.00	0.10	1.00	0.00
1	5	0.00	0.00	0.28	0.99	0.00
2	2	0.00	0.00	0.36	0.58	0.00
2	6	0.00	0.44	0.44	0.00	0.71
