Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.11	12.38	0.78	0.00
0	0	0.00	0.87	95.93	0.00	0.00
0	4	0.00	0.02	0.10	0.40	0.00
1	1	0.00	0.00	0.20	0.90	0.00
1	5	0.00	0.00	0.19	0.99	0.00
2	2	0.00	0.00	0.45	0.99	0.00
2	6	0.00	0.00	0.35	1.09	0.00
3	3	0.00	0.00	1.00	1.08	0.00
3	7	0.00	0.01	0.80	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	12.51	0.66	0.00
0	0	0.00	0.50	97.24	0.00	0.00
0	4	0.00	0.00	0.46	0.40	0.00
1	1	0.00	0.00	0.74	0.69	0.00
1	5	0.00	0.00	0.21	0.50	0.00
2	2	0.00	0.01	0.20	1.18	0.00
2	6	0.00	0.00	0.20	1.19	0.00
3	3	0.00	0.00	0.58	0.65	0.00
3	7	0.00	0.00	0.45	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	12.49	0.88	0.00
0	0	0.00	0.26	97.47	0.00	0.00
0	4	0.00	0.00	0.10	0.60	0.00
1	1	0.00	0.00	0.78	1.09	0.00
1	5	0.00	0.00	0.27	0.89	0.00
2	2	0.00	0.00	0.44	1.68	0.00
2	6	0.00	0.00	0.14	0.99	0.00
3	3	0.00	0.02	0.39	0.72	0.00
3	7	0.00	0.00	0.30	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.04	12.16	0.71	0.00
0	0	0.00	0.35	93.96	0.00	0.00
0	4	0.00	0.00	0.50	0.00	0.00
1	1	0.00	0.00	0.22	0.89	0.00
1	5	0.00	0.00	0.63	0.70	0.00
2	2	0.00	0.00	0.34	1.28	0.00
2	6	0.00	0.00	0.57	1.09	0.00
3	3	0.00	0.00	0.26	0.96	0.00
3	7	0.00	0.00	0.83	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	12.56	0.88	0.00
0	0	0.00	0.43	97.27	0.00	0.00
0	4	0.00	0.00	0.98	0.79	0.00
1	1	0.00	0.01	0.36	1.09	0.00
1	5	0.00	0.00	0.35	0.79	0.00
2	2	0.00	0.00	0.32	1.09	0.00
2	6	0.00	0.02	0.59	0.99	0.00
3	3	0.00	0.00	0.19	1.32	0.00
3	7	0.00	0.00	0.39	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.09	12.34	0.70	0.00
0	0	0.00	0.69	96.14	0.00	0.00
0	4	0.00	0.00	0.13	0.40	0.00
1	1	0.00	0.00	0.50	0.00	0.00
1	5	0.00	0.00	0.10	1.09	0.00
2	2	0.00	0.00	0.43	0.99	0.00
2	6	0.00	0.00	0.37	0.99	0.00
3	3	0.00	0.00	0.24	1.38	0.00
3	7	0.00	0.02	0.79	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.04	12.67	1.09	0.00
0	0	0.00	0.31	97.43	0.00	0.00
0	4	0.00	0.00	0.96	1.19	0.00
1	1	0.00	0.00	0.84	1.39	0.00
1	5	0.00	0.00	0.23	1.39	0.00
2	2	0.00	0.01	0.29	1.09	0.00
2	6	0.00	0.00	0.10	1.13	0.00
3	3	0.00	0.00	0.29	1.48	0.00
3	7	0.00	0.00	1.25	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	12.48	0.87	0.00
0	0	0.00	0.46	97.27	0.00	0.00
0	4	0.00	0.00	0.50	0.00	0.00
1	1	0.00	0.00	0.29	1.09	0.00
1	5	0.00	0.00	0.28	1.19	0.00
2	2	0.00	0.06	0.14	1.58	0.00
2	6	0.00	0.00	0.24	0.89	0.00
3	3	0.00	0.02	0.32	1.00	0.00
3	7	0.00	0.00	0.79	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.10	12.58	0.76	0.00
0	0	0.00	0.79	96.89	0.00	0.00
0	4	0.00	0.00	0.95	0.79	0.00
1	1	0.00	0.00	0.63	0.10	0.00
1	5	0.00	0.01	0.78	0.10	0.00
2	2	0.00	0.00	0.44	1.88	0.00
2	6	0.00	0.00	0.28	1.33	0.00
3	3	0.00	0.00	0.56	0.89	0.00
3	7	0.00	0.00	0.15	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	12.07	0.82	0.00
0	0	0.03	0.53	93.81	0.00	0.00
0	4	0.00	0.00	0.20	0.98	0.00
1	1	0.00	0.00	0.48	0.79	0.00
1	5	0.00	0.00	0.36	0.99	0.00
2	2	0.00	0.00	0.84	0.89	0.00
2	6	0.00	0.00	0.23	0.91	0.00
3	3	0.00	0.00	0.29	1.29	0.00
3	7	0.00	0.00	0.39	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	12.79	1.28	0.00
0	0	0.00	0.52	97.06	0.00	0.00
0	4	0.00	0.04	2.72	1.29	0.00
1	1	0.00	0.01	0.30	0.70	0.00
1	5	0.00	0.00	0.23	0.30	0.00
2	2	0.00	0.02	0.37	1.39	0.00
2	6	0.00	0.00	0.46	4.20	0.00
3	3	0.00	0.01	1.03	1.10	0.00
3	7	0.00	0.00	0.14	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	12.47	0.66	0.00
0	0	0.01	0.51	96.10	0.00	0.00
0	4	0.00	0.00	0.19	0.68	0.00
1	1	0.00	0.00	0.36	0.89	0.00
1	5	0.00	0.07	0.31	1.69	0.00
2	2	0.00	0.00	1.05	0.41	0.00
2	6	0.00	0.01	0.79	0.34	0.00
3	3	0.00	0.01	0.60	0.59	0.00
3	7	0.00	0.00	0.37	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.10	12.71	1.33	0.00
0	0	0.00	0.54	96.98	0.00	0.00
0	4	0.00	0.04	1.25	0.21	0.00
1	1	0.00	0.00	0.10	0.99	0.00
1	5	0.07	0.15	0.48	3.19	0.00
2	2	0.00	0.02	0.35	1.29	0.00
2	6	0.00	0.00	0.44	2.76	0.00
3	3	0.00	0.05	1.50	0.69	0.00
3	7	0.00	0.00	0.59	1.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.05	12.48	1.02	0.00
0	0	0.00	0.38	96.51	0.00	0.00
0	4	0.00	0.02	0.80	0.79	0.00
1	1	0.00	0.00	0.25	1.09	0.00
1	5	0.04	0.00	0.36	1.49	0.00
2	2	0.00	0.00	0.26	1.20	0.00
2	6	0.00	0.00	0.59	0.89	0.00
3	3	0.00	0.00	0.71	1.64	0.00
3	7	0.00	0.00	0.35	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	12.80	4.34	0.00
0	0	0.00	0.16	97.70	0.00	0.00
0	4	0.00	0.00	0.50	0.10	0.00
1	1	0.03	0.28	1.21	29.34	0.00
1	5	0.00	0.00	0.36	0.89	0.00
2	2	0.00	0.00	1.13	1.28	0.00
2	6	0.00	0.00	0.73	1.18	0.00
3	3	0.00	0.01	0.46	0.82	0.00
3	7	0.00	0.00	0.30	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.04	12.18	0.65	0.00
0	0	0.00	0.26	94.19	0.00	0.00
0	4	0.00	0.00	0.53	0.00	0.00
1	1	0.00	0.05	0.90	0.20	0.00
1	5	0.00	0.00	0.87	0.89	0.00
2	2	0.00	0.00	0.24	1.09	0.00
2	6	0.00	0.00	0.28	0.89	0.00
3	3	0.00	0.00	0.26	1.07	0.00
3	7	0.00	0.00	0.13	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	12.73	0.98	0.00
0	0	0.00	0.42	97.27	0.00	0.00
0	4	0.00	0.00	1.08	0.89	0.00
1	1	0.00	0.02	0.55	1.38	0.00
1	5	0.00	0.02	0.25	1.39	0.00
2	2	0.00	0.00	0.91	1.58	0.00
2	6	0.00	0.01	0.90	0.49	0.00
3	3	0.00	0.00	0.29	1.23	0.00
3	7	0.00	0.00	0.57	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.06	12.53	0.84	0.04
0	0	0.05	0.42	97.17	0.00	0.00
0	4	0.00	0.02	0.50	0.00	0.00
1	1	0.00	0.01	0.31	0.99	0.00
1	5	0.00	0.04	0.84	1.26	0.00
2	2	0.00	0.02	0.45	0.79	0.00
2	6	0.00	0.00	0.35	0.99	0.00
3	3	0.00	0.00	0.50	1.59	0.36
3	7	0.00	0.00	0.10	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	12.50	1.00	0.00
0	0	0.00	0.46	96.57	0.00	0.00
0	4	0.00	0.00	0.28	0.48	0.00
1	1	0.00	0.04	0.71	1.48	0.00
1	5	0.07	0.07	0.57	1.39	0.00
2	2	0.00	0.00	0.88	0.30	0.00
2	6	0.00	0.00	0.20	1.18	0.00
3	3	0.00	0.00	0.37	2.12	0.00
3	7	0.00	0.00	0.45	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	12.53	0.71	0.00
0	0	0.00	0.20	97.58	0.00	0.00
0	4	0.00	0.00	0.50	0.00	0.00
1	1	0.00	0.00	0.50	1.19	0.00
1	5	0.00	0.00	0.27	0.89	0.00
2	2	0.00	0.00	0.25	0.89	0.00
2	6	0.00	0.00	0.48	1.19	0.00
3	3	0.00	0.01	0.39	0.73	0.00
3	7	0.00	0.00	0.29	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	12.51	0.76	0.00
0	0	0.00	0.20	97.64	0.00	0.00
0	4	0.00	0.00	0.28	0.60	0.00
1	1	0.00	0.03	0.51	0.60	0.00
1	5	0.00	0.00	0.00	0.60	0.00
2	2	0.00	0.00	0.28	1.08	0.00
2	6	0.00	0.00	0.27	1.08	0.00
3	3	0.00	0.00	0.25	1.36	0.00
3	7	0.00	0.00	0.83	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.08	12.17	0.95	0.00
0	0	0.02	0.43	93.71	0.00	0.00
