Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.74	71.61	15.96	0.00
0	0	0.10	0.70	76.21	11.83	0.00
0	4	0.12	0.60	71.94	18.01	0.00
1	1	0.02	0.42	72.01	17.51	0.00
1	5	0.05	0.50	70.53	20.18	0.00
2	2	0.07	0.68	71.39	18.28	0.00
2	6	0.01	0.43	70.14	20.35	0.00
3	3	0.01	0.67	77.75	11.96	0.00
3	7	0.01	1.91	63.66	9.73	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.67	71.28	16.83	0.00
0	0	0.01	0.46	74.13	14.90	0.00
0	4	0.01	0.55	75.26	15.25	0.00
1	1	0.00	0.45	71.45	18.28	0.00
1	5	0.00	0.38	69.50	21.42	0.00
2	2	0.01	0.57	68.91	20.89	0.00
2	6	0.00	0.54	68.71	22.03	0.00
3	3	0.00	0.53	77.96	11.86	0.00
3	7	0.01	1.89	63.67	9.83	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.66	71.72	16.32	0.00
0	0	0.00	0.54	77.46	11.42	0.00
0	4	0.00	0.46	73.96	16.77	0.00
1	1	0.00	0.27	73.86	16.07	0.00
1	5	0.00	0.34	70.34	20.53	0.00
2	2	0.02	0.62	68.46	21.35	0.00
2	6	0.01	0.48	67.88	22.90	0.00
3	3	0.00	0.60	77.76	12.02	0.00
3	7	0.01	1.95	64.03	9.48	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	0.70	71.32	16.63	0.00
0	0	0.00	0.46	75.24	13.67	0.00
0	4	0.00	0.52	73.19	17.48	0.00
1	1	0.01	0.54	70.63	19.16	0.00
1	5	0.00	0.47	68.05	22.82	0.00
2	2	0.01	0.58	69.98	19.82	0.00
2	6	0.01	0.47	69.08	21.71	0.00
3	3	0.01	0.49	78.38	11.51	0.00
3	7	0.40	2.07	65.97	6.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.66	69.64	16.40	0.00
0	0	0.00	0.74	72.19	15.90	0.00
0	4	0.01	0.60	71.69	17.09	0.00
1	1	0.01	0.39	73.68	13.96	0.00
1	5	0.00	0.39	67.84	20.34	0.00
2	2	0.01	0.52	66.39	21.58	0.00
2	6	0.01	0.44	66.32	21.99	0.00
3	3	0.00	0.41	75.83	12.09	0.00
3	7	0.01	1.84	63.83	8.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	0.66	71.21	16.69	0.00
0	0	0.00	0.56	74.71	13.90	0.00
0	4	0.01	0.57	72.46	18.09	0.00
1	1	0.01	0.37	71.75	17.99	0.00
1	5	0.00	0.37	70.07	20.79	0.00
2	2	0.01	0.52	69.08	20.75	0.00
2	6	0.00	0.52	69.06	21.67	0.00
3	3	0.01	0.48	78.73	11.09	0.00
3	7	1.27	1.86	63.20	9.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.72	71.49	16.32	0.00
0	0	0.01	0.44	76.52	12.38	0.00
0	4	0.00	0.60	73.48	17.05	0.00
1	1	0.00	0.40	74.38	15.58	0.00
1	5	0.30	0.32	70.29	20.30	0.00
2	2	0.01	0.64	67.26	21.75	0.00
2	6	0.00	0.46	67.68	23.11	0.00
3	3	0.00	0.51	78.47	11.35	0.00
3	7	0.01	2.40	63.78	9.06	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.69	71.92	16.08	0.00
0	0	0.00	0.41	76.90	12.05	0.00
0	4	0.00	0.64	72.97	17.59	0.00
1	1	0.00	0.39	74.87	15.07	0.00
1	5	0.00	0.35	71.00	19.86	0.00
2	2	0.01	0.66	69.14	20.62	0.00
2	6	0.00	0.49	68.28	22.51	0.00
3	3	0.00	0.52	77.25	12.56	0.00
3	7	0.01	2.03	65.01	8.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.44	16.57	0.00
0	0	0.00	0.55	73.84	15.06	0.00
0	4	0.00	0.53	71.59	19.09	0.00
1	1	0.01	0.38	72.87	17.09	0.00
1	5	0.00	0.43	70.04	20.65	0.00
2	2	0.01	0.57	71.16	18.67	0.00
2	6	0.01	0.48	69.90	20.89	0.00
3	3	0.01	0.58	78.15	11.58	0.00
3	7	0.00	1.88	63.91	9.54	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.00	68.50	17.30	0.00
0	0	0.01	2.71	71.01	14.85	0.00
0	4	0.00	0.37	70.57	18.84	0.00
1	1	0.00	0.43	68.82	19.17	0.00
1	5	0.00	0.44	68.46	21.69	0.00
2	2	0.01	0.40	67.31	21.79	0.00
2	6	0.00	0.44	65.67	23.98	0.00
3	3	0.00	0.61	76.20	11.95	0.00
3	7	0.05	2.58	60.55	6.27	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.68	71.94	16.16	0.00
0	0	0.01	0.50	73.89	15.05	0.00
0	4	0.00	0.47	72.77	18.03	0.00
1	1	0.01	0.35	74.94	14.98	0.00
1	5	0.00	0.47	70.49	20.35	0.00
2	2	0.00	0.63	70.21	19.59	0.00
2	6	0.01	0.42	69.04	21.82	0.00
3	3	0.00	0.48	79.17	10.81	0.00
3	7	0.01	2.13	64.76	8.62	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.74	71.42	16.26	0.00
0	0	0.00	0.46	76.04	12.73	0.00
0	4	0.00	0.55	73.72	16.95	0.00
1	1	0.01	0.42	72.99	16.28	0.00
1	5	0.00	0.41	71.07	18.90	0.00
2	2	0.01	0.58	71.01	18.55	0.00
2	6	0.01	0.45	67.82	22.91	0.00
3	3	0.00	0.50	75.15	14.33	0.00
3	7	0.01	2.58	63.66	9.43	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.69	71.31	16.78	0.00
0	0	0.00	0.53	72.30	16.75	0.00
0	4	0.00	0.55	74.04	16.53	0.00
1	1	0.01	0.35	74.93	14.73	0.00
1	5	0.00	0.55	69.02	21.66	0.00
2	2	0.01	0.72	70.03	19.72	0.00
2	6	0.01	0.40	68.85	22.01	0.00
3	3	0.00	0.41	76.77	13.27	0.00
3	7	0.01	2.02	64.09	9.44	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.68	71.28	16.71	0.00
0	0	0.01	0.50	74.44	14.54	0.00
0	4	0.00	0.53	72.11	18.50	0.00
1	1	0.01	0.46	73.85	15.84	0.00
1	5	0.00	0.43	70.34	20.52	0.00
2	2	0.01	0.54	68.20	21.69	0.00
2	6	0.01	0.47	68.19	22.62	0.00
3	3	0.00	0.57	79.28	10.65	0.00
3	7	0.00	1.97	64.05	9.41	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.06	68.70	17.23	0.00
0	0	0.00	2.15	68.79	17.07	0.00
0	4	0.00	0.61	67.77	21.12	0.00
1	1	0.00	0.44	72.29	15.58	0.00
1	5	0.00	0.50	67.30	21.56	0.00
2	2	0.01	0.50	67.71	19.76	0.00
2	6	0.01	0.42	67.97	20.30	0.00
3	3	0.01	0.47	75.42	13.15	0.00
3	7	0.01	3.40	62.15	9.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.76	70.92	16.65	0.00
0	0	0.01	0.59	75.15	13.53	0.00
0	4	0.01	0.54	73.24	16.36	0.00
1	1	0.01	0.72	70.42	18.45	0.00
1	5	0.00	0.47	69.75	21.09	0.00
2	2	0.01	0.60	69.65	19.96	0.00
2	6	0.05	0.76	67.92	22.03	0.00
3	3	0.00	0.51	76.68	13.19	0.00
3	7	0.30	1.90	64.53	8.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.70	71.84	16.14	0.00
0	0	0.00	0.50	74.34	14.56	0.00
0	4	0.00	0.59	72.03	18.51	0.00
1	1	0.01	0.45	74.09	15.78	0.00
1	5	0.00	0.49	70.21	20.55	0.00
2	2	0.01	0.58	70.10	19.78	0.00
2	6	0.00	0.44	69.72	21.07	0.00
3	3	0.00	0.53	79.48	10.41	0.00
3	7	0.01	2.06	64.84	8.46	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.77	70.82	16.69	0.00
0	0	0.00	0.35	73.48	15.49	0.00
0	4	0.00	0.60	72.82	17.29	0.00
1	1	0.00	0.50	70.53	19.20	0.00
1	5	0.00	0.40	70.22	19.92	0.00
2	2	0.00	0.76	69.99	18.70	0.00
2	6	0.01	0.57	68.05	21.96	0.00
3	3	0.00	0.51	77.99	11.98	0.00
3	7	0.01	2.49	64.03	9.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.66	71.47	16.65	0.00
0	0	0.00	0.38	76.00	13.05	0.00
0	4	0.00	0.62	74.84	15.69	0.00
1	1	0.00	0.51	74.53	15.21	0.00
1	5	0.00	0.38	67.84	23.11	0.00
2	2	0.01	0.59	67.95	21.94	0.00
2	6	0.01	0.50	67.76	23.04	0.00
3	3	0.00	0.40	77.89	12.15	0.00
3	7	0.01	1.88	64.61	8.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.72	71.24	16.77	0.00
0	0	0.00	0.53	70.93	18.09	0.00
0	4	0.00	0.67	74.45	15.80	0.00
1	1	0.00	0.45	72.02	17.86	0.00
1	5	0.01	0.48	69.64	21.20	0.00
2	2	0.01	0.60	69.58	20.25	0.00
2	6	0.00	0.48	69.24	21.53	0.00
3	3	0.00	0.48	79.35	10.61	0.00
3	7	0.01	2.05	64.70	8.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.76	69.08	16.73	0.00
0	0	0.00	0.92	69.50	16.33	0.00
0	4	0.00	0.57	72.12	16.35	0.00
1	1	0.00	0.40	70.02	17.78	0.00
1	5	0.00	0.42	69.12	19.77	0.00
2	2	0.01	0.47	67.71	20.21	0.00
2	6	0.01	0.49	66.27	22.42	0.00
3	3	0.00	0.50	75.27	12.41	0.00
3	7	0.00	2.28	62.93	8.68	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	71.41	16.70	0.00
0	0	0.01	0.46	74.87	14.05	0.00
0	4	0.01	0.56	71.61	19.08	0.00
1	1	0.00	0.49	72.67	17.19	0.00
1	5	0.00	0.36	69.34	21.54	0.00
2	2	0.01	0.51	70.66	19.12	0.00
2	6	0.01	0.48	69.21	21.52	0.00
3	3	0.00	0.52	78.37	11.61	0.00
3	7	0.01	2.00	64.16	9.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.77	71.83	16.16	0.00
0	0	0.00	0.43	76.66	12.45	0.00
0	4	0.00	0.50	73.30	17.33	0.00
1	1	0.00	0.41	73.32	16.57	0.00
1	5	0.00	0.38	69.46	21.39	0.00
2	2	0.01	1.29	69.06	19.95	0.00
2	6	0.01	0.47	68.11	22.66	0.00
3	3	0.00	0.40	79.36	10.62	0.00
3	7	0.01	2.27	65.14	8.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	71.36	16.67	0.00
0	0	0.00	0.48	74.02	15.05	0.00
0	4	0.01	0.57	72.59	18.08	0.00
1	1	0.01	0.45	72.80	17.13	0.00
1	5	0.00	0.41	69.93	20.87	0.00
2	2	0.01	0.54	69.45	20.39	0.00
2	6	0.00	0.48	68.11	22.67	0.00
3	3	0.00	0.45	78.32	11.69	0.00
3	7	0.01	1.99	65.95	7.55	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	72.21	15.88	0.00
0	0	0.00	0.42	76.00	13.07	0.00
0	4	0.00	0.54	72.29	18.39	0.00
1	1	0.00	0.48	72.45	17.49	0.00
1	5	0.01	0.37	71.82	18.95	0.00
2	2	0.01	0.42	69.69	20.18	0.00
2	6	0.00	0.54	69.27	21.52	0.00
3	3	0.00	0.56	80.16	9.75	0.00
3	7	0.01	2.08	65.89	7.63	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.15	68.78	17.36	0.00
0	0	0.01	2.57	71.58	14.16	0.00
0	4	0.00	0.59	70.64	18.89	0.00
1	1	0.01	0.46	72.01	16.11	0.00
1	5	0.00	0.40	66.53	22.39	0.00
2	2	0.01	0.50	66.20	22.79	0.00
2	6	0.01	0.46	65.74	23.11	0.00
3	3	0.00	0.44	75.74	12.25	0.00
3	7	0.01	3.78	62.21	9.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	71.35	16.73	0.00
0	0	0.01	0.42	73.92	15.10	0.00
0	4	0.00	0.65	75.49	14.68	0.00
1	1	0.00	0.46	71.06	18.62	0.00
1	5	0.01	0.42	68.74	22.18	0.00
2	2	0.01	0.47	70.49	19.39	0.00
2	6	0.00	0.51	68.92	21.88	0.00
3	3	0.00	0.51	78.15	11.81	0.00
3	7	0.01	1.88	63.57	10.04	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.77	70.92	16.80	0.00
0	0	0.01	0.31	75.41	13.84	0.00
0	4	0.00	0.67	73.44	16.80	0.00
