Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.66	20.59	21.84	0.01
0	0	0.01	0.33	25.03	10.89	0.02
0	4	0.00	0.17	22.25	27.47	0.00
1	1	0.92	19.13	11.09	7.22	0.05
1	5	0.43	8.72	18.78	26.24	0.00
2	2	0.00	0.17	21.62	32.96	0.00
2	6	0.00	0.20	20.94	25.45	0.00
3	3	0.00	0.31	24.50	21.73	0.00
3	7	0.00	0.19	20.52	22.76	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.19	2.02	26.38	23.58	0.08
0	0	0.01	0.53	36.08	12.43	0.51
0	4	0.01	0.23	27.25	35.40	0.00
1	1	0.01	0.26	28.81	33.47	0.00
1	5	0.01	0.29	30.30	26.64	0.00
2	2	0.38	4.23	22.89	18.93	0.00
2	6	0.40	6.59	16.80	21.11	0.12
3	3	0.68	3.17	23.33	18.63	0.00
3	7	0.06	0.87	25.69	22.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.68	20.03	21.15	0.16
0	0	0.00	0.60	31.30	10.28	1.21
0	4	0.14	0.28	21.84	24.90	0.00
1	1	0.00	0.44	19.78	20.17	0.00
1	5	0.00	0.31	18.82	24.04	0.00
2	2	0.09	1.83	21.31	33.20	0.04
2	6	0.77	25.47	4.49	0.00	0.07
3	3	0.00	0.24	23.16	31.99	0.00
3	7	0.11	0.28	19.80	24.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.24	3.52	20.10	22.67	0.07
0	0	0.01	0.59	31.94	30.06	0.09
0	4	0.01	0.17	21.93	21.98	0.00
1	1	0.79	0.22	18.54	25.70	0.00
1	5	0.14	4.48	18.47	30.39	0.00
2	2	0.78	19.91	7.36	6.15	0.46
2	6	0.17	2.31	20.80	21.11	0.00
3	3	0.00	0.24	20.93	23.46	0.00
3	7	0.00	0.20	20.55	22.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.19	3.53	22.58	21.19	0.19
0	0	0.11	0.41	29.52	6.85	1.29
0	4	0.01	0.21	23.60	32.60	0.00
1	1	0.00	0.28	25.10	19.82	0.00
1	5	0.00	0.23	22.49	22.07	0.00
2	2	0.55	7.84	18.93	26.15	0.00
2	6	0.82	18.78	13.00	7.95	0.20
3	3	0.00	0.27	25.03	26.87	0.00
3	7	0.00	0.24	22.95	27.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.91	21.72	22.96	0.16
0	0	0.02	1.64	32.34	8.36	1.21
0	4	0.00	0.18	23.23	19.03	0.00
1	1	0.45	13.60	15.05	12.10	0.00
1	5	0.00	0.19	22.24	41.35	0.00
2	2	0.17	3.87	18.15	19.83	0.00
2	6	0.29	11.47	16.38	30.33	0.07
3	3	0.00	0.20	23.92	27.63	0.00
3	7	0.00	0.11	22.40	25.04	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	2.90	15.37	16.59	0.00
0	0	0.00	1.55	20.84	9.29	0.00
0	4	0.00	4.52	14.61	19.08	0.00
1	1	0.70	15.74	6.26	5.61	0.00
1	5	0.00	0.14	16.47	20.82	0.00
2	2	0.00	0.93	15.10	23.21	0.00
2	6	0.59	0.07	17.07	19.61	0.00
3	3	0.00	0.12	16.19	18.58	0.00
3	7	0.00	0.13	16.38	16.51	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.37	21.15	23.33	0.00
0	0	0.01	0.43	31.69	9.64	0.01
0	4	0.00	0.31	21.38	22.47	0.00
1	1	0.24	3.77	20.52	26.43	0.00
1	5	0.70	11.82	16.16	14.51	0.00
2	2	0.00	0.22	22.04	36.04	0.00
2	6	0.35	9.84	14.29	22.33	0.00
3	3	0.00	0.31	22.31	24.40	0.00
3	7	0.00	0.26	20.82	30.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.53	21.15	23.48	0.00
0	0	0.00	0.49	32.23	11.52	0.00
0	4	0.00	0.10	21.01	24.74	0.00
1	1	0.00	0.11	22.38	31.31	0.00
1	5	0.14	0.15	19.41	43.47	0.00
2	2	0.65	13.81	14.00	16.45	0.00
2	6	0.55	13.16	13.00	13.79	0.00
3	3	0.00	0.19	23.72	21.99	0.00
3	7	0.00	0.19	23.48	24.55	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.68	22.86	23.03	0.14
0	0	0.01	1.61	33.33	8.16	0.01
0	4	0.01	3.88	21.53	15.12	0.00
1	1	0.21	5.74	21.12	25.44	0.00
1	5	0.09	1.22	22.17	34.48	0.00
2	2	0.00	0.21	26.11	34.46	0.00
2	6	0.49	14.38	14.10	12.67	0.00
3	3	0.05	1.40	22.82	24.60	0.00
3	7	0.10	1.01	21.69	29.29	1.11
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.64	22.13	21.89	0.16
0	0	0.16	0.66	32.49	10.60	1.26
0	4	0.00	0.19	24.07	45.74	0.00
1	1	0.11	3.78	20.69	16.21	0.00
1	5	0.00	0.23	21.37	21.82	0.00
2	2	0.74	11.94	15.86	11.79	0.00
2	6	0.37	11.65	15.16	15.83	0.00
3	3	0.00	0.44	25.50	29.53	0.00
3	7	0.00	0.25	22.19	23.84	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	2.61	15.97	16.82	0.00
0	0	0.01	0.34	24.20	10.89	0.00
0	4	0.00	0.09	16.02	21.01	0.00
1	1	0.72	15.54	6.31	5.04	0.00
1	5	0.00	0.10	18.88	18.42	0.00
2	2	0.11	4.48	13.15	12.60	0.00
2	6	0.00	0.11	17.07	23.07	0.00
3	3	0.01	0.07	16.41	16.44	0.00
3	7	0.00	0.12	15.57	26.94	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	3.66	20.67	22.34	0.20
0	0	0.00	0.55	29.53	13.33	0.00
0	4	0.00	0.17	20.80	29.46	0.00
1	1	0.07	0.69	21.92	25.47	1.30
1	5	0.00	1.35	23.03	24.71	0.00
2	2	0.01	0.88	19.81	21.39	0.00
2	6	0.13	0.06	19.51	22.73	0.00
3	3	0.42	5.99	20.29	34.77	0.33
3	7	0.59	19.58	10.46	6.87	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.18	3.71	22.51	22.88	0.00
0	0	0.00	0.51	32.86	14.44	0.00
0	4	0.00	0.16	22.32	47.58	0.00
1	1	0.00	0.25	23.88	21.93	0.00
1	5	0.13	0.19	22.09	25.87	0.00
2	2	0.40	5.60	21.61	19.01	0.00
2	6	0.02	3.65	22.48	25.40	0.00
3	3	0.35	8.16	19.74	17.33	0.00
3	7	0.55	11.18	15.07	11.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.23	3.41	22.81	24.08	0.08
0	0	0.01	0.53	35.30	18.71	0.00
0	4	0.00	0.21	25.62	22.17	0.58
1	1	0.04	0.19	24.47	24.03	0.00
1	5	0.11	0.25	23.33	28.00	0.00
2	2	0.09	4.09	18.93	23.26	0.00
2	6	0.00	0.07	22.96	48.21	0.00
3	3	0.54	8.43	16.21	15.53	0.06
3	7	1.03	13.54	15.61	12.72	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.20	3.63	21.52	24.66	0.12
0	0	0.18	1.83	31.15	13.56	0.00
0	4	0.00	0.33	22.51	22.38	0.00
1	1	0.36	8.00	17.22	24.06	0.47
1	5	0.14	0.26	23.07	42.02	0.00
2	2	0.31	6.55	18.78	29.10	0.00
2	6	0.40	7.04	18.41	25.00	0.00
3	3	0.06	2.45	21.52	21.36	0.48
3	7	0.16	2.63	19.90	20.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	2.85	14.30	17.43	0.00
0	0	0.01	0.35	23.25	12.72	0.00
0	4	0.00	0.10	14.27	18.65	0.00
1	1	0.01	0.10	13.26	17.68	0.00
