Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.45	4.01	54.87	11.54	0.04
0	0	0.95	4.76	58.48	7.89	0.04
0	4	0.37	3.07	54.23	17.03	0.26
1	1	0.68	3.95	57.53	13.50	0.00
1	5	0.57	4.79	54.36	10.14	0.00
2	2	0.51	3.88	50.74	10.82	0.01
2	6	0.08	3.79	52.60	10.83	0.00
3	3	0.19	3.36	56.54	12.75	0.00
3	7	0.27	4.52	55.26	9.53	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.48	6.96	49.44	11.01	0.25
0	0	0.44	7.75	54.29	6.80	0.00
0	4	0.47	6.34	48.88	8.73	0.00
1	1	0.44	6.91	53.06	9.64	0.00
1	5	0.28	6.68	51.53	13.41	0.00
2	2	0.85	8.74	40.98	8.23	1.86
2	6	0.43	6.17	49.55	15.71	0.00
3	3	0.75	7.42	53.76	10.66	0.10
3	7	0.21	5.62	43.14	14.83	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.44	7.77	50.62	10.17	0.04
0	0	0.58	8.71	51.03	9.13	0.00
0	4	0.13	6.90	53.82	9.48	0.00
1	1	0.33	6.54	53.37	10.69	0.01
1	5	0.71	7.90	49.46	9.59	0.03
2	2	0.77	11.49	43.44	7.37	0.29
2	6	0.42	6.05	51.65	10.91	0.03
3	3	0.44	7.76	53.00	9.40	0.00
3	7	0.15	6.79	48.81	14.72	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.62	8.47	49.81	10.16	0.03
0	0	0.80	8.37	45.53	13.83	0.00
0	4	0.67	8.34	50.17	11.67	0.00
1	1	0.36	7.91	51.46	10.20	0.02
1	5	0.58	6.58	49.20	11.97	0.00
2	2	0.90	11.72	38.36	9.32	0.17
2	6	0.52	7.82	53.29	9.80	0.00
3	3	0.48	8.59	53.18	8.76	0.01
3	7	0.66	8.48	57.34	5.76	0.03
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.57	8.81	50.68	8.77	0.01
0	0	0.84	8.00	49.31	10.41	0.00
0	4	0.39	8.33	55.19	7.91	0.00
1	1	0.60	8.44	54.91	6.65	0.00
1	5	0.43	7.99	50.82	12.20	0.00
2	2	0.77	12.10	42.24	7.74	0.08
2	6	0.68	9.34	49.03	7.96	0.00
3	3	0.33	8.30	48.55	11.44	0.00
3	7	0.51	8.03	55.53	5.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.46	8.00	49.70	12.14	0.06
0	0	0.51	9.49	51.56	9.20	0.00
0	4	0.16	6.82	52.94	13.67	0.00
1	1	0.71	7.46	50.86	15.45	0.00
1	5	0.28	7.15	50.56	14.33	0.39
2	2	1.04	11.65	41.22	9.93	0.06
2	6	0.37	6.83	48.11	14.42	0.00
3	3	0.24	7.24	48.64	16.45	0.00
3	7	0.36	7.31	53.60	3.64	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.84	10.29	50.19	6.32	0.06
0	0	1.08	10.81	49.24	5.49	0.00
0	4	0.75	10.42	49.84	5.67	0.00
1	1	0.69	9.56	50.74	5.57	0.00
1	5	0.64	9.27	51.81	7.21	0.15
2	2	1.16	13.96	39.03	5.72	0.32
2	6	0.58	9.32	55.87	5.54	0.00
3	3	0.84	9.71	51.60	7.48	0.00
3	7	0.99	9.21	53.19	7.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.87	10.29	49.95	6.11	0.03
0	0	1.10	11.34	47.00	7.66	0.00
0	4	0.67	9.88	51.64	7.24	0.00
1	1	0.71	9.59	49.49	6.36	0.08
1	5	0.89	10.39	53.60	4.85	0.00
2	2	1.13	14.13	41.22	4.05	0.06
2	6	0.77	9.72	52.16	6.07	0.13
3	3	0.79	9.22	53.07	4.45	0.00
3	7	0.89	8.16	51.81	8.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.98	12.36	47.90	3.79	0.12
0	0	1.14	13.16	44.18	3.59	0.00
0	4	0.51	11.92	50.63	4.10	0.01
1	1	0.82	12.33	50.33	3.83	0.00
1	5	1.00	11.44	47.91	3.46	0.01
2	2	1.60	15.09	38.60	3.38	0.92
2	6	0.89	11.40	51.55	4.15	0.00
3	3	0.89	10.84	46.58	5.55	0.00
3	7	0.99	12.62	53.04	2.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.15	13.82	46.66	2.20	0.03
0	0	1.00	15.70	43.71	1.38	0.00
0	4	0.70	13.07	50.53	1.75	0.00
1	1	1.28	12.43	47.84	2.40	0.00
1	5	0.62	12.50	50.62	2.10	0.00
2	2	1.81	17.19	37.10	1.61	0.18
2	6	1.35	12.75	50.92	2.34	0.00
3	3	1.21	13.60	45.31	2.83	0.09
3	7	1.26	13.30	47.26	3.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.26	13.29	47.32	2.11	0.00
0	0	1.32	15.61	43.11	1.20	0.00
0	4	0.78	13.16	49.95	2.27	0.00
1	1	1.28	12.64	49.58	1.35	0.00
1	5	2.08	12.33	47.25	2.30	0.00
2	2	1.33	16.25	41.11	1.08	0.00
2	6	1.32	12.05	48.23	3.89	0.00
3	3	1.00	12.64	48.03	2.82	0.00
3	7	0.97	11.67	51.36	1.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.43	14.79	43.60	2.30	0.01
0	0	2.66	17.08	36.61	1.49	0.00
0	4	0.65	12.67	49.27	3.77	0.00
1	1	1.24	13.83	46.34	2.39	0.00
1	5	1.46	14.79	44.11	2.72	0.00
2	2	1.90	16.62	35.88	1.90	0.05
2	6	1.27	13.16	46.00	2.54	0.00
3	3	1.21	15.24	44.11	1.27	0.00
3	7	1.08	14.88	46.47	2.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.10	15.09	44.62	1.86	0.01
0	0	1.79	15.77	35.68	0.93	0.00
0	4	0.55	13.87	46.86	3.65	0.00
1	1	0.81	15.07	45.98	2.26	0.00
1	5	0.98	14.40	48.37	1.98	0.00
2	2	1.61	17.08	38.30	1.46	0.07
2	6	1.01	15.38	48.34	1.21	0.00
3	3	1.55	15.02	45.32	1.64	0.00
3	7	0.46	14.16	48.11	1.73	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.48	15.51	42.01	1.52	0.00
0	0	1.78	17.80	33.91	0.15	0.00
0	4	1.10	14.94	44.18	2.55	0.00
1	1	1.53	15.23	43.38	0.50	0.00
1	5	1.80	13.42	43.90	3.46	0.00
2	2	1.73	17.62	37.97	0.29	0.00
2	6	1.24	14.15	45.59	1.59	0.00
3	3	1.32	15.31	42.92	2.81	0.00
3	7	1.37	15.59	44.22	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.73	15.65	42.31	1.31	0.04
0	0	2.22	19.59	33.41	0.39	0.00
0	4	1.09	12.87	48.53	1.96	0.00
1	1	2.16	14.86	44.58	1.25	0.00
1	5	1.94	16.10	42.29	1.35	0.00
2	2	1.79	15.28	43.07	1.10	0.34
2	6	1.92	14.96	41.54	1.23	0.00
3	3	1.67	15.32	41.31	1.38	0.00
3	7	1.09	16.29	43.77	1.83	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.69	15.06	42.17	1.79	0.00
0	0	2.37	18.80	33.03	0.65	0.00
0	4	0.98	12.88	46.67	1.44	0.00
1	1	1.98	13.92	43.94	3.44	0.00
1	5	1.65	15.06	42.12	1.67	0.00
2	2	1.46	15.52	42.83	1.29	0.00
2	6	1.79	16.31	42.89	1.49	0.00
3	3	1.71	13.42	44.76	2.96	0.00
3	7	1.59	14.58	41.13	1.41	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	7.74	14.10	32.45	0.64	0.00
0	0	12.36	15.59	19.60	0.07	0.00
0	4	7.43	13.62	35.70	0.35	0.00
1	1	6.77	14.56	36.10	0.72	0.00
1	5	7.59	12.53	30.94	0.94	0.00
2	2	7.34	14.92	33.28	0.57	0.00
2	6	7.22	13.35	35.12	0.64	0.00
3	3	7.97	13.81	29.66	1.43	0.00
3	7	5.27	14.38	39.16	0.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.76	15.41	40.71	2.19	0.03
0	0	2.71	17.28	29.66	1.31	0.00
0	4	1.22	13.45	46.12	3.82	0.00
1	1	1.95	16.17	41.36	1.27	0.00
1	5	1.70	14.57	44.51	2.34	0.00
2	2	2.00	14.56	40.50	3.39	0.26
2	6	1.60	16.42	40.38	1.80	0.00
3	3	1.22	14.31	45.66	2.60	0.00
3	7	1.66	16.52	37.42	0.95	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.71	14.13	38.58	5.10	0.06
0	0	2.16	17.23	28.97	7.69	0.00
0	4	1.80	13.22	42.35	6.92	0.00
1	1	1.83	13.28	40.62	2.70	0.00
1	5	1.23	12.66	41.40	8.29	0.50
2	2	1.35	13.69	39.04	0.75	0.00
2	6	1.49	14.04	41.87	6.53	0.00
3	3	1.81	14.93	35.60	1.48	0.00
3	7	2.02	13.97	38.77	6.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.38	14.02	39.13	2.62	0.00
0	0	5.30	16.56	25.54	1.89	0.00
0	4	2.93	12.45	43.86	4.84	0.00
1	1	2.37	14.12	42.25	2.55	0.00
1	5	3.25	13.65	41.89	1.67	0.00
2	2	3.05	16.03	35.67	0.62	0.00
2	6	3.09	12.74	45.56	2.85	0.00
3	3	3.29	13.29	39.35	3.26	0.00
3	7	3.75	13.34	38.98	3.31	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.03	15.66	40.79	1.30	0.00
0	0	3.22	18.64	28.30	0.19	0.00
0	4	1.61	12.63	45.92	0.95	0.00
1	1	2.03	15.81	41.98	0.90	0.00
1	5	1.71	14.30	43.86	2.27	0.00
2	2	2.18	15.96	41.03	1.67	0.00
2	6	1.78	16.15	41.95	0.92	0.00
3	3	1.77	14.15	42.44	1.91	0.00
3	7	1.92	17.62	40.85	1.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.86	13.48	44.47	2.58	0.00
0	0	2.93	16.21	36.42	0.67	0.00
0	4	1.66	12.47	45.32	3.81	0.01
1	1	2.39	13.95	45.56	2.51	0.00
1	5	1.64	13.13	45.07	3.58	0.00
2	2	1.69	12.57	47.95	1.31	0.00
2	6	1.42	12.43	42.59	5.15	0.00
3	3	1.73	14.34	43.15	1.96	0.00
3	7	1.40	12.70	49.73	1.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.87	6.26	53.37	8.15	0.25
0	0	1.60	7.43	52.96	5.65	0.00
0	4	0.54	4.56	45.83	13.72	0.00
1	1	0.87	7.19	56.38	4.86	0.00
1	5	0.70	5.21	55.55	13.26	0.80
2	2	0.68	5.94	54.71	9.38	0.00
2	6	1.25	5.99	52.33	7.85	1.19
3	3	0.80	7.20	55.04	5.43	0.00
3	7	0.57	6.61	54.48	5.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.81	7.43	54.23	6.95	0.01
0	0	1.28	9.44	53.69	3.76	0.00
0	4	0.29	5.45	51.00	8.72	0.00
1	1	1.14	7.11	55.64	7.91	0.00
1	5	1.13	7.28	53.28	5.39	0.00
2	2	0.61	8.06	55.78	7.05	0.04
2	6	0.54	6.99	54.69	7.77	0.00
3	3	0.76	7.36	54.59	8.75	0.00
3	7	0.76	7.80	55.25	6.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.88	8.21	55.50	5.75	0.00
0	0	1.18	9.97	50.56	2.73	0.00
0	4	0.80	6.21	55.34	11.26	0.00
1	1	1.12	8.28	57.17	4.62	0.00
1	5	0.97	8.41	56.22	5.18	0.00
2	2	0.71	8.01	57.86	6.59	0.00
2	6	0.32	8.01	53.86	4.49	0.00
3	3	0.60	8.46	58.80	4.41	0.00
3	7	1.30	8.31	54.09	6.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.87	9.11	55.28	4.35	0.00
0	0	1.13	10.32	52.39	2.93	0.00
0	4	0.63	7.44	51.60	6.76	0.00
1	1	0.77	9.38	56.86	3.50	0.00
1	5	1.07	8.80	54.63	4.25	0.00
2	2	0.50	9.97	55.40	5.50	0.00
2	6	1.11	10.29	56.61	3.70	0.00
3	3	1.31	8.16	59.49	2.75	0.00
3	7	0.43	8.46	55.07	5.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.83	8.79	55.18	5.22	0.00
0	0	1.17	10.83	49.78	4.46	0.00
0	4	0.41	8.05	56.81	6.24	0.00
1	1	1.01	8.65	54.53	5.84	0.00
1	5	0.68	7.28	54.94	8.20	0.00
2	2	0.99	8.46	57.44	2.91	0.00
2	6	0.62	9.48	56.24	4.90	0.00
3	3	0.83	8.46	59.15	5.57	0.00
3	7	0.96	9.16	53.29	3.73	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.41	8.04	47.93	10.50	0.00
0	0	2.05	9.49	44.28	13.99	0.00
0	4	1.29	7.88	50.86	11.58	0.00
1	1	1.46	7.46	44.52	4.71	0.00
1	5	1.01	7.95	51.99	13.07	0.00
2	2	1.97	7.80	46.54	5.32	0.00
2	6	0.86	7.18	50.39	14.22	0.01
3	3	1.35	8.42	46.87	15.09	0.00
3	7	1.24	8.04	47.24	5.87	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.77	7.39	53.94	7.30	0.00
0	0	0.92	8.25	52.45	3.86	0.00
0	4	0.90	7.29	53.85	5.42	0.03
1	1	0.71	7.45	55.14	7.61	0.00
1	5	0.85	6.86	53.19	7.45	0.00
2	2	0.96	7.60	55.53	6.35	0.00
2	6	0.49	6.70	49.57	14.81	0.00
3	3	0.79	8.44	56.08	5.06	0.00
3	7	0.57	6.54	56.01	7.87	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.72	5.23	53.66	9.47	0.08
0	0	0.83	6.18	58.76	5.25	0.12
0	4	0.30	4.40	53.06	12.58	0.00
1	1	0.81	5.61	53.83	7.32	0.00
1	5	0.95	5.08	51.61	6.83	0.00
2	2	0.72	4.96	52.11	9.97	0.00
2	6	0.53	5.28	57.44	10.55	0.00
3	3	1.34	4.83	51.63	11.40	0.00
3	7	0.26	5.51	51.27	11.93	0.53
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.91	5.20	52.46	9.19	0.20
0	0	1.11	5.53	54.17	8.38	0.00
0	4	0.61	4.28	48.99	13.80	0.00
1	1	0.59	5.31	55.64	7.98	0.01
1	5	0.78	4.70	54.99	7.15	0.71
2	2	1.48	5.42	51.41	9.28	0.00
2	6	1.10	5.34	51.24	12.49	0.00
3	3	0.80	6.24	53.11	5.54	0.00
3	7	0.82	4.73	49.47	8.78	0.90
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.84	6.63	53.20	6.86	0.02
0	0	0.71	8.77	53.13	4.15	0.00
0	4	0.77	5.32	53.54	12.82	0.00
1	1	0.61	5.90	49.84	7.12	0.00
1	5	1.08	6.05	54.12	8.52	0.00
2	2	1.36	7.70	54.50	5.05	0.16
2	6	0.72	5.93	51.89	6.18	0.00
3	3	0.97	7.91	55.69	4.83	0.00
3	7	0.49	5.43	52.86	6.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.93	6.27	53.68	7.49	0.00
0	0	1.25	7.58	50.66	6.94	0.00
0	4	0.45	5.38	51.44	9.28	0.00
1	1	1.30	6.48	54.74	4.30	0.00
1	5	0.75	5.74	55.43	7.23	0.00
2	2	0.74	6.51	56.52	7.13	0.00
2	6	0.74	5.79	52.39	7.45	0.00
3	3	1.13	6.17	54.34	12.36	0.00
3	7	1.09	6.51	54.24	5.31	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.80	5.55	54.95	9.04	0.05
0	0	1.47	6.29	51.79	8.98	0.30
0	4	0.61	5.34	56.73	8.68	0.00
1	1	1.26	6.29	53.21	7.74	0.00
1	5	0.51	4.64	56.91	6.96	0.00
2	2	0.37	4.80	54.36	10.28	0.00
2	6	0.87	5.20	56.53	8.04	0.00
3	3	0.73	5.14	54.23	13.05	0.00
3	7	0.56	6.67	55.63	8.52	0.11
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.64	6.35	46.33	13.80	0.13
0	0	1.86	8.27	46.52	14.72	0.01
0	4	1.46	6.78	43.27	16.81	0.54
1	1	1.94	5.94	46.52	12.66	0.01
1	5	2.13	5.66	44.39	17.44	0.00
2	2	1.54	6.34	50.83	12.62	0.50
2	6	1.99	6.12	41.95	6.53	0.00
3	3	0.88	6.71	47.61	13.64	0.00
3	7	1.33	4.98	49.69	16.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.54	6.42	54.18	7.76	0.05
0	0	0.67	7.06	56.04	6.59	0.00
0	4	0.67	6.28	56.59	5.76	0.00
1	1	0.38	6.85	49.88	5.84	0.00
1	5	0.47	5.96	54.58	9.43	0.00
2	2	0.58	7.22	54.88	7.55	0.11
2	6	0.42	5.41	49.55	11.06	0.20
3	3	0.40	5.77	57.71	5.64	0.08
3	7	0.72	6.81	54.07	10.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.53	5.98	53.91	8.14	0.08
0	0	0.60	7.67	55.59	7.42	0.00
0	4	0.40	4.95	55.50	9.27	0.00
1	1	0.48	4.78	54.09	8.35	0.00
1	5	0.49	6.16	54.95	7.75	0.01
2	2	0.46	6.96	50.56	6.96	0.54
2	6	0.61	5.34	56.73	11.47	0.00
3	3	0.60	6.63	52.15	5.17	0.08
3	7	0.62	5.36	51.62	8.76	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.61	7.89	52.59	8.66	0.02
0	0	0.92	7.80	52.27	7.07	0.00
0	4	0.98	7.21	52.50	7.17	0.00
1	1	0.17	7.48	53.25	9.89	0.00
1	5	0.54	7.43	57.62	8.63	0.00
2	2	0.77	11.82	47.80	6.00	0.14
2	6	0.29	7.07	54.39	10.63	0.00
3	3	0.29	7.39	52.42	8.97	0.00
3	7	0.90	6.89	50.39	10.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.63	8.12	51.59	9.02	0.03
0	0	0.97	9.58	51.56	3.26	0.01
0	4	0.48	7.23	53.44	10.85	0.00
1	1	0.51	7.17	50.32	11.75	0.00
1	5	0.61	7.36	57.39	8.16	0.21
2	2	0.76	12.60	47.53	5.96	0.04
2	6	0.92	7.29	51.41	8.70	0.00
3	3	0.38	6.89	51.46	12.69	0.00
3	7	0.43	6.88	50.00	10.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.63	7.97	53.64	8.80	0.05
0	0	1.05	9.03	53.89	6.64	0.00
0	4	0.45	6.10	52.35	10.55	0.00
1	1	1.10	7.58	57.04	9.77	0.00
1	5	0.61	7.98	54.51	7.96	0.00
2	2	0.64	10.50	50.41	5.55	0.35
2	6	0.34	7.64	51.56	10.87	0.00
3	3	0.22	6.48	55.46	10.38	0.00
3	7	0.63	8.39	53.66	8.61	0.05
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.54	8.06	53.32	8.73	0.03
0	0	0.86	9.47	57.37	5.14	0.00
0	4	0.70	7.28	58.91	6.15	0.00
1	1	0.35	8.51	56.06	5.87	0.00
1	5	0.16	7.15	49.48	10.35	0.08
2	2	0.79	10.83	45.94	7.16	0.15
2	6	0.49	6.66	55.02	10.95	0.01
3	3	0.61	7.89	49.03	12.84	0.00
3	7	0.38	6.73	54.78	11.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.00	7.70	46.31	16.30	0.01
0	0	1.50	8.40	43.11	18.61	0.00
0	4	0.70	6.24	46.06	20.83	0.00
1	1	0.99	6.44	47.06	18.99	0.00
1	5	0.89	7.39	46.79	20.20	0.00
2	2	0.95	10.18	48.29	10.79	0.05
2	6	0.77	7.99	51.51	15.68	0.00
3	3	1.39	7.52	44.19	19.53	0.00
3	7	0.83	7.44	43.34	5.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.57	8.10	53.92	8.45	0.04
0	0	0.84	7.67	59.21	7.86	0.00
0	4	0.38	7.29	58.36	8.31	0.00
1	1	0.69	8.71	54.19	8.90	0.00
1	5	0.79	6.94	51.14	9.48	0.00
2	2	0.85	11.51	48.24	5.60	0.25
2	6	0.54	7.72	52.55	9.02	0.05
3	3	0.14	7.36	53.65	8.32	0.01
3	7	0.34	7.58	54.09	10.16	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.65	8.30	53.45	7.03	0.00
0	0	1.04	8.84	50.28	7.07	0.00
0	4	0.35	7.73	52.04	8.76	0.00
1	1	0.93	7.80	55.76	8.16	0.00
1	5	0.33	7.15	56.31	6.26	0.02
2	2	0.64	11.80	47.66	5.03	0.01
2	6	0.61	8.01	57.51	5.95	0.00
3	3	0.73	6.87	56.07	8.16	0.00
3	7	0.59	8.27	52.42	6.87	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.96	8.51	51.54	8.80	0.12
0	0	0.97	8.45	47.24	12.43	0.00
0	4	0.56	7.94	53.88	8.56	0.00
