Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.24	0.96	0.65	0.00
0	0	0.00	0.03	0.93	0.79	0.00
0	4	0.00	0.01	1.37	1.18	0.00
1	1	0.00	0.00	0.72	0.00	0.00
1	5	0.03	1.87	0.79	0.79	0.00
2	2	0.00	0.00	0.99	0.79	0.00
2	6	0.00	0.00	0.92	0.79	0.00
3	3	0.17	0.00	0.89	0.30	0.00
3	7	0.06	0.00	1.07	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	0.75	10.95	6.51	0.39
0	0	0.18	1.00	22.66	5.47	0.00
0	4	0.00	0.06	4.10	4.88	3.06
1	1	0.00	0.04	6.17	5.58	0.00
1	5	0.00	0.44	13.72	5.72	0.03
2	2	0.30	1.60	15.91	15.07	0.00
2	6	0.06	0.18	4.22	5.29	0.00
3	3	0.00	0.41	12.18	5.62	0.00
3	7	0.01	2.25	8.65	4.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.58	8.97	12.24	10.21
0	0	0.02	4.62	63.14	0.00	0.00
0	4	0.00	0.02	1.98	0.28	81.70
1	1	0.00	0.00	2.72	52.95	0.00
1	5	0.00	0.00	0.19	0.88	0.00
2	2	0.00	0.02	2.26	41.35	0.00
2	6	0.00	0.00	0.19	0.40	0.00
3	3	0.00	0.00	0.78	0.99	0.00
3	7	0.00	0.00	0.46	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.60	9.00	12.72	10.71
0	0	0.02	4.63	63.35	0.00	0.00
0	4	0.00	0.01	1.26	0.39	85.69
1	1	0.00	0.00	4.43	94.15	0.00
1	5	0.00	0.01	0.68	2.47	0.00
2	2	0.00	0.00	0.37	1.38	0.00
2	6	0.00	0.00	0.24	1.09	0.00
3	3	0.00	0.12	0.10	0.69	0.00
3	7	0.00	0.00	1.61	1.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.37	0.65	9.19	13.41	7.78
0	0	1.42	3.79	51.96	4.30	0.09
0	4	0.01	0.07	2.26	0.87	62.19
1	1	0.00	0.00	5.50	72.55	0.00
1	5	0.00	0.10	3.56	5.56	0.00
2	2	1.57	1.22	5.35	13.87	0.00
2	6	0.00	0.00	1.69	2.13	0.00
3	3	0.00	0.00	1.62	4.46	0.00
3	7	0.00	0.00	1.58	3.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.56	1.00	0.00
0	0	0.00	0.00	0.10	1.29	0.00
0	4	0.00	0.00	1.09	1.10	0.00
1	1	0.00	0.00	0.26	0.90	0.00
1	5	0.00	0.00	0.15	0.99	0.00
2	2	0.00	0.00	1.13	0.69	0.00
2	6	0.00	0.01	0.92	0.60	0.00
3	3	0.00	0.00	0.19	1.29	0.00
3	7	0.00	0.00	0.65	1.19	0.00
