Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	8.44	3.42	0.00
0	0	0.11	0.09	65.13	21.71	0.00
0	4	0.00	0.00	0.26	0.30	0.00
1	1	0.00	0.03	0.18	1.19	0.00
1	5	0.00	0.05	0.99	0.88	0.00
2	2	0.00	0.00	0.10	0.60	0.00
2	6	0.00	0.00	0.29	0.89	0.00
3	3	0.00	0.00	0.27	0.98	0.00
3	7	0.00	0.00	0.35	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.25	3.50	0.44
0	0	0.09	0.50	62.94	20.50	0.00
0	4	0.00	0.00	0.68	0.28	0.00
1	1	0.00	0.00	0.32	1.77	0.00
1	5	0.00	0.01	0.85	1.77	0.00
2	2	0.00	0.02	0.38	1.00	0.00
2	6	0.00	0.00	0.20	1.09	0.00
3	3	0.00	0.00	0.29	0.86	0.00
3	7	0.00	0.00	0.36	0.69	3.51
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.23	8.76	3.78	0.00
0	0	0.04	1.82	64.70	19.87	0.00
0	4	0.00	0.00	1.17	0.21	0.00
1	1	0.00	0.00	1.03	1.88	0.00
1	5	0.00	0.02	0.67	2.46	0.00
2	2	0.00	0.00	0.76	1.31	0.00
2	6	0.00	0.02	0.30	1.39	0.00
3	3	0.00	0.00	0.40	1.93	0.00
3	7	0.00	0.00	1.07	1.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.23	8.31	3.54	0.05
0	0	0.03	1.84	63.52	20.17	0.00
0	4	0.00	0.01	0.40	0.00	0.00
1	1	0.00	0.00	0.37	2.08	0.00
1	5	0.00	0.00	0.48	1.99	0.00
2	2	0.00	0.00	0.80	1.20	0.43
2	6	0.00	0.00	0.24	1.28	0.00
3	3	0.00	0.02	0.39	0.83	0.00
3	7	0.00	0.00	0.29	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	8.60	3.37	0.12
0	0	0.12	0.12	65.19	21.62	0.00
0	4	0.00	0.00	0.82	0.11	0.00
1	1	0.00	0.01	0.26	0.60	0.99
1	5	0.00	0.00	1.01	0.99	0.00
2	2	0.00	0.00	0.28	0.89	0.00
2	6	0.00	0.00	0.36	0.89	0.00
3	3	0.00	0.00	0.73	0.79	0.00
3	7	0.00	0.00	0.13	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.42	3.29	0.00
0	0	0.11	0.16	64.92	21.86	0.00
0	4	0.00	0.00	0.56	0.00	0.00
1	1	0.00	0.00	0.24	0.69	0.00
1	5	0.00	0.03	1.01	0.00	0.00
2	2	0.00	0.00	0.09	0.69	0.00
2	6	0.00	0.00	0.10	1.09	0.00
3	3	0.00	0.00	0.27	0.96	0.00
3	7	0.00	0.02	0.15	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.48	3.54	0.00
0	0	0.08	0.53	62.95	20.41	0.00
0	4	0.00	0.00	0.70	0.00	0.00
1	1	0.00	0.00	0.65	1.57	0.00
1	5	0.00	0.00	0.90	1.48	0.00
2	2	0.00	0.00	1.32	1.29	0.00
2	6	0.00	0.00	0.14	1.09	0.00
3	3	0.00	0.02	0.29	2.11	0.00
3	7	0.00	0.00	0.89	0.39	0.04
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.67	3.56	0.00
0	0	0.12	0.19	64.62	22.11	0.00
0	4	0.00	0.00	0.45	0.48	0.00
1	1	0.00	0.02	0.33	1.19	0.00
1	5	0.00	0.03	0.91	0.59	0.00
2	2	0.00	0.00	0.49	1.39	0.00
2	6	0.00	0.00	0.36	0.89	0.00
3	3	0.00	0.00	1.17	1.01	0.00
3	7	0.00	0.02	0.99	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	0.04	8.49	3.45	0.12
0	0	0.11	0.27	64.20	21.57	0.92
0	4	0.00	0.00	0.65	0.00	0.00
1	1	0.93	0.01	0.88	0.90	0.00
1	5	0.00	0.08	1.40	1.09	0.00
2	2	0.00	0.00	0.10	1.09	0.00
2	6	0.00	0.00	0.29	0.98	0.00
3	3	0.00	0.00	0.26	0.97	0.00
3	7	0.00	0.00	0.15	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.78	3.64	0.12
0	0	0.10	0.24	65.05	21.65	0.00
0	4	0.00	0.00	1.27	0.00	0.00
1	1	0.00	0.00	1.05	1.18	0.98
1	5	0.00	0.04	1.27	1.17	0.00
2	2	0.00	0.02	0.48	1.29	0.00
2	6	0.00	0.00	0.20	1.39	0.00
3	3	0.00	0.00	0.39	1.15	0.00
3	7	0.00	0.00	0.56	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.06	8.63	3.55	0.00
0	0	0.11	0.42	64.96	21.52	0.00
0	4	0.00	0.00	0.89	0.00	0.00
1	1	0.00	0.03	0.59	1.58	0.00
1	5	0.00	0.00	1.20	0.58	0.00
2	2	0.00	0.03	0.74	1.29	0.00
2	6	0.00	0.00	0.13	0.99	0.00
3	3	0.00	0.00	0.19	1.33	0.00
3	7	0.00	0.00	0.29	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	8.25	3.36	0.00
0	0	0.10	0.40	62.86	20.71	0.00
0	4	0.00	0.03	0.49	0.00	0.00
1	1	0.00	0.00	0.28	1.18	0.00
1	5	0.00	0.00	1.24	0.60	0.00
2	2	0.00	0.00	0.36	1.09	0.00
2	6	0.00	0.00	0.35	0.99	0.00
3	3	0.00	0.00	0.22	1.03	0.00
3	7	0.00	0.00	0.20	1.28	0.03
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.13	8.63	3.55	0.00
0	0	0.07	0.97	64.81	20.85	0.00
0	4	0.00	0.01	0.64	0.10	0.00
1	1	0.00	0.03	0.64	1.29	0.00
1	5	0.00	0.01	1.10	0.68	0.00
2	2	0.00	0.00	0.58	1.28	0.00
2	6	0.00	0.00	0.56	1.28	0.00
3	3	0.00	0.00	0.42	1.69	0.00
3	7	0.00	0.00	0.33	1.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.15	8.30	3.25	0.00
0	0	0.06	1.19	63.38	21.18	0.00
0	4	0.00	0.00	0.57	0.00	0.00
1	1	0.00	0.00	0.67	0.69	0.00
1	5	0.00	0.00	0.75	0.60	0.00
2	2	0.00	0.00	0.22	0.69	0.00
2	6	0.00	0.00	0.29	0.89	0.00
3	3	0.00	0.00	0.26	0.97	0.00
3	7	0.00	0.00	0.26	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	0.04	8.70	3.87	0.00
0	0	0.11	0.32	64.77	21.83	0.00
0	4	0.00	0.00	0.88	0.40	0.00
1	1	0.00	0.00	0.92	2.56	0.00
1	5	0.00	0.00	1.36	0.69	0.00
2	2	0.00	0.00	0.88	1.48	0.00
2	6	0.00	0.02	0.30	1.49	0.00
3	3	0.00	0.00	0.40	1.53	0.00
3	7	0.77	0.00	0.10	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.47	3.40	0.00
0	0	0.10	0.18	64.99	21.73	0.00
0	4	0.00	0.02	0.58	0.11	0.00
1	1	0.00	0.00	0.17	1.08	0.00
1	5	0.00	0.00	0.80	0.79	0.00
2	2	0.00	0.00	0.45	0.79	0.00
2	6	0.00	0.00	0.15	1.09	0.00
3	3	0.00	0.00	0.42	0.72	0.00
3	7	0.00	0.00	0.20	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.16	8.42	7.02	0.13
0	0	0.08	1.14	62.74	20.38	0.00
0	4	0.00	0.00	0.73	0.00	0.00
1	1	0.00	0.02	0.98	2.49	1.00
1	5	0.00	0.00	0.61	0.90	0.00
2	2	0.00	0.00	0.22	1.18	0.00
2	6	0.00	0.00	0.75	1.09	0.00
3	3	0.00	0.00	0.25	0.98	0.00
3	7	0.01	0.10	1.05	29.09	0.03
