tool,bt,cg,ep,ft,is,mg,mi,sl
No_Tools,4.797333333333381,0.9739333333333188,6.051866666666713,1.258733333333286,1.9869333333333163,0.5137333333333193,0.014799999999995823,1.8820666666666321
Ref_User,4.845266666666648,0.9877333333333108,6.305399999999963,1.2677333333333385,2.016599999999971,0.5189999999999979,0.011999999999992876,1.975699999999993
Ref_Kern,4.843000000000041,0.998799999999998,6.431200000000007,1.2804666666666569,2.013000000000022,0.5209333333334011,0.021399999999948703,1.9910666666666543
Perf,5.024866666666673,1.0201999999999827,6.523599999999948,1.3041333333332963,2.060199999999967,0.5388000000000337,0.014066666666620146,2.026199999999998
PJ,5.137199999999958,1.0556000000000685,6.810733333333337,1.3116666666666086,2.089933333333393,0.5381333333333506,0.015866666666666637,2.1064000000000136
Turbostat,5.387533333333382,1.118800000000014,7.19193333333332,1.385999999999971,2.2313999999999776,0.5567333333333712,0.014733333333360103,2.2687333333333375
Scaphandre,5.6633999999999824,1.215666666666622,8.007333333333367,1.4070666666666662,2.23926666666675,0.5740666666667096,0.011999999999979612,2.334666666666662
CC,6.118199999999996,1.260733333333326,9.5918,1.5109333333333477,2.399399999999969,0.6098666666666911,0.017666666666646808,2.5763999999999916
