name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13196272,25426509427714,25426522623986
mov eax ebx                ,31351,25426525700505,25426525731856
nop                        ,44433,25426528980215,25426529024648
rdmsr 0x611                ,58256740,25426532390436,25426590647176
rdmsr 0x639                ,55560132,25426590727538,25426646287670
rdmsr 0x641                ,31821168,25426646330302,25426678151470
rdmsr 0x619                ,25373409,25426678189948,25426703563357
rdmsr 0x19C                ,25826505,25426703583181,25426729409686
rdmsr 0x17                 ,26147989,25426729428609,25426755576598
sys_call_overhead_proc_read,69522009
sys_call_overhead_sys_read ,145090570
