name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13040662,50279718807467,50279731848129
mov eax ebx                ,31359,50279735225952,50279735257311
nop                        ,31352,50279738359928,50279738391280
rdmsr 0x611                ,56709152,50279741611237,50279798320389
rdmsr 0x639                ,54085692,50279798417764,50279852503456
rdmsr 0x641                ,31359142,50279852557873,50279883917015
rdmsr 0x619                ,23872195,50279883938805,50279907811000
rdmsr 0x19C                ,23463148,50279907829224,50279931292372
rdmsr 0x17                 ,23449786,50279931315951,50279954765737
sys_call_overhead_proc_read,65127991
sys_call_overhead_sys_read ,144276145
