name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,12660234,40981667889278,40981680549512
mov eax ebx                ,31353,40981683876675,40981683908028
nop                        ,42324,40981686983126,40981687025450
rdmsr 0x611                ,56644098,40981690193905,40981746838003
rdmsr 0x639                ,56607221,40981746894639,40981803501860
rdmsr 0x641                ,37509931,40981803580589,40981841090520
rdmsr 0x619                ,25442769,40981841113577,40981866556346
rdmsr 0x19C                ,25590243,40981866577285,40981892167528
rdmsr 0x17                 ,25569994,40981892206006,40981917776000
sys_call_overhead_proc_read,68433579
sys_call_overhead_sys_read ,149302886
