name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13177185,16911690384379,16911703561564
mov eax ebx                ,31339,16911706714905,16911706746244
nop                        ,31349,16911709862657,16911709894006
rdmsr 0x611                ,52914439,16911713179873,16911766094312
rdmsr 0x639                ,53118287,16911766200794,16911819319081
rdmsr 0x641                ,35484811,16911819405797,16911854890608
rdmsr 0x619                ,24177338,16911854925493,16911879102831
rdmsr 0x19C                ,22501097,16911879122347,16911901623444
rdmsr 0x17                 ,22838633,16911901643244,16911924481877
sys_call_overhead_proc_read,65871711
sys_call_overhead_sys_read ,142277213
