name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13182550,48777133165553,48777146348103
mov eax ebx                ,31353,48777149645908,48777149677261
nop                        ,31353,48777152783519,48777152814872
rdmsr 0x611                ,54429127,48777155972428,48777210401555
rdmsr 0x639                ,51149680,48777210516742,48777261666422
rdmsr 0x641                ,30146779,48777261702231,48777291849010
rdmsr 0x619                ,23670426,48777291870075,48777315540501
rdmsr 0x19C                ,23702402,48777315561059,48777339263461
rdmsr 0x17                 ,24057657,48777339281041,48777363338698
sys_call_overhead_proc_read,67789738
sys_call_overhead_sys_read ,141736890
