name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13131228,19119051715910,19119064847138
mov eax ebx                ,31350,19119068115804,19119068147154
nop                        ,31338,19119071163838,19119071195176
rdmsr 0x611                ,55694097,19119074348863,19119130042960
rdmsr 0x639                ,55931004,19119130141448,19119186072452
rdmsr 0x641                ,35748458,19119186131813,19119221880271
rdmsr 0x619                ,24837731,19119221904164,19119246741895
rdmsr 0x19C                ,24235957,19119246759919,19119270995876
rdmsr 0x17                 ,24568137,19119271050118,19119295618255
sys_call_overhead_proc_read,70792695
sys_call_overhead_sys_read ,142100687
