name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13243859,27658792528756,27658805772615
mov eax ebx                ,31349,27658809162541,27658809193890
nop                        ,31352,27658812339734,27658812371086
rdmsr 0x611                ,54273033,27658815594300,27658869867333
rdmsr 0x639                ,53589319,27658869992156,27658923581475
rdmsr 0x641                ,33629599,27658923639740,27658957269339
rdmsr 0x619                ,23914293,27658957293858,27658981208151
rdmsr 0x19C                ,22241295,27658981226794,27659003468089
rdmsr 0x17                 ,22494864,27659003485920,27659025980784
sys_call_overhead_proc_read,98562529
sys_call_overhead_sys_read ,143492081
