name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13038324,39485907624844,39485920663168
mov eax ebx                ,31365,39485924177940,39485924209305
nop                        ,31342,39485927427324,39485927458666
rdmsr 0x611                ,53827028,39485930637666,39485984464694
rdmsr 0x639                ,53758301,39485984552140,39486038310441
rdmsr 0x641                ,37264330,39486038365050,39486075629380
rdmsr 0x619                ,24582540,39486075662622,39486100245162
rdmsr 0x19C                ,22201214,39486100261981,39486122463195
rdmsr 0x17                 ,22607177,39486122480035,39486145087212
sys_call_overhead_proc_read,65579632
sys_call_overhead_sys_read ,135638885
