name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6590017,27296278363188,27296284953205
mov eax ebx                ,29185,27296293284944,27296293314129
nop                        ,29182,27296298242155,27296298271337
rdmsr 0x611                ,25212122,27296300264958,27296325477080
rdmsr 0x639                ,23177075,27296325521866,27296348698941
rdmsr 0x641                ,22878046,27296348761345,27296371639391
rdmsr 0x619                ,22774613,27296371684580,27296394459193
rdmsr 0x19C                ,22759033,27296394501148,27296417260181
rdmsr 0x17                 ,23186434,27296417303223,27296440489657
sys_call_overhead_proc_read,67573074
sys_call_overhead_sys_read ,136729758
