name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13273857,21003831984965,21003845258822
mov eax ebx                ,31350,21003848885913,21003848917263
nop                        ,31342,21003852086610,21003852117952
rdmsr 0x611                ,56664917,21003855507936,21003912172853
rdmsr 0x639                ,54277695,21003912281799,21003966559494
rdmsr 0x641                ,35421658,21003966659416,21004002081074
rdmsr 0x619                ,49886321,21004002194282,21004052080603
rdmsr 0x19C                ,56574928,21004052224761,21004108799689
rdmsr 0x17                 ,53261914,21004108943817,21004162205731
sys_call_overhead_proc_read,90194013
sys_call_overhead_sys_read ,160832838
