name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13075828,53631500208927,53631513284755
mov eax ebx                ,31347,53631516712997,53631516744344
nop                        ,70891,53631520014983,53631520085874
rdmsr 0x611                ,54374964,53631523405110,53631577780074
rdmsr 0x639                ,52785340,53631577885536,53631630670876
rdmsr 0x641                ,44225678,53631630781694,53631675007372
rdmsr 0x619                ,51053512,53631675104475,53631726157987
rdmsr 0x19C                ,53794357,53631726302382,53631780096739
rdmsr 0x17                 ,56045686,53631780242938,53631836288624
sys_call_overhead_proc_read,89472507
sys_call_overhead_sys_read ,154445373
