name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13196393,41713196824148,41713210020541
mov eax ebx                ,31360,41713213677364,41713213708724
nop                        ,31340,41713216940687,41713216972027
rdmsr 0x611                ,55999370,41713220398246,41713276397616
rdmsr 0x639                ,53174890,41713276538199,41713329713089
rdmsr 0x641                ,31114589,41713329795811,41713360910400
rdmsr 0x619                ,23848951,41713360985071,41713384834022
rdmsr 0x19C                ,23466068,41713384874851,41713408340919
rdmsr 0x17                 ,27519628,41713408419140,41713435938768
sys_call_overhead_proc_read,90441247
sys_call_overhead_sys_read ,164241975
