name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6500967,15436818380315,15436824881282
mov eax ebx                ,29184,15436826640589,15436826669773
nop                        ,29183,15436828233165,15436828262348
rdmsr 0x611                ,27312471,15436829846851,15436857159322
rdmsr 0x639                ,26317765,15436857245719,15436883563484
rdmsr 0x641                ,24466305,15436883667159,15436908133464
rdmsr 0x619                ,24515578,15436908171906,15436932687484
rdmsr 0x19C                ,24662472,15436932722609,15436957385081
rdmsr 0x17                 ,24945817,15436957421821,15436982367638
sys_call_overhead_proc_read,67125868
sys_call_overhead_sys_read ,138164453
