name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13145301,56226002986908,56226016132209
mov eax ebx                ,31366,56226019441372,56226019472738
nop                        ,31347,56226022843898,56226022875245
rdmsr 0x611                ,54278661,56226026114660,56226080393321
rdmsr 0x639                ,50176358,56226080453487,56226130629845
rdmsr 0x641                ,29456515,56226130683645,56226160140160
rdmsr 0x619                ,22804180,56226160164824,56226182969004
rdmsr 0x19C                ,22252255,56226182987168,56226205239423
rdmsr 0x17                 ,22657173,56226205256954,56226227914127
sys_call_overhead_proc_read,64505562
sys_call_overhead_sys_read ,133386382
