name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13180649,42834330163965,42834343344614
mov eax ebx                ,31352,42834346503275,42834346534627
nop                        ,31347,42834349659841,42834349691188
rdmsr 0x611                ,54415395,42834353033086,42834407448481
rdmsr 0x639                ,50343448,42834407509965,42834457853413
rdmsr 0x641                ,29522302,42834457892351,42834487414653
rdmsr 0x619                ,23487079,42834487440743,42834510927822
rdmsr 0x19C                ,23235342,42834510949240,42834534184582
rdmsr 0x17                 ,23763520,42834534205371,42834557968891
sys_call_overhead_proc_read,66850424
sys_call_overhead_sys_read ,138852142
