name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13107552,49526795470659,49526808578211
mov eax ebx                ,31346,49526811710052,49526811741398
nop                        ,31347,49526814861818,49526814893165
rdmsr 0x611                ,56827570,49526818057283,49526874884853
rdmsr 0x639                ,56493709,49526875023717,49526931517426
rdmsr 0x641                ,35111038,49526931559509,49526966670547
rdmsr 0x619                ,24971506,49526966701938,49526991673444
rdmsr 0x19C                ,24985733,49526991691806,49527016677539
rdmsr 0x17                 ,25242550,49527016694993,49527041937543
sys_call_overhead_proc_read,67396671
sys_call_overhead_sys_read ,144307828
