name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13215757,29524290855846,29524304071603
mov eax ebx                ,31350,29524307346795,29524307378145
nop                        ,31349,29524310516104,29524310547453
rdmsr 0x611                ,53276865,29524313753883,29524367030748
rdmsr 0x639                ,50996053,29524367305042,29524418301095
rdmsr 0x641                ,30657227,29524418344832,29524449002059
rdmsr 0x619                ,22953963,29524449022232,29524471976195
rdmsr 0x19C                ,21962044,29524471993913,29524493955957
rdmsr 0x17                 ,22194269,29524493981853,29524516176122
sys_call_overhead_proc_read,70026585
sys_call_overhead_sys_read ,134265347
