name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13177911,51766155280014,51766168457925
mov eax ebx                ,31352,51766171661515,51766171692867
nop                        ,31350,51766174824670,51766174856020
rdmsr 0x611                ,52942066,51766178018982,51766230961048
rdmsr 0x639                ,53913190,51766231215922,51766285129112
rdmsr 0x641                ,33647100,51766285179255,51766318826355
rdmsr 0x619                ,23808666,51766318854501,51766342663167
rdmsr 0x19C                ,22672977,51766342684245,51766365357222
rdmsr 0x17                 ,23266307,51766365378790,51766388645097
sys_call_overhead_proc_read,66406084
sys_call_overhead_sys_read ,140381929
