name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,12580180,49910789803426,49910802383606
mov eax ebx                ,31352,49910805624642,49910805655994
nop                        ,31349,49910808790732,49910808822081
rdmsr 0x611                ,56617244,49910812041948,49910868659192
rdmsr 0x639                ,55740540,49910868747724,49910924488264
rdmsr 0x641                ,34003758,49910924653358,49910958657116
rdmsr 0x619                ,24678227,49910958680136,49910983358363
rdmsr 0x19C                ,24731463,49910983375123,49911008106586
rdmsr 0x17                 ,25053324,49911008124202,49911033177526
sys_call_overhead_proc_read,72830199
sys_call_overhead_sys_read ,138323729
