name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13091349,19888090976320,19888104067669
mov eax ebx                ,31359,19888107296510,19888107327869
nop                        ,31352,19888110399530,19888110430882
rdmsr 0x611                ,53119030,19888113620918,19888166739948
rdmsr 0x639                ,53067590,19888166795629,19888219863219
rdmsr 0x641                ,40424967,19888219938598,19888260363565
rdmsr 0x619                ,25132024,19888260390986,19888285523010
rdmsr 0x19C                ,21949565,19888285541835,19888307491400
rdmsr 0x17                 ,22251122,19888307514797,19888329765919
sys_call_overhead_proc_read,65612814
sys_call_overhead_sys_read ,144780616
