name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13033929,32480605444087,32480618478016
mov eax ebx                ,31351,32480621687376,32480621718727
nop                        ,31347,32480624878380,32480624909727
rdmsr 0x611                ,53857979,32480628139020,32480681996999
rdmsr 0x639                ,53353331,32480682124361,32480735477692
rdmsr 0x641                ,32885726,32480735520072,32480768405798
rdmsr 0x619                ,23522336,32480768426900,32480791949236
rdmsr 0x19C                ,22217043,32480791973945,32480814190988
rdmsr 0x17                 ,22557758,32480814208875,32480836766633
sys_call_overhead_proc_read,62139124
sys_call_overhead_sys_read ,156206360
