name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6496033,48052255780867,48052262276900
mov eax ebx                ,29177,48052275293754,48052275322931
nop                        ,29181,48052276886870,48052276916051
rdmsr 0x611                ,26399256,48052280230256,48052306629512
rdmsr 0x639                ,24123285,48052308983654,48052333106939
rdmsr 0x641                ,24057583,48052333152453,48052357210036
rdmsr 0x619                ,24001238,48052357244237,48052381245475
rdmsr 0x19C                ,23996132,48052381281593,48052405277725
rdmsr 0x17                 ,24359053,48052405312236,48052429671289
sys_call_overhead_proc_read,65328890
sys_call_overhead_sys_read ,139478231
