name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6934059,13925145687411,13925152621470
mov eax ebx                ,18571,13925154454927,13925154473498
nop                        ,18577,13925156288761,13925156307338
rdmsr 0x611                ,45613578,13925158168918,13925203782496
rdmsr 0x639                ,56769053,13925203884061,13925260653114
rdmsr 0x641                ,44249797,13925260728954,13925304978751
rdmsr 0x619                ,26619697,13925305008454,13925331628151
rdmsr 0x19C                ,24635335,13925331645712,13925356281047
rdmsr 0x17                 ,24854174,13925356303635,13925381157809
sys_call_overhead_proc_read,66770083
sys_call_overhead_sys_read ,143862206
