name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,12837226,38025078379739,38025091216965
mov eax ebx                ,31350,38025094559867,38025094591217
nop                        ,31342,38025097713651,38025097744993
rdmsr 0x611                ,54314106,38025100909896,38025155224002
rdmsr 0x639                ,54234666,38025155282331,38025209516997
rdmsr 0x641                ,35101056,38025209566800,38025244667856
rdmsr 0x619                ,24528993,38025244692162,38025269221155
rdmsr 0x19C                ,23948522,38025269267747,38025293216269
rdmsr 0x17                 ,24122416,38025293236101,38025317358517
sys_call_overhead_proc_read,74740796
sys_call_overhead_sys_read ,144544208
