name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13101204,26929764361401,26929777462605
mov eax ebx                ,31363,26929780904025,26929780935388
nop                        ,31352,26929784333136,26929784364488
rdmsr 0x611                ,52957202,26929787620993,26929840578195
rdmsr 0x639                ,53098407,26929840723129,26929893821536
rdmsr 0x641                ,44222384,26929893935821,26929938158205
rdmsr 0x619                ,50685589,26929938281764,26929988967353
rdmsr 0x19C                ,50975345,26929989108876,26930040084221
rdmsr 0x17                 ,53656965,26930040190768,26930093847733
sys_call_overhead_proc_read,89404399
sys_call_overhead_sys_read ,158520418
