name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13194822,13537669990568,13537683185390
mov eax ebx                ,31365,13537686405000,13537686436365
nop                        ,31340,13537689565660,13537689597000
rdmsr 0x611                ,54321909,13537692752417,13537747074326
rdmsr 0x639                ,51435936,13537747171512,13537798607448
rdmsr 0x641                ,30320615,13537798641338,13537828961953
rdmsr 0x619                ,23896796,13537828982093,13537852878889
rdmsr 0x19C                ,24167534,13537852900114,13537877067648
rdmsr 0x17                 ,24285546,13537877085871,13537901371417
sys_call_overhead_proc_read,68714201
sys_call_overhead_sys_read ,139851387
