name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6658374,12450704842578,12450711500952
mov eax ebx                ,29183,12450713320986,12450713350169
nop                        ,29176,12450716261977,12450716291153
rdmsr 0x611                ,26682482,12450721346854,12450748029336
rdmsr 0x639                ,24282982,12450761573664,12450785856646
rdmsr 0x641                ,24285850,12450785896761,12450810182611
rdmsr 0x619                ,24150144,12450810239704,12450834389848
rdmsr 0x19C                ,24149387,12450834425744,12450858575131
rdmsr 0x17                 ,24482991,12450858617043,12450883100034
sys_call_overhead_proc_read,65168845
sys_call_overhead_sys_read ,139581357
