name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13076845,15799304377392,15799317454237
mov eax ebx                ,31352,15799320735160,15799320766512
nop                        ,31350,15799323963799,15799323995149
rdmsr 0x611                ,53841406,15799327210422,15799381051828
rdmsr 0x639                ,56589735,15799381184922,15799437774657
rdmsr 0x641                ,56781525,15799438073739,15799494855264
rdmsr 0x619                ,39406910,15799494905161,15799534312071
rdmsr 0x19C                ,25468101,15799534345319,15799559813420
rdmsr 0x17                 ,23481533,15799559832494,15799583314027
sys_call_overhead_proc_read,99889623
sys_call_overhead_sys_read ,133619329
