name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13086029,116927171534752,116927184620781
mov eax ebx                ,31338,116927187793895,116927187825233
nop                        ,31347,116927191025124,116927191056471
rdmsr 0x611                ,56042086,116927194232177,116927250274263
rdmsr 0x639                ,55702352,116927250376158,116927306078510
rdmsr 0x641                ,36353712,116927306142933,116927342496645
rdmsr 0x619                ,24905088,116927342520408,116927367425496
rdmsr 0x19C                ,24307524,116927367444082,116927391751606
rdmsr 0x17                 ,24640399,116927391769212,116927416409611
sys_call_overhead_proc_read,76261561
sys_call_overhead_sys_read ,137360255
