name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6209864,66035995683567,66036001893431
mov eax ebx                ,27607,66036010529673,66036010557280
nop                        ,27608,66036014190842,66036014218450
rdmsr 0x611                ,24487996,66036015744941,66036040232937
rdmsr 0x639                ,23718509,66036044389243,66036068107752
rdmsr 0x641                ,23401354,66036068145400,66036091546754
rdmsr 0x619                ,24138850,66036091580150,66036115719000
rdmsr 0x19C                ,23619105,66036115753684,66036139372789
rdmsr 0x17                 ,23891652,66036139412640,66036163304292
sys_call_overhead_proc_read,67708346
sys_call_overhead_sys_read ,139890205
