name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13192491,90559840426666,90559853619157
mov eax ebx                ,31345,90559856890306,90559856921651
nop                        ,31346,90559860121827,90559860153173
rdmsr 0x611                ,55909728,90559863416742,90559919326470
rdmsr 0x639                ,55881780,90559919383016,90559975264796
rdmsr 0x641                ,35353105,90559975314776,90560010667881
rdmsr 0x619                ,24516594,90560010691667,90560035208261
rdmsr 0x19C                ,22939221,90560035234414,90560058173635
rdmsr 0x17                 ,23182066,90560058195912,90560081377978
sys_call_overhead_proc_read,65092757
sys_call_overhead_sys_read ,134018924
