name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6756182,75487627822659,75487634578841
mov eax ebx                ,30042,75487647355888,75487647385930
nop                        ,30047,75487649035898,75487649065945
rdmsr 0x611                ,26864895,75487652270380,75487679135275
rdmsr 0x639                ,24155362,75487696805649,75487720961011
rdmsr 0x641                ,24106298,75487720998594,75487745104892
rdmsr 0x619                ,23949895,75487745157922,75487769107817
rdmsr 0x19C                ,23968881,75487769143211,75487793112092
rdmsr 0x17                 ,24210200,75487793144654,75487817354854
sys_call_overhead_proc_read,66909602
sys_call_overhead_sys_read ,138429621
