name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13184120,83074634989374,83074648173494
mov eax ebx                ,31355,83074651497515,83074651528870
nop                        ,31344,83074654628678,83074654660022
rdmsr 0x611                ,56914257,83074657785144,83074714699401
rdmsr 0x639                ,54916083,83074714799914,83074769715997
rdmsr 0x641                ,32584639,83074769781547,83074802366186
rdmsr 0x619                ,24830249,83074802387885,83074827218134
rdmsr 0x19C                ,24904867,83074827236594,83074852141461
rdmsr 0x17                 ,25230493,83074852165001,83074877395494
sys_call_overhead_proc_read,70418809
sys_call_overhead_sys_read ,139132884
